goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.038421399891376495,26,Sub,Real Sociedad,Rayo Vallecano,2,1,2016-05-08,1764,2015,103404,0.10038600116968155,0,1,0,0.038421399891376495,0.1388069987297058,0
0,0,0,26,Sub,Atletico Madrid,Rayo Vallecano,1,0,2016-04-30,1751,2015,103320,0,0,0,0,0,0,0
0,1,0.08747400343418121,12,Sub,Malaga,Rayo Vallecano,1,1,2016-04-20,1735,2015,102705,0,0,0,0,0.08747400343418121,0.08747400343418121,0
0,0,0,9,Sub,Rayo Vallecano,Villarreal,2,1,2016-04-17,1727,2015,100526,0,0,0,0,0,0,0
0,1,0.017505699768662453,10,Sub,Athletic Club,Rayo Vallecano,1,0,2016-04-10,1717,2015,102539,0,0,0,0,0.017505699768662453,0,0
0,0,0,19,Sub,Rayo Vallecano,Getafe,2,0,2016-04-01,1699,2015,101638,0,0,0,0,0,0,0
0,3,0.5693770051002502,32,Sub,Granada,Rayo Vallecano,2,2,2016-03-19,1692,2015,101515,0.0941419005393982,1,1,0,0.5693770051002502,0.48096001148223877,0
0,0,0,19,Sub,Rayo Vallecano,Eibar,1,1,2016-03-13,1683,2015,102469,0,0,0,0,0,0,0
0,1,0.03837930038571358,90,FW,Espanyol,Rayo Vallecano,2,1,2016-03-07,1678,2015,102316,0,0,0,0,0.03837930038571358,0.03837930038571358,0
1,1,0.6729220151901245,81,FW,Rayo Vallecano,Barcelona,1,5,2016-03-04,1668,2015,100443,0,0,0,1,0.6729220151901245,0.6729220151901245,0
2,3,1.2032699584960938,43,Sub,Real Betis,Rayo Vallecano,2,2,2016-02-27,1653,2015,100430,0,0,0,2,1.2032699584960938,0.4786059856414795,0
1,2,0.6730369925498962,56,Sub,Rayo Vallecano,Sevilla,2,2,2016-02-21,1644,2015,99889,0,0,0,1,0.6730369925498962,0.6968979835510254,0.023860899731516838
0,2,0.08431299775838852,18,Sub,Valencia,Rayo Vallecano,2,2,2016-01-17,1592,2015,98765,0,0,0,0,0.08431299775838852,0.08431299775838852,0
0,0,0,14,Sub,Levante,Rayo Vallecano,2,1,2016-01-10,1582,2015,97742,0,0,0,0,0,0,0
0,0,0,17,Sub,Rayo Vallecano,Real Sociedad,2,2,2016-01-03,1571,2015,97285,0.007258859928697348,0,1,0,0,0.007258859928697348,0
0,1,0.05071340128779411,90,FW,Rayo Vallecano,Atletico Madrid,0,2,2015-12-30,1560,2015,97144,0.04062600061297417,0,1,0,0.05071340128779411,0.04062600061297417,0
0,1,0.019368700683116913,22,Sub,Rayo Vallecano,Malaga,1,2,2015-12-13,1545,2015,98228,0,0,0,0,0.019368700683116913,0.019368700683116913,0
0,0,0,5,Sub,Villarreal,Rayo Vallecano,2,1,2015-12-06,1535,2015,98382,0,0,0,0,0,0,0
0,2,0.40733399987220764,42,Sub,Rayo Vallecano,Athletic Club,0,3,2015-11-29,1527,2015,98340,0.05318579822778702,0,2,0,0.40733399987220764,0.7838090062141418,0.32328900694847107
0,2,0.14366799592971802,20,Sub,Eibar,Rayo Vallecano,1,0,2015-11-01,1495,2015,95186,0,0,0,0,0.14366799592971802,0.06354279816150665,0
0,0,0,8,Sub,Rayo Vallecano,Espanyol,3,0,2015-10-23,1479,2015,96369,0,0,0,0,0,0,0
0,0,0,24,Sub,Rayo Vallecano,Real Betis,0,2,2015-10-04,1465,2015,95005,0.07017239928245544,0,2,0,0,0.09690430015325546,0.02673190087080002
0,1,0.017713699489831924,9,Sub,Sevilla,Rayo Vallecano,3,2,2015-09-26,1452,2015,94796,0,0,0,0,0.017713699489831924,0,0
0,1,0.0538490004837513,17,Sub,Rayo Vallecano,Sporting Gijon,2,1,2015-09-23,1442,2015,94700,0.05067570134997368,0,1,0,0.0538490004837513,0.10452499985694885,0
0,1,0.7798799872398376,14,Sub,Las Palmas,Rayo Vallecano,0,1,2015-09-20,1438,2015,94574,0.12407399713993073,0,1,0,0.7798799872398376,0.903954029083252,0.12407399713993073
0,0,0,27,Sub,Rayo Vallecano,Deportivo La Coruna,1,3,2015-09-14,1428,2015,94034,0,0,0,0,0,0,0
0,0,0,74,FW,Celta Vigo,Rayo Vallecano,3,0,2015-08-30,1412,2015,93519,0,0,0,0,0,0,0
0,1,0.564624011516571,90,FW,Rayo Vallecano,Valencia,0,0,2015-08-23,1403,2015,93477,0,0,0,0,0.564624011516571,0.574051022529602,0.00942675955593586
0,1,0.06213510036468506,90,FW,Rayo Vallecano,Real Sociedad,2,4,2015-05-23,5501,2014,41388,0.014039799571037292,0,1,0,0.06213510036468506,0.07617499679327011,0
1,3,0.16293400526046753,61,FW,Rayo Vallecano,Getafe,2,0,2015-05-11,5484,2014,40330,0,0,0,1,0.16293400526046753,0.16293400526046753,0
0,1,0.02964480035007,29,Sub,Espanyol,Rayo Vallecano,1,1,2015-05-03,5470,2014,41709,0.11848100274801254,0,2,0,0.02964480035007,0.02964480035007,0
0,0,0,90,FW,Rayo Vallecano,Valencia,1,1,2015-04-30,5563,2014,41137,0.08437290042638779,0,1,0,0,0,0
0,4,0.27456700801849365,90,FW,Sevilla,Rayo Vallecano,2,0,2015-04-26,5552,2014,40649,0.009321239776909351,0,1,0,0.27456700801849365,0.2838880121707916,0
0,3,0.6627269983291626,90,FW,Rayo Vallecano,Almeria,2,0,2015-04-19,5540,2014,44220,0,0,0,0,0.6627269983291626,0.6102499961853027,0
1,3,0.4977790117263794,90,FW,Celta Vigo,Rayo Vallecano,6,1,2015-04-11,5529,2014,43982,0.02966349944472313,0,1,1,0.4977790117263794,0.527442991733551,0
0,2,0.1629749983549118,90,FW,Rayo Vallecano,Real Madrid,0,2,2015-04-08,5521,2014,43692,0,0,0,0,0.1629749983549118,0.24025200307369232,0.18742500245571136
1,6,1.0838500261306763,90,FW,Eibar,Rayo Vallecano,1,2,2015-04-03,5505,2014,43456,0,0,0,1,1.0838500261306763,1.019760012626648,0.023454299196600914
0,3,0.1200380027294159,55,Sub,Rayo Vallecano,Malaga,1,0,2015-03-21,5593,2014,45396,0,0,0,0,0.1200380027294159,0.1200380027294159,0
0,3,0.5149359703063965,26,Sub,Rayo Vallecano,Granada,3,1,2015-03-14,5584,2014,45340,0.6610209941864014,1,2,0,0.5149359703063965,1.1759599447250366,0
0,1,0.038370899856090546,9,Sub,Barcelona,Rayo Vallecano,6,1,2015-03-08,5576,2014,45492,0,0,0,0,0.038370899856090546,0.038370899856090546,0
0,1,0.1258859932422638,90,FW,Rayo Vallecano,Levante,4,2,2015-02-28,5640,2014,44836,0,0,0,0,0.1258859932422638,0.2089180052280426,0.08303219825029373
0,0,0,21,Sub,Athletic Club,Rayo Vallecano,1,0,2015-02-22,5634,2014,44963,0,0,0,0,0,0,0
0,1,0.057600099593400955,27,Sub,Rayo Vallecano,Villarreal,2,0,2015-02-15,5625,2014,45924,0.0210402999073267,0,1,0,0.057600099593400955,0.0786404013633728,0
0,0,0,20,Sub,Elche,Rayo Vallecano,2,0,2015-02-09,5617,2014,46022,0.020998600870370865,0,1,0,0,0.020998600870370865,0
0,0,0,28,Sub,Rayo Vallecano,Deportivo La Coruna,1,2,2015-01-30,5682,2014,43193,0,0,0,0,0,0,0
0,3,0.21518899500370026,90,FW,Atletico Madrid,Rayo Vallecano,3,1,2015-01-24,5674,2014,42182,0.015561800450086594,0,1,0,0.21518899500370026,0.0868958979845047,0
1,2,0.09123340249061584,90,FW,Real Sociedad,Rayo Vallecano,0,1,2015-01-17,5663,2014,42405,0,0,0,1,0.09123340249061584,0.19327400624752045,0.16840200126171112
0,2,0.11853799968957901,34,Sub,Rayo Vallecano,Cordoba,0,1,2015-01-12,5661,2014,43277,0,0,0,0,0.11853799968957901,0.11853799968957901,0
0,0,0,8,Sub,Getafe,Rayo Vallecano,1,2,2015-01-04,5647,2014,42490,0,0,0,0,0,0,0
0,2,0.119718998670578,16,Sub,Rayo Vallecano,Espanyol,1,3,2014-12-20,5711,2014,43084,0,0,0,0,0.119718998670578,0.119718998670578,0
0,1,0.04091930016875267,30,Sub,Valencia,Rayo Vallecano,3,0,2014-12-13,5699,2014,39125,0,0,0,0,0.04091930016875267,0.04091930016875267,0
0,1,0.4826889932155609,30,Sub,Rayo Vallecano,Sevilla,0,1,2014-12-07,5691,2014,38358,0,0,0,0,0.4826889932155609,0.5062339901924133,0.023545099422335625
0,0,0,10,Sub,Almeria,Rayo Vallecano,0,1,2014-12-01,5686,2014,37508,0,0,0,0,0,0.3914389908313751,0.3914389908313751
0,1,0.057255201041698456,32,Sub,Rayo Vallecano,Celta Vigo,1,0,2014-11-23,5740,2014,39639,0.36932098865509033,0,1,0,0.057255201041698456,0.47083398699760437,0.044258199632167816
0,2,0.058371201157569885,17,Sub,Real Madrid,Rayo Vallecano,5,1,2014-11-08,5728,2014,38818,0,0,0,0,0.058371201157569885,0.058371201157569885,0
0,0,0,24,Sub,Rayo Vallecano,Eibar,2,3,2014-11-03,5724,2014,38052,0.04050749912858009,0,1,0,0,0.1916790008544922,0.1511719971895218
0,2,0.12710799276828766,29,Sub,Malaga,Rayo Vallecano,4,0,2014-10-26,5780,2014,40234,0,0,0,0,0.12710799276828766,0.12710799276828766,0
1,1,0.2906529903411865,4,Sub,Granada,Rayo Vallecano,0,1,2014-10-17,5764,2014,39515,0,0,0,1,0.2906529903411865,0.2906529903411865,0
0,3,0.07828229665756226,44,Sub,Rayo Vallecano,Barcelona,0,2,2014-10-04,5756,2014,38581,0,0,0,0,0.07828229665756226,0.03491239994764328,0.03491239994764328
0,0,0,6,Sub,Levante,Rayo Vallecano,0,2,2014-09-27,5821,2014,39815,0,0,0,0,0,0,0
0,1,0.5542380213737488,9,Sub,Rayo Vallecano,Athletic Club,2,1,2014-09-24,5809,2014,37020,0.008398570120334625,0,1,0,0.5542380213737488,0.5542380213737488,0
0,0,0,15,Sub,Villarreal,Rayo Vallecano,4,2,2014-09-21,5802,2014,37396,0,0,0,0,0,0,0
0,3,0.18460999429225922,17,Sub,Rayo Vallecano,Elche,2,3,2014-09-14,5791,2014,36662,0,0,0,0,0.18460999429225922,0.18460999429225922,0.08879569917917252
0,3,0.4761489927768707,60,FW,Deportivo La Coruna,Rayo Vallecano,2,2,2014-08-31,5843,2014,36395,0.37981200218200684,0,1,0,0.4761489927768707,0.8559610247612,0
0,2,0.13984699547290802,35,Sub,Rayo Vallecano,Atletico Madrid,0,0,2014-08-25,5835,2014,35994,0,0,0,0,0.13984699547290802,0.13984699547290802,0
