goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,19,AMC,Villarreal,Rayo Vallecano,2,1,2015-12-06,1535,2015,98379,0,0,0,0,0,0,0
0,2,0.11362099647521973,53,Sub,Getafe,Rayo Vallecano,1,1,2015-11-23,1518,2015,96188,0,0,0,0,0.11362099647521973,0.07205569744110107,0
0,0,0,13,Sub,Rayo Vallecano,Granada,2,1,2015-11-07,1503,2015,96118,0.028286000713706017,0,1,0,0,0.028286000713706017,0
0,0,0,65,AMR,Eibar,Rayo Vallecano,1,0,2015-11-01,1495,2015,95182,0.014091899618506432,0,1,0,0,0.11830800026655197,0.10421600192785263
0,1,0.0334588997066021,57,AML,Rayo Vallecano,Espanyol,3,0,2015-10-23,1479,2015,96367,0.04435810074210167,0,2,0,0.0334588997066021,0.06059369817376137,0
0,5,0.9778649806976318,90,AMC,Barcelona,Rayo Vallecano,5,2,2015-10-17,1471,2015,95100,0.2628670036792755,0,3,0,0.9778649806976318,1.272420048713684,0.189518004655838
0,1,0.013334499672055244,78,AMR,Rayo Vallecano,Deportivo La Coruna,1,3,2015-09-14,1428,2015,94030,0.029198700562119484,0,1,0,0.013334499672055244,0.521245002746582,0.47871100902557373
0,0,0,90,AMC,Celta Vigo,Rayo Vallecano,3,0,2015-08-30,1412,2015,93517,0,0,0,0,0,0.06952310353517532,0.06952310353517532
0,1,0.024480899795889854,90,MR,Rayo Vallecano,Valencia,0,0,2015-08-23,1403,2015,93473,0.564624011516571,0,1,0,0.024480899795889854,0.5891050100326538,0
0,1,0.34106799960136414,60,DML,Spartak Moscow,Amkar,3,3,2015-05-30,6260,2014,16837,0.09422089904546738,0,2,0,0.34106799960136414,0.4822779893875122,0.04698939993977547
0,1,0.06868690252304077,90,ML,Spartak Moscow,FC Ufa,1,2,2015-05-23,6251,2014,16622,0.0775132030248642,0,1,0,0.06868690252304077,0.20386800169944763,0.1351809948682785
0,0,0,54,AML,Spartak Moscow,CSKA Moscow,0,4,2015-05-17,6245,2014,11249,0.49285298585891724,0,1,0,0,0.02449130080640316,0.02449130080640316
0,2,0.07660560309886932,90,FWL,Spartak Moscow,Zenit St. Petersburg,1,1,2015-05-02,6225,2014,515434,0.03618549928069115,1,1,0,0.07660560309886932,0.0511104017496109,0.0511104017496109
0,2,0.1104160025715828,84,AML,Spartak Moscow,Rubin Kazan,1,0,2015-04-26,6302,2014,12971,0.6064450144767761,0,2,0,0.1104160025715828,0.1875160038471222,0.07709989696741104
0,1,0.14515100419521332,90,AML,Mordovya,Spartak Moscow,1,3,2015-04-18,6290,2014,16199,0.3020170032978058,1,3,0,0.14515100419521332,0.6936240196228027,0.5484730005264282
0,1,0.023197200149297714,90,ML,Arsenal Tula,Spartak Moscow,1,0,2015-04-09,6279,2014,13969,0.428272008895874,0,2,0,0.023197200149297714,0.6721600294113159,0.2989639937877655
0,1,0.018982600420713425,88,FWL,Spartak Moscow,Kuban Krasnodar,1,1,2015-04-04,6268,2014,13492,0.011684699915349483,0,1,0,0.018982600420713425,0.018982600420713425,0
0,1,0.08941130340099335,90,AML,Torpedo Moscow,Spartak Moscow,0,1,2015-03-21,6326,2014,16417,0.11316999793052673,0,3,0,0.08941130340099335,0.23267200589179993,0.12467800080776215
0,2,0.06051279976963997,85,MR,Spartak Moscow,Dinamo Moscow,1,0,2015-03-15,6318,2014,15936,0.12497200071811676,0,3,0,0.06051279976963997,0.12670199573040009,0
0,2,0.12502600252628326,56,AML,Spartak Moscow,Ural,2,0,2014-12-08,6345,2014,14038,0,0,0,0,0.12502600252628326,0.08015529811382294,0
0,0,0,26,Sub,Spartak Moscow,FC Rostov,1,1,2014-12-04,6337,2014,15286,0.3263620138168335,1,1,0,0,0.4464460015296936,0.4464460015296936
0,0,0,90,FWL,Lokomotiv Moscow,Spartak Moscow,1,0,2014-11-30,6374,2014,15682,0,0,0,0,0,0.43854600191116333,0.43854600191116333
0,1,0.06008699908852577,90,FWL,Spartak Moscow,Mordovya,4,2,2014-11-23,6367,2014,11603,0.2876709997653961,1,1,0,0.06008699908852577,0.07559440284967422,0.015507400035858154
0,2,0.10818099975585938,75,AMR,Spartak Moscow,Arsenal Tula,2,0,2014-11-09,6360,2014,11517,0.32798799872398376,0,2,0,0.10818099975585938,0.6156579852104187,0.17948900163173676
0,0,0,90,AMR,Kuban Krasnodar,Spartak Moscow,3,3,2014-11-02,6349,2014,12791,0,0,0,0,0,0,0
0,0,0,1,Sub,Zenit St. Petersburg,Spartak Moscow,0,0,2014-09-27,6411,2014,12168,0,0,0,0,0,0,0
