goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,77,DR,Eibar,Barcelona,0,1,2021-05-22,15149,2020,472942,0.06820990145206451,0,2,0,0,0.15696999430656433,0.13902899622917175
0,0,0,72,DR,Valencia,Eibar,4,1,2021-05-16,15146,2020,471826,0.6490820050239563,1,2,0,0,0.7357079982757568,0.08662659674882889
0,3,0.08771959692239761,90,DR,Eibar,Real Betis,1,1,2021-05-13,15130,2020,470523,0.45957499742507935,1,1,0,0.08771959692239761,0.6249009966850281,0.1334030032157898
0,2,0.062247999012470245,90,DR,Getafe,Eibar,0,1,2021-05-09,15122,2020,469157,0,0,0,0,0.062247999012470245,0.062247999012470245,0
0,0,0,88,DR,Eibar,Alaves,3,0,2021-05-01,15114,2020,466852,0.09498090296983719,0,1,0,0,0.6372309923171997,0.5422499775886536
0,0,0,59,Sub,Eibar,Real Sociedad,0,1,2021-04-26,15090,2020,466567,0.14451999962329865,0,2,0,0,0.057235799729824066,0.028683800250291824
0,0,0,12,Sub,Eibar,Sevilla,0,2,2021-01-30,14980,2020,445418,0,0,0,0,0,0.014146200381219387,0.014146200381219387
0,0,0,46,DR,Real Sociedad,Eibar,1,1,2020-12-13,14904,2020,433505,0.03673730045557022,0,1,0,0,0.03673730045557022,0.03673730045557022
0,0,0,90,DR,Eibar,Valencia,0,0,2020-12-07,14894,2020,432521,0.1546189934015274,0,2,0,0,0.17738699913024902,0.09037239849567413
0,0,0,90,DR,Real Betis,Eibar,0,2,2020-11-30,14876,2020,430851,0,0,0,0,0,0,0
0,0,0,90,DR,Eibar,Getafe,0,0,2020-11-22,14868,2020,428408,0,0,0,0,0,0,0
0,1,0.027131900191307068,90,DR,Real Valladolid,Eibar,1,2,2020-10-03,14823,2020,419234,0,0,0,0,0.027131900191307068,0.037158600986003876,0.010026699863374233
0,0,0,73,DR,Eibar,Athletic Club,1,2,2020-09-27,14158,2020,417911,0,0,0,0,0,0.056709401309490204,0.056709401309490204
0,0,0,90,DR,Villarreal,Eibar,2,1,2020-09-19,14146,2020,415823,0,0,0,0,0,0.057479098439216614,0.057479098439216614
0,0,0,90,DR,Eibar,Celta Vigo,0,0,2020-09-12,14136,2020,414587,0,0,0,0,0,0,0
0,0,0,90,DR,Villarreal,Eibar,4,0,2020-07-19,12401,2019,409919,0.28915300965309143,0,2,0,0,0.28915300965309143,0
0,0,0,64,DR,Eibar,Leganes,0,0,2020-07-09,12369,2019,407111,0,0,0,0,0,0.03322359919548035,0.03322359919548035
0,0,0,76,DR,Eibar,Osasuna,0,2,2020-07-02,12346,2019,404839,0,0,0,0,0,0,0
0,0,0,90,DR,Granada,Eibar,1,2,2020-06-28,12338,2019,403846,0,0,0,0,0,0,0
0,3,0.11663100123405457,90,DR,Eibar,Valencia,1,0,2020-06-25,12326,2019,402699,0.020796500146389008,0,1,0,0.11663100123405457,0.10809600353240967,0
0,1,0.013224500231444836,90,DR,Eibar,Athletic Club,2,2,2020-06-17,12305,2019,400352,0.057574499398469925,0,1,0,0.013224500231444836,0.07079900056123734,0
0,0,0,90,DR,Real Madrid,Eibar,3,1,2020-06-14,12296,2019,399970,0.020797699689865112,0,1,0,0,0.03909759968519211,0.018299899995326996
0,0,0,90,DR,Eibar,Real Sociedad,1,2,2020-03-10,12255,2019,397715,0,0,0,0,0,0.012937099672853947,0.012937099672853947
0,1,0.02676450088620186,90,DR,Athletic Club,Eibar,0,0,2019-12-14,12184,2019,369972,0,0,0,0,0.02676450088620186,0.02676450088620186,0
0,0,0,81,DR,Eibar,Getafe,0,1,2019-12-08,12175,2019,368799,0,0,0,0,0,0,0
0,0,0,1,Sub,Atletico Madrid,Eibar,3,2,2019-09-01,12051,2019,348229,0,0,0,0,0,0.08077050000429153,0.08077050000429153
0,0,0,83,DR,Mallorca,Eibar,2,1,2019-08-17,12025,2019,342327,0,0,0,0,0,0.27740898728370667,0.27740898728370667
0,0,0,49,Sub,Espanyol,Eibar,4,2,2016-05-15,1775,2015,103250,0,0,0,0,0,0.037590399384498596,0.037590399384498596
0,0,0,24,Sub,Barcelona,Espanyol,5,0,2016-05-08,1767,2015,103738,0,0,0,0,0,0,0
0,0,0,71,DR,Espanyol,Sevilla,1,0,2016-05-01,1755,2015,102961,0,0,0,0,0,0.018948199227452278,0.018948199227452278
0,0,0,90,DR,Getafe,Espanyol,3,1,2016-01-17,1594,2015,98646,0,0,0,0,0,0.10897599905729294,0.10897599905729294
0,0,0,69,DR,Espanyol,Granada,1,1,2015-11-01,1496,2015,95552,0,0,0,0,0,0,0
0,0,0,90,DR,Deportivo La Coruna,Espanyol,3,0,2015-09-27,1456,2015,94230,0,0,0,0,0,0.08245469629764557,0.08245469629764557
0,0,0,80,DR,Real Sociedad,Espanyol,2,3,2015-09-20,1433,2015,95148,0,0,0,0,0,0,0
