id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
33059,76,SavedShot,0.8590000152587891,0.615999984741211,0.038211800158023834,Víctor Álvarez,h,2111,FromCorner,2014,LeftFoot,5800,Espanyol,Malaga,2,2,2014-09-20 21:00:00,Lucas Vázquez,Cross
34399,20,MissedShots,0.8819999694824219,0.6020000076293945,0.014733199961483479,Víctor Álvarez,h,2111,OpenPlay,2014,Head,5732,Espanyol,Villarreal,1,1,2014-11-09 16:00:00,Sergio García,Aerial
41043,52,BlockedShot,0.805,0.7019999694824218,0.02487039938569069,Víctor Álvarez,h,2111,OpenPlay,2014,RightFoot,5615,Espanyol,Valencia,1,2,2015-02-08 18:00:00,Rubén Duarte,Pass
40697,86,BlockedShot,0.88,0.7069999694824218,0.052395399659872055,Víctor Álvarez,h,2111,OpenPlay,2014,LeftFoot,5638,Espanyol,Cordoba,1,0,2015-02-27 19:45:00,Cristhian Stuani,Pass
38856,16,SavedShot,0.924000015258789,0.59,0.042823001742362976,Víctor Álvarez,a,2111,OpenPlay,2014,Head,5524,Villarreal,Espanyol,0,3,2015-04-09 21:00:00,Sergio García,Aerial
39392,62,SavedShot,0.8280000305175781,0.54,0.08331780135631561,Víctor Álvarez,a,2111,OpenPlay,2014,RightFoot,5535,Levante,Espanyol,2,2,2015-04-17 19:45:00,Cristhian Stuani,BallTouch
36712,8,BlockedShot,0.8690000152587891,0.585,0.11614599823951721,Víctor Álvarez,a,2111,OpenPlay,2014,RightFoot,5564,Granada,Espanyol,1,2,2015-04-30 21:00:00,Sergio García,Pass
36721,59,MissedShots,0.745999984741211,0.710999984741211,0.009962430223822594,Víctor Álvarez,a,2111,SetPiece,2014,LeftFoot,5564,Granada,Espanyol,1,2,2015-04-30 21:00:00,,None
37129,38,MissedShots,0.9519999694824218,0.5790000152587891,0.3695789873600006,Víctor Álvarez,a,2111,OpenPlay,2014,Head,5503,Celta Vigo,Espanyol,3,2,2015-05-23 17:30:00,Lucas Vázquez,Rebound
37127,38,BlockedShot,0.9330000305175781,0.639000015258789,0.08262000232934952,Víctor Álvarez,a,2111,OpenPlay,2014,LeftFoot,5503,Celta Vigo,Espanyol,3,2,2015-05-23 17:30:00,,BallTouch
37134,73,MissedShots,0.730999984741211,0.37900001525878907,0.0519879013299942,Víctor Álvarez,a,2111,DirectFreekick,2014,LeftFoot,5503,Celta Vigo,Espanyol,3,2,2015-05-23 17:30:00,,Standard
84374,62,ShotOnPost,0.9180000305175782,0.26399999618530273,0.023963799700140953,Víctor Álvarez,a,2111,OpenPlay,2015,LeftFoot,1409,Villarreal,Espanyol,3,1,2015-08-28 22:30:00,Álvaro González,Cross
85745,21,MissedShots,0.7519999694824219,0.6270000076293946,0.020434299483895302,Víctor Álvarez,a,2111,OpenPlay,2015,RightFoot,1433,Real Sociedad,Espanyol,2,3,2015-09-20 00:00:00,Fuentes,Pass
85746,27,BlockedShot,0.7319999694824219,0.3940000152587891,0.05416179820895195,Víctor Álvarez,a,2111,DirectFreekick,2015,LeftFoot,1433,Real Sociedad,Espanyol,2,3,2015-09-20 00:00:00,,Standard
85748,35,SavedShot,0.7519999694824219,0.6969999694824218,0.014223200269043446,Víctor Álvarez,a,2111,OpenPlay,2015,LeftFoot,1433,Real Sociedad,Espanyol,2,3,2015-09-20 00:00:00,Enzo Roco,BallTouch
85757,55,BlockedShot,0.8730000305175781,0.4540000152587891,0.04685559868812561,Víctor Álvarez,a,2111,FromCorner,2015,LeftFoot,1433,Real Sociedad,Espanyol,2,3,2015-09-20 00:00:00,Marco Asensio,Cross
85176,17,Goal,0.9869999694824219,0.555,0.595408022403717,Víctor Álvarez,h,2111,SetPiece,2015,Head,1439,Espanyol,Valencia,1,0,2015-09-22 22:00:00,,None
86352,4,BlockedShot,0.8780000305175781,0.7,0.06247759982943535,Víctor Álvarez,a,2111,OpenPlay,2015,LeftFoot,1473,Real Betis,Espanyol,1,3,2015-10-18 00:05:00,,None
86827,10,SavedShot,0.9219999694824219,0.5529999923706055,0.3227739930152893,Víctor Álvarez,a,2111,OpenPlay,2015,Head,1479,Rayo Vallecano,Espanyol,3,0,2015-10-23 22:30:00,Hernán Pérez,Cross
87245,9,MissedShots,0.93,0.54,0.42125099897384644,Víctor Álvarez,h,2111,SetPiece,2015,LeftFoot,1538,Espanyol,Levante,1,1,2015-12-07 23:30:00,Marco Asensio,Chipped
88722,56,MissedShots,0.674000015258789,0.66,0.010975300334393978,Víctor Álvarez,a,2111,FromCorner,2015,LeftFoot,1594,Getafe,Espanyol,3,1,2016-01-17 21:15:00,,None
89015,72,BlockedShot,0.88,0.6079999923706054,0.10814300179481506,Víctor Álvarez,h,2111,OpenPlay,2015,LeftFoot,1600,Espanyol,Villarreal,2,2,2016-01-23 21:15:00,Gerard Moreno,Pass
89703,56,MissedShots,0.754000015258789,0.7090000152587891,0.017323799431324005,Víctor Álvarez,a,2111,FromCorner,2015,LeftFoot,1631,Valencia,Espanyol,2,1,2016-02-13 23:30:00,,Rebound
93021,30,BlockedShot,0.879000015258789,0.62,0.028779100626707077,Víctor Álvarez,a,2111,SetPiece,2015,RightFoot,1767,Barcelona,Espanyol,5,0,2016-05-08 19:00:00,,Aerial
156235,41,MissedShots,0.8290000152587891,0.625999984741211,0.03973520174622536,Víctor Álvarez,h,2111,OpenPlay,2017,LeftFoot,6526,Arsenal Tula,Amkar,0,1,2017-08-26 13:00:00,,BallTouch
156241,68,MissedShots,0.789000015258789,0.6909999847412109,0.022466599941253662,Víctor Álvarez,h,2111,OpenPlay,2017,RightFoot,6526,Arsenal Tula,Amkar,0,1,2017-08-26 13:00:00,Sergey Tkachev,Pass
156619,75,MissedShots,0.7269999694824218,0.765,0.010457700118422508,Víctor Álvarez,a,2111,OpenPlay,2017,LeftFoot,6539,FC Rostov,Arsenal Tula,2,2,2017-09-09 14:30:00,Igor Gorbatenko,Pass
156080,73,MissedShots,0.8069999694824219,0.7230000305175781,0.028915999457240105,Víctor Álvarez,h,2111,OpenPlay,2017,RightFoot,6547,Arsenal Tula,Dinamo Moscow,1,0,2017-09-15 17:30:00,,None
199657,50,MissedShots,0.705999984741211,0.72,0.011126999743282795,Víctor Álvarez,a,2111,OpenPlay,2017,LeftFoot,6642,Amkar,Arsenal Tula,0,2,2018-03-09 14:30:00,Igor Gorbatenko,Pass
222970,80,BlockedShot,0.7559999847412109,0.5879999923706055,0.014650899916887283,Víctor Álvarez,a,2111,SetPiece,2018,LeftFoot,8989,FC Yenisey Krasnoyarsk,Arsenal Tula,0,0,2018-09-02 11:00:00,,None
230706,25,MissedShots,0.7930000305175782,0.629000015258789,0.029773900285363197,Víctor Álvarez,a,2111,OpenPlay,2018,LeftFoot,9013,Ural,Arsenal Tula,2,1,2018-09-29 08:30:00,Sergey Tkachev,Pass
230920,47,BlockedShot,0.8269999694824218,0.7240000152587891,0.020207999274134636,Víctor Álvarez,h,2111,OpenPlay,2018,LeftFoot,9020,Arsenal Tula,FC Ufa,1,1,2018-10-05 16:30:00,Gia Grigalava,TakeOn
240167,34,BlockedShot,0.7180000305175781,0.629000015258789,0.015349100343883038,Víctor Álvarez,h,2111,OpenPlay,2018,LeftFoot,9049,Arsenal Tula,Anzhi Makhachkala,2,0,2018-11-09 16:30:00,,None
240179,73,BlockedShot,0.7119999694824218,0.5179999923706055,0.013323199935257435,Víctor Álvarez,h,2111,FromCorner,2018,LeftFoot,9049,Arsenal Tula,Anzhi Makhachkala,2,0,2018-11-09 16:30:00,,None
285631,63,SavedShot,0.764000015258789,0.615999984741211,0.04161439836025238,Víctor Álvarez,a,2111,OpenPlay,2018,RightFoot,9090,FC Rostov,Arsenal Tula,0,0,2019-03-10 11:00:00,Igor Gorbatenko,TakeOn
293332,45,SavedShot,0.7980000305175782,0.6120000076293945,0.031069999560713768,Víctor Álvarez,h,2111,OpenPlay,2018,RightFoot,9124,Arsenal Tula,Ural,0,0,2019-04-13 12:00:00,Reziuan Mirzov,Pass
293348,85,ShotOnPost,0.7480000305175781,0.6609999847412109,0.014008300378918648,Víctor Álvarez,h,2111,FromCorner,2018,LeftFoot,9124,Arsenal Tula,Ural,0,0,2019-04-13 12:00:00,,None
296183,29,MissedShots,0.7319999694824219,0.6509999847412109,0.013835400342941284,Víctor Álvarez,a,2111,OpenPlay,2018,LeftFoot,9132,FC Ufa,Arsenal Tula,1,2,2019-04-20 09:30:00,,Rebound
301977,85,BlockedShot,0.9130000305175782,0.6759999847412109,0.08389440178871155,Víctor Álvarez,a,2111,OpenPlay,2018,LeftFoot,9164,Anzhi Makhachkala,Arsenal Tula,0,1,2019-05-10 14:30:00,Ognjen Ozegovic,Pass
