goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,16,Sub,Eibar,Sporting Gijon,0,1,2017-05-14,4090,2016,159814,0,0,0,0,0,0,0
0,0,0,11,Sub,Sporting Gijon,Las Palmas,1,0,2017-05-06,4080,2016,160771,0,0,0,0,0,0,0
0,3,0.5323799848556519,90,MC,Villarreal,Sporting Gijon,3,1,2017-04-28,4070,2016,160391,0,0,0,0,0.5323799848556519,0.1651809960603714,0.15225599706172943
0,1,0.03557119891047478,78,MC,Real Sociedad,Sporting Gijon,3,1,2017-04-10,4027,2016,158390,0.09242060035467148,0,1,0,0.03557119891047478,0.05579239875078201,0.05579239875078201
0,1,0.01710600033402443,90,MC,Sevilla,Sporting Gijon,0,0,2017-04-02,4007,2016,158807,0.02185959927737713,0,1,0,0.01710600033402443,0.03896560147404671,0
0,0,0,10,Sub,Valencia,Sporting Gijon,1,1,2017-03-11,3994,2016,157174,0,0,0,0,0,0,0
0,0,0,90,MC,Barcelona,Sporting Gijon,6,1,2017-03-01,3967,2016,154780,0,0,0,0,0,0.29082199931144714,0.29082199931144714
0,0,0,17,Sub,Sporting Gijon,Celta Vigo,1,1,2017-02-26,3961,2016,157105,0,0,0,0,0,0,0
0,0,0,5,Sub,Leganes,Sporting Gijon,0,2,2017-02-12,3935,2016,157617,0,0,0,0,0,0,0
0,0,0,90,DMC,Athletic Club,Sporting Gijon,2,1,2017-01-29,3921,2016,155363,0,0,0,0,0,0.08139780163764954,0.08139780163764954
0,0,0,90,DMC,Real Betis,Sporting Gijon,0,0,2017-01-22,3911,2016,154612,0,0,0,0,0,0.0425649993121624,0.0425649993121624
0,0,0,90,MC,Las Palmas,Sporting Gijon,1,0,2017-01-07,3887,2016,155728,0.053670600056648254,0,1,0,0,0.3869189918041229,0.3869189918041229
0,0,0,20,Sub,Sporting Gijon,Real Sociedad,1,3,2016-11-20,2793,2016,153606,0,0,0,0,0,0,0
0,0,0,90,MC,Celta Vigo,Sporting Gijon,2,1,2016-09-21,1822,2016,151836,0,0,0,0,0,0,0
0,0,0,24,Sub,Sporting Gijon,Leganes,2,1,2016-09-11,1805,2016,151049,0,0,0,0,0,0,0
0,0,0,17,Sub,Alaves,Sporting Gijon,0,0,2016-08-28,1796,2016,150782,0,0,0,0,0,0,0
0,0,0,27,Sub,Sporting Gijon,Athletic Club,2,1,2016-08-21,1784,2016,150548,0,0,0,0,0,0.016790999099612236,0.016790999099612236
0,1,0.029879000037908554,90,DMC,Eibar,Real Betis,1,1,2016-05-08,1766,2015,103704,0,0,0,0,0.029879000037908554,0.7164149880409241,0.6865360140800476
0,0,0,12,Sub,Celta Vigo,Real Betis,1,1,2016-04-17,1723,2015,101347,0,0,0,0,0,0,0
0,1,0.04931449890136719,18,Sub,Atletico Madrid,Real Betis,5,1,2016-04-02,1700,2015,100736,0,0,0,0,0.04931449890136719,0,0
0,0,0,32,Sub,Espanyol,Real Betis,0,3,2016-03-03,1667,2015,100847,0,0,0,0,0,0,0
0,0,0,90,MC,Las Palmas,Real Betis,1,0,2015-12-13,1544,2015,97794,0,0,0,0,0,0.13680699467658997,0.13680699467658997
0,0,0,46,DMC,Real Betis,Atletico Madrid,0,1,2015-11-22,1517,2015,96837,0,0,0,0,0,0,0
0,0,0,43,Sub,Malaga,Real Betis,0,1,2015-11-08,1504,2015,96021,0,0,0,0,0,0,0
0,0,0,3,Sub,Sporting Gijon,Real Betis,1,2,2015-09-27,1455,2015,94297,0,0,0,0,0,0,0
0,0,0,76,MC,Real Betis,Deportivo La Coruna,1,2,2015-09-25,1448,2015,94612,0,0,0,0,0,0,0
0,0,0,38,Sub,Valencia,Real Betis,0,0,2015-09-19,1431,2015,95215,0,0,0,0,0,0,0
0,2,0.05506829917430878,90,MC,Real Madrid,Real Betis,5,0,2015-08-30,1413,2015,93711,0,0,0,0,0.05506829917430878,0.02507600001990795,0
0,3,0.5070030093193054,90,MC,Real Betis,Villarreal,1,1,2015-08-24,1407,2015,93393,0.05881340056657791,0,1,0,0.5070030093193054,0.15017500519752502,0.07357720285654068
