goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,3,0.20783600211143494,90,FW,Real Valladolid,Valencia,0,2,2019-05-18,10336,2018,333628,0,0,0,0,0.20783600211143494,0.3339950144290924,0.12615899741649628
0,0,0,1,Sub,Rayo Vallecano,Real Valladolid,1,2,2019-05-12,10321,2018,332700,0,0,0,0,0,0,0
0,1,0.02368980087339878,15,Sub,Real Valladolid,Real Madrid,1,4,2019-03-10,10218,2018,315549,0,0,0,0,0.02368980087339878,0.02368980087339878,0
0,0,0,7,Sub,Levante,Real Valladolid,2,0,2019-01-20,10156,2018,309842,0.45755499601364136,0,1,0,0,0.45755499601364136,0
0,0,0,10,Sub,Valencia,Real Valladolid,1,1,2019-01-12,10142,2018,309425,0,0,0,0,0,0,0
0,0,0,26,Sub,Real Valladolid,Rayo Vallecano,0,1,2019-01-05,10136,2018,309133,0.0208187997341156,0,1,0,0,0.024826399981975555,0.024826399981975555
0,0,0,11,Sub,Real Sociedad,Real Valladolid,1,2,2018-12-09,10102,2018,287379,0,0,0,0,0,0,0
0,2,0.16884399950504303,27,Sub,Real Valladolid,Leganes,2,4,2018-12-01,10096,2018,286950,0.3751949965953827,0,2,0,0.16884399950504303,0.5440390110015869,0
0,0,0,70,FW,Sevilla,Real Valladolid,1,0,2018-11-25,10081,2018,286793,0.030546799302101135,0,1,0,0,0.030546799302101135,0
0,0,0,5,Sub,Real Valladolid,Eibar,0,0,2018-11-10,10068,2018,286363,0,0,0,0,0,0,0
0,0,0,5,Sub,Real Madrid,Real Valladolid,2,0,2018-11-03,10065,2018,286099,0,0,0,0,0,0,0
0,3,0.6781759858131409,84,FW,Real Valladolid,SD Huesca,1,0,2018-10-07,10036,2018,285333,0,0,0,0,0.6781759858131409,0.6781759858131409,0
0,2,0.6219930052757263,90,FW,Villarreal,Real Valladolid,0,1,2018-09-30,10026,2018,254302,0,0,0,0,0.6219930052757263,0.6414660215377808,0.019473500549793243
0,2,0.12263599783182144,76,FW,Real Valladolid,Levante,2,1,2018-09-27,10009,2018,253005,0.18735699355602264,0,3,0,0.12263599783182144,0.8834459781646729,0.5927069783210754
0,2,0.4284000098705292,90,FW,Celta Vigo,Real Valladolid,3,3,2018-09-22,10005,2018,250602,0.04202200099825859,0,1,0,0.4284000098705292,1.0223499536514282,0.5519310235977173
0,0,0,27,Sub,Real Valladolid,Alaves,0,1,2018-09-16,9994,2018,249702,0,0,0,0,0,0,0
0,1,0.11932799965143204,18,Sub,Getafe,Real Valladolid,0,0,2018-08-31,9977,2018,246371,0,0,0,0,0.11932799965143204,0.11932799965143204,0
0,0,0,20,Sub,Real Valladolid,Barcelona,0,1,2018-08-25,9971,2018,245577,0.3403089940547943,0,1,0,0,0.35849401354789734,0.35849401354789734
0,0,0,12,Sub,AC Milan,Cagliari,2,1,2017-08-27,7513,2017,192160,0,0,0,0,0,0,0
0,0,0,82,FW,Juventus,Cagliari,3,0,2017-08-19,7499,2017,191879,0,0,0,0,0,0,0
0,0,0,25,Sub,Sporting Gijon,Real Betis,2,2,2017-05-20,4102,2016,160409,0,0,0,0,0,0,0
0,6,0.8226900100708008,90,FW,Eibar,Sporting Gijon,0,1,2017-05-14,4090,2016,159812,0,0,0,0,0.8226900100708008,0.8698329925537109,0.047142598778009415
0,5,0.5026220083236694,90,FW,Sporting Gijon,Las Palmas,1,0,2017-05-06,4080,2016,160769,0,0,0,0,0.5026220083236694,0.5505660176277161,0.11150500178337097
0,3,0.18520599603652954,90,FW,Villarreal,Sporting Gijon,3,1,2017-04-28,4070,2016,160394,0.027410000562667847,0,1,0,0.18520599603652954,0.146806001663208,0.027410000562667847
0,2,0.12064199894666672,90,FW,Sporting Gijon,Espanyol,1,1,2017-04-25,4059,2016,159771,0.08726280182600021,0,2,0,0.12064199894666672,0.1770869940519333,0
0,2,0.4570089876651764,90,FW,Osasuna,Sporting Gijon,2,2,2017-04-22,4049,2016,158867,0.9947760105133057,1,2,0,0.4570089876651764,1.5249899625778198,0.4476189911365509
1,2,0.37718701362609863,79,FW,Sporting Gijon,Real Madrid,2,3,2017-04-15,4038,2016,159354,0,0,0,1,0.37718701362609863,0.37718701362609863,0.06198300048708916
1,3,0.6043210029602051,77,FW,Valencia,Sporting Gijon,1,1,2017-03-11,3994,2016,157171,0.18241700530052185,0,2,1,0.6043210029602051,0.8067539930343628,0.020015899091959
0,0,0,11,Sub,Sporting Gijon,Deportivo La Coruna,0,1,2017-03-05,3976,2016,154993,0,0,0,0,0,0,0
0,0,0,3,Sub,Sporting Gijon,Celta Vigo,1,1,2017-02-26,3961,2016,157104,0,0,0,0,0,0,0
0,0,0,4,Sub,Sporting Gijon,Atletico Madrid,1,4,2017-02-18,3953,2016,155856,0,0,0,0,0,0,0
0,0,0,63,FW,Sporting Gijon,Alaves,2,4,2017-02-05,3925,2016,156246,0,0,0,0,0,0,0
1,3,0.8388019800186157,90,FW,Athletic Club,Sporting Gijon,2,1,2017-01-29,3921,2016,155368,0,0,0,0,0.09552449733018875,0.09552449733018875,0
0,4,0.6520280241966248,76,FW,Real Betis,Sporting Gijon,0,0,2017-01-22,3911,2016,154616,0,0,0,0,0.6520280241966248,0.6374059915542603,0.0425649993121624
0,1,0.039528701454401016,62,FW,Las Palmas,Sporting Gijon,1,0,2017-01-07,3887,2016,155731,0.06385870277881622,0,2,0,0.039528701454401016,0.10338699817657471,0
0,4,0.20182999968528748,90,FW,Sporting Gijon,Villarreal,1,3,2016-12-17,3184,2016,157686,0,0,0,0,0.20182999968528748,0.20182999968528748,0
1,3,0.21332000195980072,90,FW,Espanyol,Sporting Gijon,2,1,2016-12-11,3180,2016,154422,0,0,0,1,0.21332000195980072,0.104203000664711,0
0,1,0.03704629838466644,81,FW,Sporting Gijon,Osasuna,3,1,2016-12-04,3169,2016,154020,0.13157600164413452,0,1,0,0.03704629838466644,0.6466460227966309,0.5150700211524963
0,3,0.8399659991264343,90,FW,Real Madrid,Sporting Gijon,2,1,2016-11-26,2798,2016,154173,0,0,0,0,0.09668870270252228,0.09668870270252228,0
1,2,0.07962089776992798,90,FW,Sporting Gijon,Real Sociedad,1,3,2016-11-20,2793,2016,153603,0.11740700155496597,0,2,1,0.07962089776992798,0.1970279961824417,0
1,3,0.6120759844779968,90,FW,Malaga,Sporting Gijon,3,2,2016-11-04,2776,2016,153229,0.5953850150108337,1,2,1,0.6120759844779968,1.1289499998092651,0
0,3,0.15392200648784637,70,FW,Sporting Gijon,Sevilla,1,1,2016-10-29,3309,2016,152606,0,0,0,0,0.15392200648784637,0.25383201241493225,0.09991080313920975
0,1,0.09747850149869919,90,FW,Granada,Sporting Gijon,0,0,2016-10-22,1863,2016,153201,0.11943499743938446,0,1,0,0.09747850149869919,0.21691399812698364,0
0,4,0.1369819939136505,64,FW,Sporting Gijon,Valencia,1,2,2016-10-16,1856,2016,153023,0.119378000497818,0,2,0,0.1369819939136505,0.2563599944114685,0
0,2,0.05470329895615578,90,FW,Deportivo La Coruna,Sporting Gijon,2,1,2016-10-01,1843,2016,152173,0.022513600066304207,0,1,0,0.05470329895615578,0.09020309895277023,0.01298619993031025
0,2,0.11462099850177765,68,FW,Sporting Gijon,Barcelona,0,5,2016-09-24,1831,2016,152106,0.12982800602912903,0,2,0,0.11462099850177765,0.25356900691986084,0.009119659662246704
