goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,71,MC,Espanyol,Valencia,1,1,2022-05-15,17503,2021,536533,0,0,0,0,0,0.026662299409508705,0.026662299409508705
0,1,0.017062900587916374,13,Sub,Alaves,Espanyol,2,1,2022-05-11,17486,2021,534677,0.02782520093023777,0,1,0,0.017062900587916374,0.02782520093023777,0
0,1,0.009497660212218761,10,Sub,Real Madrid,Espanyol,4,0,2022-04-30,17471,2021,530609,0.00958258006721735,0,1,0,0.009497660212218761,0.01908019930124283,0.00958258006721735
0,0,0,1,Sub,Espanyol,Getafe,2,0,2022-03-05,17401,2021,517645,0,0,0,0,0,0,0
0,0,0,19,Sub,Espanyol,Barcelona,2,2,2022-02-13,17370,2021,513674,0,0,0,0,0,0.047247398644685745,0.047247398644685745
0,0,0,3,Sub,Espanyol,Elche,1,2,2022-01-10,17328,2021,507683,0.04902369901537895,0,1,0,0,0,0
0,0,0,7,Sub,Elche,Espanyol,2,2,2021-10-23,17227,2021,490200,0,0,0,0,0,0,0
0,0,0,50,MC,Sevilla,Espanyol,2,0,2021-09-25,17200,2021,484960,0,0,0,0,0,0,0
0,2,0.11059299856424332,24,Sub,Espanyol,Alaves,1,0,2021-09-22,17193,2021,483792,0.11425799876451492,0,1,0,0.11059299856424332,0.47378501296043396,0.40283000469207764
0,0,0,64,MC,Osasuna,Espanyol,0,0,2021-08-14,17137,2021,475913,0,0,0,0,0,0.03823469951748848,0.03823469951748848
0,1,0.025637799873948097,62,MC,Osasuna,Mallorca,2,2,2020-07-19,12399,2019,410247,0,0,0,0,0.025637799873948097,0,0
0,0,0,82,MC,Real Betis,Osasuna,3,0,2020-07-08,12365,2019,406738,0,0,0,0,0,0,0
0,0,0,6,Sub,Osasuna,Getafe,0,0,2020-07-05,12359,2019,405831,0,0,0,0,0,0,0
0,0,0,65,MC,Osasuna,Leganes,2,1,2020-06-27,12340,2019,403436,0.33149099349975586,1,1,0,0,0.36777999997138977,0.36777999997138977
0,0,0,1,Sub,Alaves,Osasuna,0,1,2020-06-24,12323,2019,402453,0,0,0,0,0,0,0
0,0,0,15,Sub,Valencia,Osasuna,2,0,2020-06-21,12322,2019,401717,0,0,0,0,0,0.6409580111503601,0.6409580111503601
0,2,0.025309599936008453,28,Sub,Osasuna,Granada,0,3,2020-02-23,12270,2019,395065,0.015871599316596985,0,1,0,0.025309599936008453,0.025309599936008453,0
0,0,0,1,Sub,Athletic Club,Osasuna,0,1,2020-02-16,12253,2019,394333,0,0,0,0,0,0,0
0,1,0.00811230018734932,81,Sub,Osasuna,Real Madrid,1,4,2020-02-09,12246,2019,393177,0,0,0,0,0.00811230018734932,0.08868300169706345,0.08057069778442383
0,0,0,14,Sub,Osasuna,Real Sociedad,3,4,2019-12-22,12199,2019,372101,0.02327439934015274,0,1,0,0,0,0
0,2,0.03384460136294365,80,MC,Atletico Madrid,Osasuna,2,0,2019-12-14,12185,2019,370203,0,0,0,0,0.03384460136294365,0.03384460136294365,0
0,0,0,9,Sub,Osasuna,Sevilla,1,1,2019-12-08,12179,2019,369366,0,0,0,0,0,0.0394228994846344,0.0394228994846344
0,1,0.018254999071359634,90,MC,Osasuna,Athletic Club,1,2,2019-11-24,12159,2019,365300,0,0,0,0,0.018254999071359634,0.10808499902486801,0.10808499902486801
0,0,0,4,Sub,Getafe,Osasuna,0,0,2019-11-10,12149,2019,364152,0,0,0,0,0,0,0
0,0,0,90,MC,Osasuna,Alaves,4,2,2019-11-03,12138,2019,362284,0.10693199932575226,0,1,0,0,0.9021130204200745,0.7951809763908386
0,1,0.019531400874257088,28,Sub,Mallorca,Osasuna,2,2,2019-10-31,12129,2019,361056,0,0,0,0,0.019531400874257088,0.391741007566452,0.37220999598503113
0,0,0,27,Sub,Granada,Osasuna,1,0,2019-10-18,12109,2019,357471,0,0,0,0,0,0,0
