goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DL,Deportivo La Coruna,Las Palmas,3,0,2017-05-20,4103,2016,160360,0.02166219986975193,0,1,0,0,0.019455300644040108,0.019455300644040108
0,1,0.010534999892115593,90,DL,Las Palmas,Barcelona,1,4,2017-05-14,4085,2016,160902,0.03614180162549019,0,1,0,0.010534999892115593,0.14096799492835999,0.13043299317359924
0,1,0.013284900225698948,61,Sub,Sporting Gijon,Las Palmas,1,0,2017-05-06,4080,2016,160786,0,0,0,0,0.013284900225698948,0.036588601768016815,0.023303700610995293
0,2,0.0335174985229969,90,DL,Leganes,Las Palmas,3,0,2017-04-26,4061,2016,159890,0,0,0,0,0.0335174985229969,0.0335174985229969,0
0,0,0,90,DL,Eibar,Las Palmas,3,1,2017-04-06,4015,2016,159417,0,0,0,0,0,0.06649179756641388,0.06649179756641388
0,0,0,90,DL,Espanyol,Las Palmas,4,3,2017-03-10,3991,2016,156753,0.04410729929804802,0,1,0,0,0.146916002035141,0.146916002035141
0,0,0,81,DL,Las Palmas,Real Sociedad,0,1,2017-02-24,3963,2016,156821,0.1307229995727539,0,2,0,0,0.15022200345993042,0.05656940117478371
0,0,0,90,DL,Las Palmas,Deportivo La Coruna,1,1,2017-01-20,3904,2016,154513,0.13391399383544922,0,1,0,0,0.20394399762153625,0.0700301006436348
0,1,0.0331960991024971,90,DL,Barcelona,Las Palmas,5,0,2017-01-14,3895,2016,156282,0.09519980102777481,0,1,0,0.0331960991024971,0.16032899916172028,0.12713299691677094
0,1,0.010296099819242954,84,DL,Atletico Madrid,Las Palmas,1,0,2016-12-17,3185,2016,154720,0.02196110039949417,0,1,0,0.010296099819242954,0.10877399891614914,0.09847819805145264
0,0,0,90,DL,Las Palmas,Leganes,1,1,2016-12-10,3176,2016,156434,0,0,0,0,0,0.6849470138549805,0.6849470138549805
0,0,0,90,DL,Alaves,Las Palmas,1,1,2016-12-04,3170,2016,153916,0.08724100142717361,1,1,0,0,0.11724299937486649,0.11724299937486649
0,0,0,90,DL,Las Palmas,Athletic Club,3,1,2016-11-28,2805,2016,154374,0,0,0,0,0,0.3628990054130554,0.3628990054130554
0,0,0,71,DL,Osasuna,Las Palmas,2,2,2016-10-01,1842,2016,152363,0,0,0,0,0,0.09681980311870575,0.09681980311870575
0,0,0,31,Sub,Real Sociedad,Las Palmas,4,1,2016-09-22,1823,2016,151785,0,0,0,0,0,0.3267990052700043,0.3267990052700043
