goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,32,Sub,Elche,Alaves,0,2,2021-05-11,15137,2020,469935,0,0,0,0,0,0.4805090129375458,0.4805090129375458
0,0,0,7,Sub,Elche,Atletico Madrid,0,1,2021-05-01,15112,2020,466984,0.45580801367759705,0,1,0,0,0.04170000180602074,0.04170000180602074
0,0,0,16,Sub,Elche,Real Valladolid,1,1,2021-04-21,15087,2020,464653,0,0,0,0,0,0.501164972782135,0.501164972782135
0,0,0,13,Sub,Osasuna,Elche,2,0,2021-04-18,15106,2020,463281,0,0,0,0,0,0,0
0,0,0,15,Sub,Elche,Real Betis,1,1,2021-04-04,15067,2020,460332,0,0,0,0,0,0,0
0,0,0,4,Sub,Sevilla,Elche,2,0,2021-03-17,14150,2020,457631,0,0,0,0,0,0.05250009894371033,0.05250009894371033
0,0,0,11,Sub,Granada,Elche,2,1,2021-02-28,15023,2020,453321,0.06269419938325882,0,1,0,0,0,0
0,0,0,9,Sub,Valencia,Elche,1,0,2021-01-30,14985,2020,445850,0,0,0,0,0,0.026020299643278122,0.026020299643278122
0,0,0,82,MC,Elche,Barcelona,0,2,2021-01-24,14972,2020,444687,0,0,0,0,0,0,0
0,0,0,14,Sub,Real Valladolid,Elche,2,2,2021-01-19,14966,2020,443120,0,0,0,0,0,0,0
0,0,0,19,Sub,Elche,Getafe,1,3,2021-01-11,14957,2020,441680,0,0,0,0,0,0,0
0,0,0,44,Sub,Athletic Club,Elche,1,0,2021-01-03,14938,2020,439397,0.0384242981672287,0,1,0,0,0,0
0,0,0,75,MC,Elche,Real Madrid,1,1,2020-12-30,14934,2020,438757,0,0,0,0,0,0.12199000269174576,0.12199000269174576
0,0,0,44,Sub,Elche,Osasuna,2,2,2020-12-22,14922,2020,437147,0,0,0,0,0,0.0168031994253397,0.0168031994253397
0,0,0,4,Sub,Real Betis,Elche,3,1,2020-11-01,14847,2020,424996,0.3360370099544525,0,1,0,0,0.3360370099544525,0
0,0,0,2,Sub,Elche,Real Sociedad,0,3,2020-09-26,14163,2020,417537,0,0,0,0,0,0,0
0,2,0.12378200143575668,38,Sub,Villarreal,Sporting Gijon,3,1,2017-04-28,4070,2016,160396,0.13142399489879608,1,3,0,0.12378200143575668,0.1573379933834076,0
1,3,0.12219700217247009,72,MR,Sporting Gijon,Espanyol,1,1,2017-04-25,4059,2016,159767,0.1403450071811676,0,3,1,0.12219700217247009,0.14967699348926544,0.0659547969698906
0,0,0,26,Sub,Osasuna,Sporting Gijon,2,2,2017-04-22,4049,2016,158870,0,0,0,0,0,0,0
0,0,0,63,FWR,Real Sociedad,Sporting Gijon,3,1,2017-04-10,4027,2016,158393,0,0,0,0,0,0,0
0,1,0.022014599293470383,17,Sub,Sporting Gijon,Malaga,0,1,2017-04-05,4023,2016,159661,0.06948699802160263,0,2,0,0.022014599293470383,0.09150160104036331,0
0,2,0.3973329961299896,56,MC,Sporting Gijon,Granada,3,1,2017-03-19,4002,2016,157570,0.09703350067138672,0,2,0,0.3973329961299896,0.3973329961299896,0
0,1,0.050981100648641586,57,Sub,Sporting Gijon,Deportivo La Coruna,0,1,2017-03-05,3976,2016,154995,0.12232500314712524,0,2,0,0.050981100648641586,0.12232500314712524,0.10752899944782257
0,0,0,43,Sub,Barcelona,Sporting Gijon,6,1,2017-03-01,3967,2016,154783,0,0,0,0,0,0,0
0,0,0,4,Sub,Sporting Gijon,Atletico Madrid,1,4,2017-02-18,3953,2016,155858,0,0,0,0,0,0,0
0,0,0,90,MR,Athletic Club,Sporting Gijon,2,1,2017-01-29,3921,2016,155364,0.08139780163764954,0,1,0,0,0.09552449733018875,0.014126700349152088
0,1,0.018396299332380295,61,AMR,Real Betis,Sporting Gijon,0,0,2017-01-22,3911,2016,154613,0.07812689989805222,0,1,0,0.018396299332380295,0.09652320295572281,0
0,4,0.48915600776672363,90,ML,Las Palmas,Sporting Gijon,1,0,2017-01-07,3887,2016,155730,0.03726540133357048,0,2,0,0.48915600776672363,0.5264220237731934,0
0,0,0,12,Sub,Espanyol,Sporting Gijon,2,1,2016-12-11,3180,2016,154424,0,0,0,0,0,0.04019419848918915,0.04019419848918915
0,0,0,13,Sub,Real Madrid,Sporting Gijon,2,1,2016-11-26,2798,2016,154176,0,0,0,0,0,0,0
0,0,0,61,MR,Sporting Gijon,Real Sociedad,1,3,2016-11-20,2793,2016,153599,0,0,0,0,0,0.052977900952100754,0.052977900952100754
0,0,0,19,Sub,Malaga,Sporting Gijon,3,2,2016-11-04,2776,2016,153232,0,0,0,0,0,0,0
0,0,0,8,Sub,Granada,Sporting Gijon,0,0,2016-10-22,1863,2016,153205,0,0,0,0,0,0,0
0,0,0,79,MR,Sporting Gijon,Valencia,1,2,2016-10-16,1856,2016,153019,0,0,0,0,0,0.23138800263404846,0.23138800263404846
0,1,0.02560730092227459,68,AMR,Deportivo La Coruna,Sporting Gijon,2,1,2016-10-01,1843,2016,152170,0,0,0,0,0.02560730092227459,0.02560730092227459,0
0,2,0.2333189994096756,77,AMC,Sporting Gijon,Barcelona,0,5,2016-09-24,1831,2016,152104,0,0,0,0,0.2333189994096756,0.10065499693155289,0.03867819905281067
0,2,0.09617509692907333,90,MR,Celta Vigo,Sporting Gijon,2,1,2016-09-21,1822,2016,151835,0,0,0,0,0.09617509692907333,0.03235889971256256,0
0,0,0,63,AMC,Atletico Madrid,Sporting Gijon,5,0,2016-09-17,1811,2016,151559,0.09727930277585983,0,2,0,0,0.15857699513435364,0.061297301203012466
0,1,0.03638390079140663,90,AMC,Sporting Gijon,Leganes,2,1,2016-09-11,1805,2016,151044,0.05574529990553856,0,1,0,0.03638390079140663,0.09212920069694519,0
0,3,0.14551499485969543,90,AMR,Alaves,Sporting Gijon,0,0,2016-08-28,1796,2016,150777,0.1105479970574379,0,2,0,0.14551499485969543,0.21719799935817719,0.07168339937925339
1,4,0.25647100806236267,90,AMC,Sporting Gijon,Athletic Club,2,1,2016-08-21,1784,2016,150543,0.04138470068573952,0,2,1,0.25647100806236267,0.3691540062427521,0.11632800102233887
0,0,0,11,Sub,Getafe,Valencia,2,2,2016-04-24,1746,2015,102945,0,0,0,0,0,0.10726500302553177,0.10726500302553177
0,0,0,4,Sub,Real Sociedad,Getafe,1,2,2016-04-21,1737,2015,102095,0.09625910222530365,0,1,0,0,0.09625910222530365,0.09625910222530365
0,0,0,12,Sub,Villarreal,Getafe,2,0,2016-04-10,1716,2015,101152,0,0,0,0,0,0,0
