goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Barcelona,Real Sociedad,1,0,2018-05-20,8258,2017,241228,0,0,0,0,0,0,0
0,0,0,7,Sub,Real Sociedad,Leganes,3,2,2018-05-12,8245,2017,239214,0,0,0,0,0,0,0
1,1,0.7432780265808105,12,MC,Real Sociedad,Levante,3,0,2018-02-18,8109,2017,218297,0,0,0,0,0,0,0
0,0,0,90,FW,Real Madrid,Real Sociedad,5,2,2018-02-10,8100,2017,216835,0.013505199924111366,0,1,0,0,0.3435620069503784,0.3300569951534271
0,2,0.15864400565624237,85,MC,Real Sociedad,Deportivo La Coruna,5,0,2018-02-02,8090,2017,216568,0.0339123010635376,0,1,0,0.15864400565624237,0.7478439807891846,0.5892000198364258
0,2,0.0969173014163971,85,AMC,Villarreal,Real Sociedad,4,2,2018-01-27,8079,2017,210849,0.06385920196771622,0,2,0,0.0969173014163971,0.211900994181633,0.09864649921655655
0,0,0,82,MC,Real Sociedad,Celta Vigo,1,2,2018-01-21,8077,2017,210005,1.0129400491714478,1,7,0,0,1.0129400491714478,0.35973799228668213
0,0,0,79,AMC,Real Sociedad,Barcelona,2,4,2018-01-14,8065,2017,208377,0.15349799394607544,1,3,0,0,0.3282710015773773,0.19843000173568726
0,1,0.013697599992156029,84,MC,Leganes,Real Sociedad,1,0,2018-01-07,8054,2017,207206,0,0,0,0,0.013697599992156029,0.3877440094947815,0.3877440094947815
0,0,0,90,MC,Real Sociedad,Sevilla,3,1,2017-12-20,8044,2017,204563,0.05057070031762123,0,1,0,0,0.9261699914932251,0.8755990266799927
0,1,0.06986139714717865,90,MC,Athletic Club,Real Sociedad,0,0,2017-12-16,8035,2017,204714,0.10344900190830231,0,2,0,0.06986139714717865,0.1890619993209839,0.08561240136623383
0,2,0.09459859877824783,90,MC,Real Sociedad,Malaga,0,2,2017-12-10,8023,2017,199683,0.49392199516296387,0,4,0,0.09459859877824783,0.5974220037460327,0.4829849898815155
0,2,0.2524000108242035,70,FWR,Atletico Madrid,Real Sociedad,2,1,2017-12-02,8013,2017,190994,0.3476729989051819,0,1,0,0.2524000108242035,0.600072979927063,0
0,0,0,70,MC,Real Sociedad,Las Palmas,2,2,2017-11-26,8002,2017,190374,0.4017159938812256,0,1,0,0,0.9853010177612305,0.5835850238800049
0,0,0,90,MC,Girona,Real Sociedad,1,1,2017-11-17,7992,2017,191516,0.14327600598335266,0,2,0,0,0.24937200546264648,0.10609599947929382
0,0,0,90,MC,Real Sociedad,Eibar,3,1,2017-11-05,7981,2017,191117,0.6593859791755676,0,1,0,0,0.7574329972267151,0.09804660081863403
0,0,0,90,MC,Getafe,Real Sociedad,2,1,2017-10-29,7971,2017,190580,0.040418099611997604,0,1,0,0,0.3084239959716797,0.3084239959716797
0,0,0,74,MC,Real Sociedad,Espanyol,1,1,2017-10-23,7963,2017,189846,0.056512098759412766,0,1,0,0,0.5144619941711426,0.4579490125179291
0,0,0,90,MC,Alaves,Real Sociedad,0,2,2017-10-14,7950,2017,190333,0.11339300125837326,1,3,0,0,0.16373500227928162,0.14174099266529083
1,2,0.4272870123386383,72,MC,Real Sociedad,Real Betis,4,4,2017-10-01,7939,2017,189707,0.09533429890871048,0,1,1,0.4272870123386383,0.6023169755935669,0.07969599962234497
0,1,0.060447800904512405,82,MC,Real Sociedad,Valencia,2,3,2017-09-24,7929,2017,189234,0.07881169766187668,0,2,0,0.060447800904512405,0.06321439892053604,0.06321439892053604
0,0,0,90,AMC,Levante,Real Sociedad,3,0,2017-09-21,7919,2017,188970,0.08947619795799255,0,1,0,0,0.12810899317264557,0.038632698357105255
0,0,0,72,MC,Real Sociedad,Real Madrid,1,3,2017-09-17,7910,2017,188703,0,0,0,0,0,0.07324980199337006,0.07324980199337006
0,0,0,90,MC,Deportivo La Coruna,Real Sociedad,2,4,2017-09-10,7900,2017,188438,0.5382599830627441,2,4,0,0,1.2050700187683105,0.7194030284881592
1,2,0.5187780261039734,90,MC,Real Sociedad,Villarreal,3,0,2017-08-25,7889,2017,188173,0.844186007976532,0,2,1,0.5187780261039734,0.5165979862213135,0.08578480035066605
0,0,0,84,MC,Celta Vigo,Real Sociedad,2,3,2017-08-19,7881,2017,188047,0.043704498559236526,0,1,0,0,0.18047599494457245,0.1367720067501068
0,1,0.05855349823832512,90,MC,Celta Vigo,Real Sociedad,2,2,2017-05-21,4104,2016,160584,0.4094789922237396,1,2,0,0.05855349823832512,0.46803298592567444,0
1,2,0.8551350235939026,90,MC,Real Sociedad,Malaga,2,2,2017-05-14,4094,2016,160016,0,0,0,0,0.11185699701309204,0.20809400081634521,0.20809400081634521
0,1,0.018875600770115852,90,AMC,Sevilla,Real Sociedad,1,1,2017-05-05,4076,2016,160670,0.024405300617218018,0,1,0,0.018875600770115852,0.13540999591350555,0.09212879836559296
0,0,0,70,MC,Real Sociedad,Granada,2,1,2017-04-29,4067,2016,160210,0.12318000197410583,0,1,0,0,0.9851059913635254,0.8619260191917419
0,0,0,90,MC,Valencia,Real Sociedad,2,3,2017-04-26,4057,2016,159584,0.06786330044269562,0,1,0,0,0.5465869903564453,0.5465869903564453
