id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
195484,21,BlockedShot,0.889000015258789,0.4620000076293945,0.08548949658870697,Yerry Mina,h,6521,SetPiece,2017,LeftFoot,8104,Barcelona,Getafe,0,0,2018-02-11 15:15:00,Luis Suárez,Chipped
195498,74,SavedShot,0.899000015258789,0.5479999923706055,0.0650893971323967,Yerry Mina,h,6521,SetPiece,2017,Head,8104,Barcelona,Getafe,0,0,2018-02-11 15:15:00,Lionel Messi,Chipped
195500,76,MissedShots,0.92,0.45799999237060546,0.09985099732875824,Yerry Mina,h,6521,FromCorner,2017,Head,8104,Barcelona,Getafe,0,0,2018-02-11 15:15:00,Ousmane Dembélé,Cross
250735,3,MissedShots,0.915,0.4759999847412109,0.3087159991264343,Yerry Mina,a,6521,SetPiece,2018,Head,9330,Liverpool,Everton,1,0,2018-12-02 16:15:00,Lucas Digne,Cross
251217,12,MissedShots,0.870999984741211,0.49599998474121093,0.012862900272011757,Yerry Mina,h,6521,SetPiece,2018,Head,9351,Everton,Watford,2,2,2018-12-10 20:00:00,Gylfi Sigurdsson,Aerial
251909,1,Goal,0.9269999694824219,0.49700000762939456,0.3640249967575073,Yerry Mina,a,6521,FromCorner,2018,Head,9385,Burnley,Everton,1,5,2018-12-26 15:00:00,Bernard,Cross
286891,47,BlockedShot,0.899000015258789,0.5129999923706055,0.06137879937887192,Yerry Mina,h,6521,FromCorner,2018,Head,9503,Everton,Chelsea,2,0,2019-03-17 16:30:00,Lucas Digne,Cross
312224,54,MissedShots,0.9180000305175782,0.5120000076293946,0.04306900128722191,Yerry Mina,a,6521,FromCorner,2019,Head,11663,Aston Villa,Everton,2,0,2019-08-23 20:00:00,Lucas Digne,Aerial
312225,65,BlockedShot,0.9130000305175782,0.48700000762939455,0.03536539897322655,Yerry Mina,a,6521,FromCorner,2019,Head,11663,Aston Villa,Everton,2,0,2019-08-23 20:00:00,Lucas Digne,Aerial
316301,28,SavedShot,0.9169999694824219,0.519000015258789,0.040716201066970825,Yerry Mina,h,6521,FromCorner,2019,Head,11681,Everton,Wolverhampton Wanderers,3,2,2019-09-01 14:00:00,Gylfi Sigurdsson,Aerial
316305,71,BlockedShot,0.825,0.5359999847412109,0.043566398322582245,Yerry Mina,h,6521,FromCorner,2019,LeftFoot,11681,Everton,Wolverhampton Wanderers,3,2,2019-09-01 14:00:00,,None
316310,85,SavedShot,0.8780000305175781,0.46,0.02611660026013851,Yerry Mina,h,6521,FromCorner,2019,Head,11681,Everton,Wolverhampton Wanderers,3,2,2019-09-01 14:00:00,Gylfi Sigurdsson,Cross
320400,39,OwnGoal,0.017999999523162842,0.5020000076293946,0,Yerry Mina,h,6521,FromCorner,2019,OtherBodyPart,11698,Everton,Sheffield United,0,2,2019-09-21 14:00:00,,CornerAwarded
322856,53,SavedShot,0.95,0.49900001525878906,0.5414450168609619,Yerry Mina,h,6521,SetPiece,2019,Head,11711,Everton,Manchester City,1,3,2019-09-28 16:30:00,Lucas Digne,Cross
322863,78,SavedShot,0.9119999694824219,0.53,0.03130359947681427,Yerry Mina,h,6521,FromCorner,2019,Head,11711,Everton,Manchester City,1,3,2019-09-28 16:30:00,Gylfi Sigurdsson,Aerial
322865,82,SavedShot,0.9209999847412109,0.49,0.047857899218797684,Yerry Mina,h,6521,FromCorner,2019,Head,11711,Everton,Manchester City,1,3,2019-09-28 16:30:00,Gylfi Sigurdsson,Aerial
324074,21,MissedShots,0.8919999694824219,0.509000015258789,0.017545100301504135,Yerry Mina,a,6521,FromCorner,2019,Head,11714,Burnley,Everton,1,0,2019-10-05 15:00:00,Gylfi Sigurdsson,Aerial
325320,53,SavedShot,0.9159999847412109,0.49599998474121093,0.041192300617694855,Yerry Mina,h,6521,FromCorner,2019,Head,11727,Everton,West Ham,2,0,2019-10-19 12:30:00,Lucas Digne,Aerial
325323,61,SavedShot,0.9059999847412109,0.500999984741211,0.07498560100793839,Yerry Mina,h,6521,FromCorner,2019,Head,11727,Everton,West Ham,2,0,2019-10-19 12:30:00,Lucas Digne,Cross
330666,29,MissedShots,0.8959999847412109,0.5209999847412109,0.018801700323820114,Yerry Mina,a,6521,FromCorner,2019,Head,11758,Southampton,Everton,1,2,2019-11-09 15:00:00,Lucas Digne,Aerial
