id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
135215,79,BlockedShot,0.6990000152587891,0.6309999847412109,0.009374760091304779,Cristian Rivera,a,5076,OpenPlay,2016,RightFoot,1780,Deportivo La Coruna,Eibar,2,1,2016-08-20 00:00:00,,None
139448,37,MissedShots,0.7240000152587891,0.5670000076293945,0.021835999563336372,Cristian Rivera,h,5076,OpenPlay,2016,LeftFoot,3917,Eibar,Deportivo La Coruna,3,1,2017-01-28 20:30:00,Sergi Enrich,Pass
141529,38,BlockedShot,0.8719999694824219,0.63,0.01391919981688261,Cristian Rivera,a,5076,FromCorner,2016,Head,3974,Real Sociedad,Eibar,2,2,2017-02-28 18:30:00,Pedro León,Cross
142240,66,SavedShot,0.8809999847412109,0.28299999237060547,0.025277800858020782,Cristian Rivera,a,5076,SetPiece,2016,RightFoot,4025,Celta Vigo,Eibar,0,2,2017-04-09 15:15:00,Pedro León,Pass
143246,49,MissedShots,0.7330000305175781,0.3029999923706055,0.013290399685502052,Cristian Rivera,a,5076,OpenPlay,2016,RightFoot,4062,Alaves,Eibar,0,0,2017-04-27 18:30:00,,Interception
143138,74,ShotOnPost,0.7580000305175781,0.33599998474121096,0.018125399947166443,Cristian Rivera,h,5076,OpenPlay,2016,RightFoot,4090,Eibar,Sporting Gijon,0,1,2017-05-14 19:00:00,Pedro León,Pass
170973,54,MissedShots,0.6890000152587891,0.51,0.010936100035905838,Cristian Rivera,a,5076,OpenPlay,2017,RightFoot,7961,Real Madrid,Eibar,3,0,2017-10-22 19:45:00,Anaitz Arbilla,Pass
259316,16,SavedShot,0.85,0.3129999923706055,0.036610398441553116,Cristian Rivera,h,5076,OpenPlay,2018,RightFoot,10082,SD Huesca,Levante,2,2,2018-11-24 17:30:00,Juan Camilo Hernández,Pass
259321,22,Goal,0.9359999847412109,0.47,0.4441939890384674,Cristian Rivera,h,5076,OpenPlay,2018,RightFoot,10082,SD Huesca,Levante,2,2,2018-11-24 17:30:00,Juan Camilo Hernández,Chipped
259515,7,MissedShots,0.95,0.44099998474121094,0.4336870014667511,Cristian Rivera,a,5076,OpenPlay,2018,Head,10093,Celta Vigo,SD Huesca,2,0,2018-12-01 12:00:00,Moi Gómez,Cross
259528,57,BlockedShot,0.764000015258789,0.29700000762939455,0.019747400656342506,Cristian Rivera,a,5076,OpenPlay,2018,RightFoot,10093,Celta Vigo,SD Huesca,2,0,2018-12-01 12:00:00,Moi Gómez,Pass
259930,91,BlockedShot,0.845999984741211,0.4909999847412109,0.06084069982171059,Cristian Rivera,h,5076,FromCorner,2018,RightFoot,10103,SD Huesca,Real Madrid,0,1,2018-12-09 15:15:00,,None
260191,48,BlockedShot,0.8059999847412109,0.375,0.02769950032234192,Cristian Rivera,h,5076,FromCorner,2018,RightFoot,10112,SD Huesca,Villarreal,2,2,2018-12-16 17:30:00,,None
260399,51,SavedShot,0.76,0.34900001525878904,0.42292898893356323,Cristian Rivera,a,5076,OpenPlay,2018,RightFoot,10121,Valencia,SD Huesca,2,1,2018-12-23 11:00:00,David Ferreiro,Throughball
279922,78,Goal,0.855,0.5329999923706055,0.032951198518276215,Cristian Rivera,h,5076,SetPiece,2018,RightFoot,10129,SD Huesca,Real Betis,2,1,2019-01-05 19:45:00,,Aerial
280372,36,MissedShots,0.7709999847412109,0.555,0.039969999343156815,Cristian Rivera,h,5076,OpenPlay,2018,RightFoot,10147,SD Huesca,Atletico Madrid,0,3,2019-01-19 17:30:00,Moi Gómez,LayOff
281163,69,SavedShot,0.755,0.509000015258789,0.016303900629281998,Cristian Rivera,a,5076,SetPiece,2018,RightFoot,10182,Girona,SD Huesca,0,2,2019-02-09 19:45:00,,None
281550,89,BlockedShot,0.784000015258789,0.38,0.012805400416254997,Cristian Rivera,h,5076,OpenPlay,2018,RightFoot,10192,SD Huesca,Athletic Club,0,1,2019-02-18 20:00:00,,Aerial
281551,89,SavedShot,0.8490000152587891,0.38599998474121094,0.07706409692764282,Cristian Rivera,h,5076,OpenPlay,2018,LeftFoot,10192,SD Huesca,Athletic Club,0,1,2019-02-18 20:00:00,,TakeOn
286034,83,SavedShot,0.8180000305175781,0.45099998474121095,0.04191029816865921,Cristian Rivera,h,5076,FromCorner,2018,LeftFoot,10233,SD Huesca,Alaves,1,3,2019-03-16 12:00:00,,None
291293,65,MissedShots,0.9669999694824218,0.6,0.059546299278736115,Cristian Rivera,h,5076,FromCorner,2018,Head,10248,SD Huesca,Celta Vigo,3,3,2019-04-03 19:30:00,Moi Gómez,Cross
336755,72,BlockedShot,0.8380000305175781,0.5479999923706055,0.08212500065565109,Cristian Rivera,a,5076,OpenPlay,2019,LeftFoot,12183,Alaves,Leganes,1,1,2019-12-13 20:00:00,,None
