goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Alaves,SD Huesca,2,1,2018-11-11,10067,2018,286475,0,0,0,0,0,0,0
0,0,0,68,MC,Barcelona,Alaves,3,0,2018-08-18,9961,2018,243222,0,0,0,0,0,0,0
0,0,0,90,MC,Sevilla,Alaves,1,0,2018-05-19,8253,2017,240613,0.04771760106086731,0,2,0,0,0.15649999678134918,0.13547000288963318
0,1,0.11271300166845322,90,MC,Malaga,Alaves,0,3,2018-05-06,8232,2017,237838,0.062376201152801514,0,1,0,0.11271300166845322,0.6722620129585266,0.5595489740371704
0,0,0,62,MC,Alaves,Girona,1,2,2018-04-19,8204,2017,233797,0,0,0,0,0,0.11982399970293045,0.11982399970293045
0,1,0.022547300904989243,90,MC,Espanyol,Alaves,0,0,2018-04-01,8169,2017,227602,0,0,0,0,0.022547300904989243,0.09404929727315903,0.07150200009346008
0,0,0,66,MC,Real Sociedad,Alaves,2,1,2018-03-04,8140,2017,221786,0,0,0,0,0,0.03634050115942955,0.03634050115942955
0,0,0,90,MC,Real Madrid,Alaves,4,0,2018-02-24,8120,2017,219253,0,0,0,0,0,0.12812000513076782,0.12812000513076782
0,0,0,90,MC,Villarreal,Alaves,1,2,2018-02-10,8102,2017,216888,0,0,0,0,0,0,0
0,0,0,9,Sub,Alaves,Celta Vigo,2,1,2018-02-03,8092,2017,216629,0,0,0,0,0,0,0
0,1,0.019486000761389732,90,MC,Alaves,Leganes,2,2,2018-01-21,8075,2017,209587,0.060464899986982346,0,2,0,0.019486000761389732,0.11794500052928925,0.03799419850111008
0,0,0,20,Sub,Alaves,Las Palmas,2,0,2017-12-08,8021,2017,199633,0,0,0,0,0,0,0
0,0,0,8,Sub,Girona,Alaves,2,3,2017-12-04,8011,2017,190888,0,0,0,0,0,0,0
0,0,0,1,Sub,Alaves,Espanyol,1,0,2017-11-04,7979,2017,191010,0,0,0,0,0,0,0
0,1,0.028044799342751503,90,MC,Real Betis,Alaves,2,0,2017-10-21,7959,2017,189806,0,0,0,0,0.028044799342751503,0.3049820065498352,0.3049820065498352
0,0,0,81,MC,Alaves,Real Sociedad,0,2,2017-10-14,7950,2017,190319,0.13789699971675873,0,2,0,0,0.18787400424480438,0.16179800033569336
0,0,0,90,DMC,Levante,Alaves,0,2,2017-09-30,7940,2017,189776,0,0,0,0,0,0.7538769841194153,0.7538769841194153
0,0,0,90,DMC,Alaves,Real Madrid,1,2,2017-09-23,7931,2017,189288,0,0,0,0,0,0,0
0,0,0,71,DMC,Deportivo La Coruna,Alaves,1,0,2017-09-20,7921,2017,189023,0,0,0,0,0,0,0
0,0,0,90,DMC,Celta Vigo,Alaves,1,0,2017-09-10,7902,2017,188493,0,0,0,0,0,0.34859898686408997,0.34859898686408997
0,0,0,8,Sub,Leganes,Alaves,1,1,2017-05-20,4100,2016,160534,0,0,0,0,0,0.028246300294995308,0.028246300294995308
0,0,0,90,DMC,Alaves,Celta Vigo,3,1,2017-05-14,4093,2016,159960,0,0,0,0,0,0,0
0,0,0,90,MC,Real Betis,Alaves,1,4,2017-04-30,4074,2016,160613,0,0,0,0,0,0.7516980171203613,0.7516980171203613
0,1,0.13757599890232086,78,DMC,Alaves,Osasuna,0,1,2017-04-05,4020,2016,158320,0,0,0,0,0.13757599890232086,0,0
0,0,0,90,DMC,Granada,Alaves,2,1,2017-03-01,3971,2016,157667,0,0,0,0,0,0.23163700103759766,0.23163700103759766
0,0,0,90,MC,Alaves,Barcelona,0,6,2017-02-11,3936,2016,157738,0.054963599890470505,0,1,0,0,0.40486401319503784,0.3499000072479248
0,0,0,90,DMC,Sporting Gijon,Alaves,2,4,2017-02-05,3925,2016,156255,0,0,0,0,0,0.04649379849433899,0.04649379849433899
0,0,0,14,Sub,Alaves,Leganes,2,2,2017-01-21,3907,2016,154797,0,0,0,0,0,0,0
0,0,0,1,Sub,Athletic Club,Alaves,0,0,2017-01-08,3889,2016,156066,0,0,0,0,0,0,0
0,1,0.048369698226451874,86,DMC,Alaves,Las Palmas,1,1,2016-12-04,3170,2016,153903,0,0,0,0,0.048369698226451874,0.04502839967608452,0.04502839967608452
0,1,0.10181400179862976,90,DMC,Villarreal,Alaves,0,2,2016-11-27,2801,2016,154333,0,0,0,0,0.10181400179862976,0.35110700130462646,0.35110700130462646
0,0,0,13,Sub,Alaves,Espanyol,0,1,2016-11-20,2791,2016,153688,0,0,0,0,0,0,0
0,2,0.15140099823474884,90,DMC,Osasuna,Alaves,0,1,2016-11-05,2779,2016,153391,0,0,0,0,0.15140099823474884,0,0
0,0,0,84,MC,Alaves,Real Madrid,1,4,2016-10-29,3310,2016,152491,0,0,0,0,0,0,0
0,0,0,46,MC,Real Sociedad,Alaves,3,0,2016-10-22,1862,2016,153088,0,0,0,0,0,0.325111985206604,0.325111985206604
0,0,0,28,MC,Sevilla,Alaves,2,1,2016-10-01,1841,2016,152254,0,0,0,0,0,0,0
0,2,0.13124699890613556,90,MC,Alaves,Granada,3,1,2016-09-26,1838,2016,151933,0.014226200059056282,0,1,0,0.13124699890613556,0.8949530124664307,0.7494789958000183
0,0,0,90,MC,Valencia,Alaves,2,1,2016-09-23,1828,2016,151668,0,0,0,0,0,0.06654849648475647,0.06654849648475647
0,0,0,90,MC,Barcelona,Alaves,1,2,2016-09-10,1804,2016,151085,0,0,0,0,0,0.025681499391794205,0.025681499391794205
0,0,0,90,AMC,Alaves,Sporting Gijon,0,0,2016-08-28,1796,2016,150764,0.041794199496507645,0,2,0,0,0.7333130240440369,0.6915180087089539
0,0,0,90,DMC,Atletico Madrid,Alaves,1,1,2016-08-22,1786,2016,150526,0,0,0,0,0,0,0
