goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.043811898678541183,73,ML,Real Valladolid,Real Betis,1,1,2021-05-02,15110,2020,467374,0,0,0,0,0.043811898678541183,0.45222198963165283,0.428039014339447
1,1,0.12084800004959106,81,ML,Athletic Club,Real Valladolid,2,2,2021-04-28,15099,2020,466641,0.1630290001630783,0,3,1,0.12084800004959106,0.1029369980096817,0.04869439825415611
0,0,0,79,ML,Real Valladolid,Cadiz,1,1,2021-04-24,15095,2020,465368,0.606598973274231,0,3,0,0,0.05275240167975426,0
0,0,0,65,ML,Elche,Real Valladolid,1,1,2021-04-21,15087,2020,464663,0,0,0,0,0,0,0
1,1,0.7432780265808105,90,ML,Real Valladolid,Granada,1,2,2021-04-11,15076,2020,462180,0.06325829774141312,0,1,0,0,0.3951770067214966,0.33191800117492676
1,1,0.7432780265808105,84,ML,Real Valladolid,Sevilla,1,1,2021-03-20,15056,2020,458297,0.04757640138268471,0,1,0,0,0.04757640138268471,0
0,3,0.5241619944572449,90,ML,Osasuna,Real Valladolid,0,0,2021-03-13,15045,2020,456506,0.09273210167884827,0,1,0,0.5241619944572449,0.6781259775161743,0.11275400221347809
0,2,0.10045599937438965,83,ML,Real Valladolid,Getafe,2,1,2021-03-06,15036,2020,454405,0.6035659909248352,1,1,0,0.10045599937438965,0.7040219902992249,0
1,1,0.44866201281547546,88,ML,Celta Vigo,Real Valladolid,1,1,2021-02-28,15019,2020,452806,0,0,0,1,0.44866201281547546,0.44866201281547546,0
0,3,0.6118869781494141,90,AML,Real Valladolid,Real Madrid,0,1,2021-02-20,15016,2020,450946,0.1725279986858368,0,4,0,0.6118869781494141,0.7844150066375732,0.05457310006022453
0,0,0,90,MR,Eibar,Real Valladolid,1,1,2021-02-13,15000,2020,449212,0,0,0,0,0,0,0
0,0,0,10,Sub,Alaves,Real Valladolid,1,0,2021-02-05,14988,2020,447356,0,0,0,0,0,0,0
0,0,0,63,AMR,Real Valladolid,SD Huesca,1,3,2021-01-29,14986,2020,445324,0,0,0,0,0,0,0
0,1,0.06725040078163147,63,AMR,Levante,Real Valladolid,2,2,2021-01-22,14976,2020,443851,0.3172430098056793,0,1,0,0.06725040078163147,0.4388599991798401,0.05436620116233826
0,1,0.14192000031471252,90,FWL,Real Valladolid,Elche,2,2,2021-01-19,14966,2020,443103,0.08886490017175674,1,2,0,0.14192000031471252,0.49855101108551025,0.4330829977989197
