id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
84412,25,MissedShots,0.7069999694824218,0.44299999237060544,0.04523099958896637,Jony,a,2216,DirectFreekick,2015,LeftFoot,1410,Real Sociedad,Sporting Gijon,0,0,2015-08-29 20:30:00,,Standard
84417,44,MissedShots,0.62,0.5690000152587891,0.009707369841635227,Jony,a,2216,OpenPlay,2015,LeftFoot,1410,Real Sociedad,Sporting Gijon,0,0,2015-08-29 20:30:00,Carlos Carmona,Pass
84651,4,SavedShot,0.7419999694824219,0.47400001525878904,0.017155099660158157,Jony,h,2216,FromCorner,2015,LeftFoot,1421,Sporting Gijon,Valencia,0,1,2015-09-12 20:15:00,,None
84669,73,MissedShots,0.8519999694824218,0.6659999847412109,0.019138099625706673,Jony,h,2216,OpenPlay,2015,LeftFoot,1421,Sporting Gijon,Valencia,0,1,2015-09-12 20:15:00,,Aerial
85325,13,MissedShots,0.7569999694824219,0.725999984741211,0.020180899649858475,Jony,a,2216,FromCorner,2015,LeftFoot,1442,Rayo Vallecano,Sporting Gijon,2,1,2015-09-23 22:00:00,Alen Halilovic,Pass
85334,48,Goal,0.899000015258789,0.5790000152587891,0.3401539921760559,Jony,a,2216,OpenPlay,2015,LeftFoot,1442,Rayo Vallecano,Sporting Gijon,2,1,2015-09-23 22:00:00,,BallRecovery
84936,8,SavedShot,0.8690000152587891,0.29399999618530276,0.037245798856019974,Jony,h,2216,OpenPlay,2015,LeftFoot,1455,Sporting Gijon,Real Betis,1,2,2015-09-27 14:00:00,Alen Halilovic,Pass
84951,56,SavedShot,0.7709999847412109,0.285,0.02241699956357479,Jony,h,2216,OpenPlay,2015,LeftFoot,1455,Sporting Gijon,Real Betis,1,2,2015-09-27 14:00:00,Alberto Lora,Pass
86308,19,MissedShots,0.8109999847412109,0.33599998474121096,0.0506742000579834,Jony,h,2216,OpenPlay,2015,LeftFoot,1478,Sporting Gijon,Granada,3,3,2015-10-19 22:30:00,Alen Halilovic,BallTouch
86740,89,BlockedShot,0.89,0.750999984741211,0.012884199619293213,Jony,a,2216,OpenPlay,2015,LeftFoot,1488,Athletic Club,Sporting Gijon,3,0,2015-10-26 23:30:00,Alberto Lora,Cross
86023,46,MissedShots,0.7240000152587891,0.40700000762939453,0.05117269977927208,Jony,h,2216,DirectFreekick,2015,LeftFoot,1497,Sporting Gijon,Malaga,1,0,2015-11-01 21:15:00,,Standard
86484,1,MissedShots,0.885,0.7030000305175781,0.09371549636125565,Jony,a,2216,OpenPlay,2015,LeftFoot,1507,Atletico Madrid,Sporting Gijon,1,0,2015-11-08 21:15:00,,BallRecovery
86497,66,SavedShot,0.77,0.685,0.021110899746418,Jony,a,2216,OpenPlay,2015,LeftFoot,1507,Atletico Madrid,Sporting Gijon,1,0,2015-11-08 21:15:00,Pablo Pérez,Pass
