goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Barcelona,Osasuna,4,0,2020-11-29,14875,2020,430137,0,0,0,0,0,0.3515250086784363,0.3515250086784363
0,0,0,79,DC,Osasuna,Levante,1,3,2020-09-27,14160,2020,417758,0.014720099978148937,0,1,0,0,0.014720099978148937,0
0,0,0,90,DC,Barcelona,Osasuna,1,2,2020-07-16,12385,2019,409347,0.03267600014805794,0,1,0,0,0,0
0,0,0,90,DC,Osasuna,Getafe,0,0,2020-07-05,12359,2019,405819,0,0,0,0,0,0,0
0,0,0,52,DC,Valencia,Osasuna,2,0,2020-06-21,12322,2019,401707,0,0,0,0,0,0,0
0,0,0,90,DC,Real Sociedad,Osasuna,1,1,2020-06-14,12302,2019,400004,0,0,0,0,0,0,0
0,0,0,90,DC,Atletico Madrid,Osasuna,2,0,2019-12-14,12185,2019,370198,0,0,0,0,0,0.04966050013899803,0.04966050013899803
0,0,0,90,DC,Osasuna,Sevilla,1,1,2019-12-08,12179,2019,369356,0,0,0,0,0,0.0394228994846344,0.0394228994846344
0,0,0,33,Sub,Espanyol,Osasuna,2,4,2019-12-01,12167,2019,366973,0,0,0,0,0,0,0
0,0,0,90,DC,Osasuna,Valencia,3,1,2019-10-27,12119,2019,360503,0.030588099732995033,0,1,0,0,0.8870300054550171,0.8564419746398926
0,0,0,90,DC,Real Madrid,Osasuna,2,0,2019-09-25,12078,2019,353901,0,0,0,0,0,0,0
0,0,0,77,DC,Real Sociedad,Villarreal,0,1,2019-04-25,10293,2018,327937,0,0,0,0,0,0.05740020051598549,0.05740020051598549
0,0,0,90,DC,Celta Vigo,Real Sociedad,3,1,2019-04-07,10264,2018,323476,0,0,0,0,0,0.19389699399471283,0.19389699399471283
0,0,0,90,DC,Real Valladolid,Real Sociedad,1,1,2019-03-31,10242,2018,318765,0,0,0,0,0,0.5012480020523071,0.5012480020523071
0,0,0,90,DC,Real Sociedad,Levante,1,1,2019-03-15,10228,2018,316094,0,0,0,0,0,1.096250057220459,1.096250057220459
0,0,0,90,DC,Sevilla,Real Sociedad,5,2,2019-03-10,10225,2018,315443,0.018153099343180656,0,1,0,0,0.10510899871587753,0.10510899871587753
0,0,0,90,DC,Real Sociedad,Atletico Madrid,0,2,2019-03-03,10209,2018,311607,0.13841600716114044,0,2,0,0,0.23066699504852295,0.0922510027885437
0,0,0,90,DC,Girona,Real Sociedad,0,0,2019-02-25,10201,2018,311370,0.047769900411367416,0,1,0,0,0,0
0,0,0,90,DC,Real Sociedad,Leganes,3,0,2019-02-16,10188,2018,310908,0,0,0,0,0,0.14392000436782837,0.14392000436782837
0,1,0.025567300617694855,59,DC,Valencia,Real Sociedad,0,0,2019-02-10,10186,2018,310699,0,0,0,0,0.025567300617694855,0.10541199892759323,0.10541199892759323
