goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,2,Sub,Atletico Madrid,Getafe,4,3,2022-02-12,17367,2021,512997,0,0,0,0,0,0,0
0,0,0,76,DL,Sevilla,Getafe,1,0,2022-01-09,17333,2021,507277,0,0,0,0,0,0.034290701150894165,0.034290701150894165
0,0,0,26,Sub,Getafe,Espanyol,2,1,2021-10-31,17253,2021,493276,0.06839969754219055,0,1,0,0,0.06839969754219055,0.06839969754219055
0,0,0,2,Sub,Granada,Getafe,1,1,2021-10-28,17244,2021,491721,0,0,0,0,0,0,0
0,0,0,11,Sub,Getafe,Real Sociedad,1,1,2021-10-03,17214,2021,487564,0,0,0,0,0,0,0
0,1,0.020008299499750137,42,Sub,Real Betis,Getafe,2,0,2021-09-26,17205,2021,485884,0,0,0,0,0.020008299499750137,0.020008299499750137,0
0,0,0,12,Sub,Getafe,Atletico Madrid,1,2,2021-09-21,17187,2021,483411,0,0,0,0,0,0,0
0,0,0,12,Sub,Rayo Vallecano,Getafe,3,0,2021-09-18,17184,2021,481869,0.016924399882555008,0,1,0,0,0.016924399882555008,0
0,0,0,15,Sub,Getafe,Elche,0,1,2021-09-13,17167,2021,481521,0,0,0,0,0,0.015801899135112762,0.015801899135112762
0,0,0,90,DL,Leganes,Real Madrid,2,2,2020-07-19,12396,2019,410151,0.5526260137557983,2,6,0,0,0.5906919836997986,0.2201790064573288
0,0,0,57,DL,Leganes,Valencia,1,0,2020-07-12,12377,2019,408113,0,0,0,0,0,0,0
0,2,0.057360198348760605,90,DL,Eibar,Leganes,0,0,2020-07-09,12369,2019,407130,0,0,0,0,0.057360198348760605,0.057360198348760605,0
1,2,0.39389699697494507,90,DL,Espanyol,Leganes,0,1,2020-07-05,12356,2019,405682,0,0,0,1,0.39389699697494507,0.39389699697494507,0
0,0,0,90,DL,Leganes,Sevilla,0,3,2020-06-30,12347,2019,404101,0,0,0,0,0,0.03234320133924484,0.03234320133924484
0,0,0,27,Sub,Osasuna,Leganes,2,1,2020-06-27,12340,2019,403456,0,0,0,0,0,0,0
0,0,0,90,DC,Leganes,Granada,0,0,2020-06-22,12327,2019,401998,0,0,0,0,0,0,0
0,0,0,74,DL,Barcelona,Leganes,2,0,2020-06-16,12307,2019,400280,0,0,0,0,0,0.3722749948501587,0.3722749948501587
0,1,0.0801113024353981,61,DL,Leganes,Real Valladolid,1,2,2020-06-13,12298,2019,399800,0,0,0,0,0.0801113024353981,0,0
0,1,0.012582500465214252,90,DL,Villarreal,Leganes,1,2,2020-03-08,12288,2019,397481,0.01723109930753708,0,1,0,0.012582500465214252,0.0533749982714653,0.023561500012874603
0,0,0,58,DML,Celta Vigo,Leganes,1,0,2020-02-22,12267,2019,394602,0.12782199680805206,0,2,0,0,0.0809732973575592,0.0809732973575592
0,1,0.06772889941930771,90,DL,Leganes,Real Betis,0,0,2020-02-16,12257,2019,394032,0,0,0,0,0.06772889941930771,0.06772889941930771,0
0,0,0,90,DC,Levante,Leganes,2,0,2020-02-08,12245,2019,392458,0.05806979909539223,0,1,0,0,0.5008580088615417,0.5008580088615417
