goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.032262228429317474,23,Sub,Mallorca,Almeria,2,2,2024-05-19,23051,2023,663642,0,0,0,0,0.032262228429317474,0.06352392584085464,0.03126169368624687
0,2,0.46360644698143005,60,FW,Almeria,Barcelona,0,2,2024-05-16,23035,2023,662344,0.33937251567840576,0,2,0,0.46360644698143005,0.8182502388954163,0.042701855301856995
0,0,0,68,FW,Real Betis,Almeria,3,2,2024-05-12,23031,2023,661520,0,0,0,0,0,0.03608263283967972,0.03608263283967972
1,1,0.32122471928596497,77,FW,Rayo Vallecano,Almeria,0,1,2024-05-05,23016,2023,659815,0,0,0,1,0.32122471928596497,0.32122471928596497,0
1,5,1.1491565704345703,90,FW,Almeria,Getafe,1,3,2024-04-27,23005,2023,657045,0.028289709240198135,0,1,1,1.1491565704345703,0.6110238432884216,0.028289709240198135
1,5,1.0502463579177856,72,FW,Almeria,Villarreal,1,2,2024-04-21,22995,2023,655543,0.051347214728593826,0,2,1,1.0502463579177856,1.056915521621704,0
0,1,0.3581594228744507,18,Sub,Real Sociedad,Almeria,2,2,2024-04-14,22991,2023,654234,0.30082428455352783,0,1,0,0.3581594228744507,0.6589837074279785,0.30082428455352783
0,1,0.13511912524700165,67,FW,Almeria,Sevilla,2,2,2024-03-11,22955,2023,647872,0,0,0,0,0.13511912524700165,0.13511912524700165,0
0,1,0.09062236547470093,68,FW,Celta Vigo,Almeria,1,0,2024-03-01,22948,2023,644506,0,0,0,0,0.09062236547470093,0.09062236547470093,0
0,2,0.062335193157196045,80,FW,Almeria,Atletico Madrid,2,2,2024-02-24,22935,2023,643590,0.038482896983623505,0,1,0,0.062335193157196045,0.21366313099861145,0.1128450334072113
0,2,0.24494117498397827,78,FW,Granada,Almeria,1,1,2024-02-18,22929,2023,642497,0,0,0,0,0.24494117498397827,0.274998277425766,0.030057087540626526
0,2,0.40583109855651855,66,FW,Almeria,Athletic Club,0,0,2024-02-12,22915,2023,641244,0,0,0,0,0.40583109855651855,0.3650742769241333,0.033725298941135406
0,0,0,23,Sub,Valencia,Almeria,2,1,2024-02-03,22911,2023,638324,0,0,0,0,0,0.06770238280296326,0.06770238280296326
0,1,0.0678994432091713,6,Sub,Las Palmas,Getafe,2,0,2023-12-01,22832,2023,626314,0.13706541061401367,0,1,0,0.0678994432091713,0.1499282270669937,0.012862809002399445
0,0,0,5,Sub,Getafe,Villarreal,0,0,2023-09-30,22759,2023,614330,0.01874481700360775,0,1,0,0,0,0
0,0,0,2,Sub,Real Sociedad,Getafe,4,3,2023-09-24,22743,2023,612665,0,0,0,0,0,0.05563240870833397,0.05563240870833397
0,0,0,1,Sub,Real Madrid,Getafe,2,1,2023-09-02,22723,2023,608796,0,0,0,0,0,0,0
0,2,0.07379941642284393,25,Sub,Girona,Getafe,3,0,2023-08-20,22700,2023,606110,0,0,0,0,0.07379941642284393,0.07379941642284393,0
0,1,0.26445481181144714,15,Sub,Getafe,Barcelona,0,0,2023-08-13,22692,2023,604536,0,0,0,0,0.26445481181144714,0,0
0,3,0.6809024214744568,64,FW,Elche,Cadiz,1,1,2023-06-04,19336,2022,602349,0.0185957383364439,0,1,0,0.6809024214744568,0.5743079781532288,0.026629609987139702
0,0,0,68,FW,Cadiz,Celta Vigo,1,0,2023-05-28,19326,2022,601340,0.10348853468894958,0,1,0,0,0.10348853468894958,0
0,1,0.0776626318693161,41,Sub,Cadiz,Real Valladolid,2,0,2023-05-19,19302,2022,597755,0.022464506328105927,1,1,0,0.0776626318693161,0.10012713819742203,0
0,0,0,9,Sub,Mallorca,Cadiz,1,0,2023-05-12,19301,2022,595990,0,0,0,0,0,0,0
1,1,0.009748131036758423,43,Sub,Atletico Madrid,Cadiz,5,1,2023-05-03,19283,2022,594176,0,0,0,1,0.009748131036758423,0.009748131036758423,0
0,0,0,16,Sub,Cadiz,Valencia,2,1,2023-04-30,19274,2022,592802,0,0,0,0,0,0.06617717444896698,0.06617717444896698
0,2,0.09052369743585587,9,Sub,Cadiz,Sevilla,0,2,2023-04-01,19225,2022,584961,0.06115670129656792,0,1,0,0.09052369743585587,0.15167999267578125,0
0,0,0,21,Sub,Cadiz,Rayo Vallecano,1,0,2023-02-25,19186,2022,577928,0,0,0,0,0,0,0
0,1,0.11005000025033951,27,Sub,Barcelona,Cadiz,2,0,2023-02-19,19172,2022,577423,0,0,0,0,0.11005000025033951,0.13358299434185028,0.023532899096608162
0,0,0,12,Sub,Cadiz,Girona,2,0,2023-02-10,19163,2022,574518,0,0,0,0,0,0,0
0,0,0,29,Sub,Athletic Club,Cadiz,4,1,2023-02-03,19152,2022,572928,0,0,0,0,0,0.04465699940919876,0.04465699940919876
0,2,0.12579399347305298,52,FW,Cadiz,Mallorca,2,0,2023-01-28,19142,2022,571467,0,0,0,0,0.12579399347305298,0.15991200506687164,0.03411849960684776
0,1,0.021026600152254105,90,FW,Sevilla,Cadiz,1,0,2023-01-21,19139,2022,570467,0,0,0,0,0.021026600152254105,0.041442401707172394,0.02041579969227314
0,3,0.17817999422550201,81,FW,Cadiz,Elche,1,1,2023-01-16,19123,2022,569763,0.03309210017323494,0,1,0,0.17817999422550201,0.2112720012664795,0
0,1,0.06376619637012482,90,FW,Valencia,Cadiz,0,1,2023-01-06,19120,2022,567625,0,0,0,0,0.06376619637012482,0.2503879964351654,0.1866219937801361
0,2,0.6061490178108215,32,Sub,Cadiz,Almeria,1,1,2022-12-30,19111,2022,566178,0,0,0,0,0.6061490178108215,0.6334890127182007,0.027339499443769455
0,0,0,74,FW,Real Madrid,Cadiz,2,1,2022-11-10,19100,2022,564007,0.06376609951257706,0,1,0,0,0.06376609951257706,0
0,2,0.11680400371551514,86,FW,Getafe,Cadiz,0,0,2022-11-05,19090,2022,561656,0,0,0,0,0.11680400371551514,0.15148499608039856,0.03468099981546402
0,2,0.09437999874353409,78,FW,Cadiz,Atletico Madrid,3,2,2022-10-29,19076,2022,560171,0.03993520140647888,0,1,0,0.09437999874353409,0.41419100761413574,0.31981098651885986
0,0,0,32,Sub,Rayo Vallecano,Cadiz,5,1,2022-10-22,19069,2022,558011,0,0,0,0,0,0.27223899960517883,0.27223899960517883
0,1,0.09213290363550186,90,FW,Cadiz,Real Betis,0,0,2022-10-19,19058,2022,557435,0.09698040038347244,0,1,0,0.09213290363550186,0.23466099798679352,0.045548100024461746
0,0,0,30,Sub,Girona,Cadiz,1,1,2022-10-15,19049,2022,555743,0,0,0,0,0,0,0
0,0,0,27,Sub,Cadiz,Espanyol,2,2,2022-10-09,19036,2022,554996,0,0,0,0,0,0,0
0,2,0.299125999212265,28,Sub,Cadiz,Villarreal,0,0,2022-10-01,19023,2022,552032,0.030603699386119843,0,1,0,0.299125999212265,0.32973000407218933,0
0,3,0.1499989926815033,64,FW,Celta Vigo,Cadiz,3,0,2022-09-02,18999,2022,546782,0,0,0,0,0.1499989926815033,0.036597900092601776,0
0,0,0,71,FW,Cadiz,Athletic Club,0,4,2022-08-29,18990,2022,545737,0.06899800151586533,0,1,0,0,0.06899800151586533,0
0,1,0.07601989805698395,90,FW,Osasuna,Cadiz,2,0,2022-08-20,18974,2022,542541,0.06434869766235352,0,1,0,0.07601989805698395,0.1403689980506897,0
0,2,0.1459449976682663,90,FW,Cadiz,Real Sociedad,0,1,2022-08-14,18966,2022,541475,0,0,0,0,0.1459449976682663,0.1459449976682663,0
1,1,0.43734198808670044,17,Sub,Alaves,Cadiz,0,1,2022-05-22,17506,2021,538092,0,0,0,1,0.43734198808670044,0.43734198808670044,0
0,0,0,1,Sub,Cadiz,Real Madrid,1,1,2022-05-15,17502,2021,536509,0,0,0,0,0,0,0
0,2,0.06896749883890152,28,Sub,Real Sociedad,Cadiz,3,0,2022-05-12,17491,2021,534971,0.09945770353078842,0,1,0,0.06896749883890152,0.14279499650001526,0
1,2,0.565991997718811,4,Sub,Cadiz,Elche,3,0,2022-05-07,17482,2021,534352,0,0,0,1,0.565991997718811,0.565991997718811,0
0,3,0.17237800359725952,73,FW,Cadiz,Athletic Club,2,3,2022-04-21,17460,2021,528224,0,0,0,0,0.17237800359725952,0.79578697681427,0.6722679734230042
0,0,0,1,Sub,Cadiz,Real Betis,1,2,2022-04-09,17437,2021,524372,0,0,0,0,0,0,0
0,0,0,9,Sub,Valencia,Cadiz,0,0,2022-04-03,17435,2021,523754,0,0,0,0,0,0,0
0,1,0.021853499114513397,62,FW,Cadiz,Villarreal,1,0,2022-03-20,17419,2021,522000,0,0,0,0,0.021853499114513397,0.021853499114513397,0
0,1,0.07336139678955078,90,FW,Atletico Madrid,Cadiz,2,1,2022-03-11,17406,2021,519020,0,0,0,0,0.07336139678955078,0.03746109828352928,0.03746109828352928
0,2,0.07387659698724747,76,FW,Cadiz,Rayo Vallecano,2,0,2022-03-06,17400,2021,518063,0.03091599978506565,0,1,0,0.07387659698724747,0.04867669939994812,0
0,2,0.13318899273872375,78,FWL,Granada,Cadiz,0,0,2022-02-28,17390,2021,517060,0,0,0,0,0.13318899273872375,0.13318899273872375,0
0,1,0.1079849973320961,81,FW,Cadiz,Getafe,1,1,2022-02-19,17379,2021,514473,0,0,0,0,0.1079849973320961,0.18972699344158173,0.0817418023943901
0,2,0.6859719753265381,65,FW,Cadiz,Celta Vigo,0,0,2022-02-12,17369,2021,512439,0,0,0,0,0.6859719753265381,0.6859719753265381,0
0,0,0,65,FW,Levante,Cadiz,0,2,2022-01-22,17350,2021,509510,0.07084369659423828,1,1,0,0,0.07084369659423828,0
0,1,0.12117899954319,73,FW,Cadiz,Espanyol,2,2,2022-01-18,17343,2021,509011,0,0,0,0,0.12117899954319,0.2542319893836975,0.1330530047416687
0,0,0,47,FW,Real Madrid,Cadiz,0,0,2021-12-19,17313,2021,504314,0.04767009988427162,0,1,0,0,0,0
0,3,0.13898999989032745,87,FW,Cadiz,Granada,1,1,2021-12-13,17300,2021,502891,0,0,0,0,0.13898999989032745,0.15802200138568878,0.019031699746847153
0,2,0.13046500086784363,90,FW,Elche,Cadiz,3,1,2021-12-05,17294,2021,500795,0,0,0,0,0.13046500086784363,0.05308090150356293,0.028412099927663803
0,1,0.41971200704574585,90,FW,Cadiz,Atletico Madrid,1,4,2021-11-28,17280,2021,498374,0.08894000202417374,0,2,0,0.41971200704574585,0.08894000202417374,0
0,0,0,26,Sub,Getafe,Cadiz,4,0,2021-11-21,17269,2021,496257,0,0,0,0,0,0,0
0,3,0.20984800159931183,73,FW,Athletic Club,Cadiz,0,1,2021-11-05,17257,2021,493656,0.07604970037937164,1,1,0,0.20984800159931183,0.23799100518226624,0.021617600694298744
0,6,0.4252839982509613,90,FW,Cadiz,Mallorca,1,1,2021-10-31,17254,2021,492758,0,0,0,0,0.4252839982509613,0.4636380076408386,0.038354601711034775
3,6,1.3954800367355347,74,ML,Villarreal,Cadiz,3,3,2021-10-26,17238,2021,491319,0,0,0,3,1.3954800367355347,1.0642399787902832,0
0,0,0,22,Sub,Cadiz,Alaves,0,2,2021-10-23,17231,2021,490032,0.024620600044727325,0,1,0,0,0.024620600044727325,0
0,3,0.1595270037651062,71,FW,Espanyol,Cadiz,2,0,2021-10-18,17220,2021,489413,0.031130800023674965,0,1,0,0.1595270037651062,0.19065800309181213,0
0,1,0.03365049883723259,19,Sub,Rayo Vallecano,Cadiz,3,1,2021-09-26,17198,2021,485759,0,0,0,0,0.03365049883723259,0.03365049883723259,0
0,1,0.025556299835443497,30,Sub,Cadiz,Barcelona,0,0,2021-09-23,17191,2021,484288,0,0,0,0,0.025556299835443497,0.3060140013694763,0.280458003282547
1,3,0.17991499602794647,58,ML,Celta Vigo,Cadiz,1,2,2021-09-17,17180,2021,481747,0,0,0,1,0.17991499602794647,0.0219867005944252,0
0,0,0,48,ML,Cadiz,Osasuna,2,3,2021-08-29,17163,2021,479779,0,0,0,0,0,0,0
0,1,0.10930600017309189,81,FW,Real Betis,Cadiz,1,1,2021-08-20,17146,2021,476628,0.3178189992904663,0,1,0,0.10930600017309189,0.4271250069141388,0
0,0,0,72,AML,Cadiz,Levante,1,1,2021-08-14,17139,2021,475838,0,0,0,0,0,0,0
0,1,0.021435299888253212,90,ML,Cadiz,Elche,1,3,2021-05-16,15144,2020,471755,0.1234230026602745,0,2,0,0.021435299888253212,0.1448580026626587,0
0,1,0.1963219940662384,90,ML,Osasuna,Cadiz,3,2,2021-05-11,15134,2020,469888,0.072536401450634,0,1,0,0.1963219940662384,0.31216898560523987,0.043310098350048065
0,2,0.07543929666280746,76,FW,Cadiz,SD Huesca,2,1,2021-05-08,15123,2020,468875,0,0,0,0,0.07543929666280746,0.031053200364112854,0
0,0,0,12,Sub,Granada,Cadiz,0,1,2021-05-02,15115,2020,467813,0.06765049695968628,0,1,0,0,0.06765049695968628,0
0,1,0.020361000671982765,90,FW,Real Valladolid,Cadiz,1,1,2021-04-24,15095,2020,465384,0,0,0,0,0.020361000671982765,0.020361000671982765,0
0,2,0.5985900163650513,43,Sub,Cadiz,Real Madrid,0,3,2021-04-21,15082,2020,464741,0.06287640333175659,0,1,0,0.5985900163650513,0.0839466005563736,0
0,0,0,30,Sub,Cadiz,Celta Vigo,0,0,2021-04-18,15104,2020,463836,0,0,0,0,0,0,0
0,0,0,5,Sub,Getafe,Cadiz,0,1,2021-04-10,15072,2020,460988,0,0,0,0,0,0.051544301211833954,0.051544301211833954
0,2,0.8093519806861877,15,Sub,Cadiz,Eibar,1,0,2021-03-06,15031,2020,454785,0,0,0,0,0.8093519806861877,0.8093519806861877,0
0,0,0,29,Sub,Barcelona,Cadiz,1,1,2021-02-21,15010,2020,451143,0,0,0,0,0,0.04480009898543358,0.04480009898543358
0,1,0.01523509994149208,48,FW,Cadiz,Athletic Club,0,4,2021-02-15,15002,2020,450141,0,0,0,0,0.01523509994149208,0.01523509994149208,0
0,0,0,50,FW,Real Sociedad,Cadiz,4,1,2021-02-07,14995,2020,448126,0,0,0,0,0,0,0
0,2,0.16969899833202362,72,FW,Cadiz,Atletico Madrid,2,4,2021-01-31,14982,2020,446358,0,0,0,0,0.16969899833202362,0.12500199675559998,0
0,2,0.09745199978351593,82,FW,Sevilla,Cadiz,3,0,2021-01-23,14971,2020,444133,0.48618900775909424,0,1,0,0.09745199978351593,0.10022900253534317,0.04240670055150986
0,2,0.062225498259067535,88,FW,Cadiz,Levante,2,2,2021-01-19,14964,2020,443133,0.02991960011422634,0,1,0,0.062225498259067535,0.09214510023593903,0.014515199698507786
1,3,1.3847899436950684,87,FW,Cadiz,Alaves,3,1,2021-01-10,14950,2020,441519,0.10191000252962112,1,1,1,1.3847899436950684,1.4867000579833984,0
1,3,0.3095879852771759,74,FW,Valencia,Cadiz,1,1,2021-01-04,14945,2020,439960,0,0,0,1,0.3095879852771759,0.2474910020828247,0
0,1,0.3527489900588989,62,FW,Cadiz,Real Valladolid,0,0,2020-12-29,14932,2020,438581,0,0,0,0,0.3527489900588989,0.3527489900588989,0
0,1,0.04957069829106331,38,Sub,Real Betis,Cadiz,1,0,2020-12-23,14918,2020,438044,0.0728612020611763,0,1,0,0.04957069829106331,0.12243200093507767,0
