goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.07226009666919708,11,Sub,Sevilla,Osasuna,2,0,2021-10-30,17249,2021,492350,0,0,0,0,0.07226009666919708,0.07226009666919708,0
0,0,0,17,Sub,Osasuna,Real Betis,1,3,2021-09-23,17195,2021,484227,0,0,0,0,0,0,0
0,0,0,3,Sub,Osasuna,Valencia,1,4,2021-09-12,17172,2021,481127,0,0,0,0,0,0,0
0,0,0,9,Sub,Barcelona,SD Huesca,4,1,2021-03-15,15039,2020,457476,0,0,0,0,0,0,0
0,2,0.07555659860372543,4,Sub,SD Huesca,Celta Vigo,3,4,2021-03-07,15032,2020,455026,0,0,0,0,0.07555659860372543,0.027743900194764137,0.027743900194764137
0,1,0.016290700063109398,17,Sub,SD Huesca,Real Madrid,1,2,2021-02-06,14992,2020,447700,0,0,0,0,0.016290700063109398,0.016290700063109398,0
0,3,0.10498800128698349,58,FWL,SD Huesca,Villarreal,0,0,2021-01-23,14975,2020,443900,0,0,0,0,0.10498800128698349,0.10498800128698349,0
0,1,0.011620700359344482,62,AMC,Getafe,SD Huesca,1,0,2021-01-20,14963,2020,443411,0.3656330108642578,0,5,0,0.011620700359344482,0.06261830031871796,0.050997599959373474
0,0,0,90,ML,SD Huesca,Real Betis,0,2,2021-01-11,14952,2020,441703,0.6957129836082458,0,4,0,0,1.0407899618148804,0.34507399797439575
0,1,0.017986400052905083,90,FWL,SD Huesca,Barcelona,0,1,2021-01-03,14942,2020,439890,0,0,0,0,0.017986400052905083,0.031691499054431915,0.013705199584364891
0,3,0.06777019798755646,67,FWL,Celta Vigo,SD Huesca,2,1,2020-12-30,14933,2020,438690,0,0,0,0,0.06777019798755646,0.06777019798755646,0.020423099398612976
1,3,0.8223950266838074,87,FWL,SD Huesca,Levante,1,1,2020-12-22,14920,2020,437266,0.02006080001592636,0,1,0,0.07911760360002518,0.03024359978735447,0
0,4,0.08527889847755432,90,FWL,Athletic Club,SD Huesca,2,0,2020-12-18,14907,2020,435730,0.06503999978303909,0,1,0,0.08527889847755432,0.12904100120067596,0.06503999978303909
1,5,0.17630699276924133,82,FWL,SD Huesca,Alaves,1,0,2020-12-12,14902,2020,433236,0.019536999985575676,0,1,1,0.17630699276924133,0.2245209962129593,0.10603699833154678
0,3,0.22123800218105316,19,Sub,Granada,SD Huesca,3,3,2020-12-06,14886,2020,431809,0.3062160015106201,0,1,0,0.22123800218105316,0.5274540185928345,0.3062160015106201
0,2,0.03364640101790428,17,Sub,SD Huesca,Sevilla,0,1,2020-11-28,14879,2020,429830,0,0,0,0,0.03364640101790428,0.03364640101790428,0
0,0,0,11,Sub,SD Huesca,Eibar,1,1,2020-11-07,14858,2020,426075,0,0,0,0,0,0,0
0,2,0.04330360144376755,47,ML,Real Madrid,SD Huesca,4,1,2020-10-31,14852,2020,424272,0.30442801117897034,0,1,0,0.04330360144376755,0.3477320075035095,0
0,1,0.02889770083129406,19,Sub,Real Sociedad,SD Huesca,4,1,2020-10-25,14841,2020,423925,0.024312200024724007,0,1,0,0.02889770083129406,0.02889770083129406,0.02889770083129406
0,1,0.01558380015194416,56,AML,SD Huesca,Real Valladolid,2,2,2020-10-18,14832,2020,422170,0.03457390144467354,1,1,0,0.01558380015194416,0.10849300026893616,0.07391910254955292
0,3,0.05836959928274155,51,Sub,Elche,SD Huesca,0,0,2020-10-03,14824,2020,419716,0,0,0,0,0.05836959928274155,0.5446540117263794,0.4946889877319336
0,1,0.0444255992770195,21,Sub,SD Huesca,Atletico Madrid,0,0,2020-09-30,14168,2020,418890,0,0,0,0,0.0444255992770195,0.0444255992770195,0
0,0,0,8,Sub,Valencia,SD Huesca,1,1,2020-09-26,14161,2020,417425,0.11559899896383286,0,1,0,0,0.11559899896383286,0
0,1,0.030156899243593216,25,Sub,Villarreal,Eibar,4,0,2020-07-19,12401,2019,409917,0,0,0,0,0.030156899243593216,0.29337000846862793,0.29337000846862793
0,3,0.0979607030749321,41,Sub,Real Madrid,Villarreal,2,1,2020-07-16,12390,2019,409263,0,0,0,0,0.0979607030749321,0.020718000829219818,0
0,5,0.21300099790096283,90,AML,Villarreal,Real Sociedad,1,2,2020-07-13,12382,2019,408361,0.027759499847888947,0,1,0,0.21300099790096283,0.23979100584983826,0.061951298266649246
0,1,0.008453530259430408,90,AML,Getafe,Villarreal,1,3,2020-07-08,12370,2019,406771,0,0,0,0,0.008453530259430408,0.037465598434209824,0.029012100771069527
0,3,0.10314799845218658,90,ML,Real Betis,Villarreal,0,2,2020-07-01,12345,2019,404772,0.03894200176000595,0,1,0,0.10314799845218658,0.26434099674224854,0.16119299829006195
0,1,0.05191579833626747,1,Sub,Villarreal,Valencia,2,0,2020-06-28,12342,2019,403630,0,0,0,0,0.05191579833626747,0,0
0,1,0.019670899957418442,14,Sub,Villarreal,Sevilla,2,2,2020-06-22,12331,2019,401920,0,0,0,0,0.019670899957418442,0.019670899957418442,0
0,1,0.023650599643588066,68,ML,Granada,Villarreal,0,1,2020-06-19,12318,2019,400769,0,0,0,0,0.023650599643588066,0.023650599643588066,0
0,0,0,7,Sub,Celta Vigo,Villarreal,0,1,2020-06-13,12295,2019,399765,0,0,0,0,0,0,0
0,1,0.04071569815278053,33,Sub,Villarreal,Leganes,1,2,2020-03-08,12288,2019,397476,0.335411012172699,0,2,0,0.04071569815278053,0.3761270046234131,0.24309000372886658
0,1,0.027280200272798538,78,FWL,Athletic Club,Villarreal,1,0,2020-03-01,12273,2019,396211,0.07179480046033859,0,2,0,0.027280200272798538,0.44020798802375793,0.3875339925289154
0,2,0.08818189799785614,15,Sub,Atletico Madrid,Villarreal,3,1,2020-02-23,12264,2019,395359,0,0,0,0,0.08818189799785614,0.08818189799785614,0
0,0,0,6,Sub,Real Valladolid,Villarreal,1,1,2020-02-08,12248,2019,392747,0,0,0,0,0,0,0
0,2,0.09082470089197159,8,Sub,Villarreal,Espanyol,1,2,2020-01-19,12222,2019,389680,0,0,0,0,0.09082470089197159,0.040335699915885925,0
0,0,0,4,Sub,Villarreal,Getafe,1,0,2019-12-21,12201,2019,371657,0,0,0,0,0,0,0
0,0,0,1,Sub,Villarreal,Atletico Madrid,0,0,2019-12-06,12181,2019,368036,0,0,0,0,0,0,0
0,5,0.13948799669742584,16,Sub,Valencia,Villarreal,2,1,2019-11-30,12172,2019,366646,0,0,0,0,0.13948799669742584,0.31248199939727783,0.172994002699852
0,1,0.02919190004467964,3,Sub,Villarreal,Celta Vigo,1,3,2019-11-24,12161,2019,365665,0,0,0,0,0.02919190004467964,0.02919190004467964,0
0,1,0.013614400289952755,20,Sub,Mallorca,Villarreal,3,1,2019-11-10,12150,2019,363626,0,0,0,0,0.013614400289952755,0.013614400289952755,0.013614400289952755
0,1,0.012491299770772457,10,Sub,Villarreal,Athletic Club,0,0,2019-11-03,12141,2019,362066,0,0,0,0,0.012491299770772457,0.012491299770772457,0
0,2,0.059696100652217865,64,AML,Eibar,Villarreal,2,1,2019-10-31,12127,2019,361025,0,0,0,0,0.059696100652217865,0.41162601113319397,0.3983849883079529
1,1,0.09287309646606445,2,Sub,Villarreal,Alaves,4,1,2019-10-25,12121,2019,359124,0,0,0,1,0.09287309646606445,0,0
0,3,0.13015499711036682,16,Sub,Espanyol,Villarreal,0,1,2019-10-20,12107,2019,358640,0,0,0,0,0.13015499711036682,0.09368140250444412,0
0,2,0.06303709745407104,22,Sub,Osasuna,Villarreal,2,1,2019-10-05,12098,2019,356663,0.06305799633264542,0,1,0,0.06303709745407104,0.06305799633264542,0
0,3,0.18857699632644653,10,Sub,Villarreal,Real Betis,5,1,2019-09-27,12092,2019,354259,0,0,0,0,0.18857699632644653,0.1484069973230362,0.04008670151233673
0,1,0.01253180019557476,57,AML,Barcelona,Villarreal,2,1,2019-09-24,12073,2019,353519,0,0,0,0,0.01253180019557476,0.10244400054216385,0.10244400054216385
1,2,0.348114013671875,13,Sub,Villarreal,Real Valladolid,2,0,2019-09-21,12070,2019,352003,0,0,0,1,0.348114013671875,0.46323901414871216,0.11512599885463715
0,0,0,1,Sub,Leganes,Villarreal,0,3,2019-09-14,12058,2019,349147,0,0,0,0,0,0.11819600313901901,0.11819600313901901
0,1,0.04277310147881508,34,Sub,Villarreal,Real Madrid,2,2,2019-09-01,12052,2019,348356,0.8653650283813477,1,1,0,0.04277310147881508,0.8653650283813477,0
0,3,0.11612600088119507,15,Sub,Levante,Villarreal,2,1,2019-08-23,12041,2019,343784,0,0,0,0,0.11612600088119507,0.056413501501083374,0
0,0,0,31,Sub,Malaga,Espanyol,0,1,2018-01-08,8051,2017,207336,0.1106019988656044,0,3,0,0,0.6141070127487183,0.5375840067863464
0,1,0.00821823999285698,90,MR,Alaves,Malaga,1,0,2017-12-21,8042,2017,204519,0.09215950220823288,0,1,0,0.00821823999285698,0.021326100453734398,0.013107899576425552
0,2,0.09424299746751785,33,Sub,Malaga,Real Betis,0,2,2017-12-18,8029,2017,204263,0,0,0,0,0.09424299746751785,0.10998299717903137,0.015739599242806435
0,0,0,11,Sub,Real Sociedad,Malaga,0,2,2017-12-10,8023,2017,199703,0,0,0,0,0,0,0
0,0,0,20,Sub,Malaga,Levante,0,0,2017-12-01,8014,2017,191038,0.13189299404621124,0,1,0,0,0.14141100645065308,0.009518800303339958
0,0,0,32,Sub,Malaga,Deportivo La Coruna,3,2,2017-11-19,7995,2017,191589,0,0,0,0,0,0.05856350064277649,0.05856350064277649
0,0,0,9,Sub,Malaga,Celta Vigo,2,1,2017-10-29,7976,2017,190849,0,0,0,0,0,0,0
0,1,0.02046559937298298,29,Sub,Malaga,Leganes,0,2,2017-10-15,7958,2017,189686,0,0,0,0,0.02046559937298298,0.02046559937298298,0
0,0,0,29,Sub,Valencia,Malaga,5,0,2017-09-19,7928,2017,189225,0,0,0,0,0,0,0
0,4,0.11603400111198425,29,Sub,Malaga,Las Palmas,1,3,2017-09-11,7907,2017,188627,0,0,0,0,0.11603400111198425,0.14743700623512268,0.07759279757738113
0,0,0,36,Sub,Girona,Malaga,1,0,2017-08-26,7895,2017,188361,0,0,0,0,0,0.035293400287628174,0.035293400287628174
0,0,0,25,Sub,Malaga,Eibar,0,1,2017-08-21,7888,2017,188068,0.20859399437904358,0,1,0,0,0.2691119909286499,0.06051820144057274
