id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
377784,76,BlockedShot,0.8690000152587891,0.35,0.046643201261758804,Miguel Baeza,h,8711,FromCorner,2020,RightFoot,14147,Celta Vigo,Valencia,2,1,2020-09-19 19:00:00,,None
377789,83,ShotOnPost,0.850999984741211,0.3320000076293945,0.07371769845485687,Miguel Baeza,h,8711,OpenPlay,2020,LeftFoot,14147,Celta Vigo,Valencia,2,1,2020-09-19 19:00:00,Okay Yokuslu,Pass
377790,84,BlockedShot,0.889000015258789,0.2989999961853027,0.06137179955840111,Miguel Baeza,h,8711,OpenPlay,2020,LeftFoot,14147,Celta Vigo,Valencia,2,1,2020-09-19 19:00:00,Iago Aspas,Pass
380260,72,BlockedShot,0.9119999694824219,0.54,0.1138480007648468,Miguel Baeza,h,8711,OpenPlay,2020,LeftFoot,14165,Celta Vigo,Barcelona,0,3,2020-10-01 19:30:00,,Rebound
380263,87,BlockedShot,0.8830000305175781,0.635,0.078234001994133,Miguel Baeza,h,8711,OpenPlay,2020,LeftFoot,14165,Celta Vigo,Barcelona,0,3,2020-10-01 19:30:00,Nolito,TakeOn
380880,21,MissedShots,0.7169999694824218,0.51,0.018776100128889084,Miguel Baeza,a,8711,SetPiece,2020,LeftFoot,14820,Osasuna,Celta Vigo,2,0,2020-10-04 10:00:00,Nolito,Pass
389666,80,BlockedShot,0.9219999694824219,0.52,0.5354440212249756,Miguel Baeza,h,8711,OpenPlay,2020,LeftFoot,14877,Celta Vigo,Granada,3,1,2020-11-29 17:30:00,Iago Aspas,Pass
389667,80,Goal,0.97,0.5029999923706054,0.7736260294914246,Miguel Baeza,h,8711,OpenPlay,2020,LeftFoot,14877,Celta Vigo,Granada,3,1,2020-11-29 17:30:00,,Rebound
396636,92,BlockedShot,0.9219999694824219,0.519000015258789,0.07935620099306107,Miguel Baeza,a,8711,OpenPlay,2020,LeftFoot,14943,Real Madrid,Celta Vigo,2,0,2021-01-02 20:00:00,,None
400087,75,SavedShot,0.9109999847412109,0.34400001525878904,0.333748996257782,Miguel Baeza,a,8711,OpenPlay,2020,LeftFoot,14961,Real Betis,Celta Vigo,2,1,2021-01-20 20:00:00,Brais Méndez,Throughball
407153,73,MissedShots,0.860999984741211,0.5540000152587891,0.026535099372267723,Miguel Baeza,h,8711,OpenPlay,2020,Head,15019,Celta Vigo,Real Valladolid,1,1,2021-02-28 13:00:00,Iago Aspas,Cross
