id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
385398,77,MissedShots,0.8230000305175781,0.27899999618530275,0.007859930396080017,Son,a,8775,OpenPlay,2020,Head,14850,Granada,Levante,1,1,2020-11-01 17:30:00,Enis Bardhi,Aerial
386889,84,SavedShot,0.7930000305175782,0.28399999618530275,0.016483699902892113,Son,h,8775,OpenPlay,2020,LeftFoot,14859,Levante,Alaves,1,1,2020-11-08 17:30:00,,None
392516,95,SavedShot,0.7869999694824219,0.36400001525878906,0.02160860039293766,Son,a,8775,FromCorner,2020,RightFoot,14898,Barcelona,Levante,1,0,2020-12-13 20:00:00,,None
403027,79,SavedShot,0.9059999847412109,0.5359999847412109,0.3338199853897095,Son,h,8775,OpenPlay,2020,LeftFoot,14993,Levante,Granada,2,2,2021-02-06 13:00:00,Roger,Chipped
406461,23,SavedShot,0.8580000305175781,0.37900001525878907,0.026098299771547318,Son,h,8775,OpenPlay,2020,LeftFoot,15024,Levante,Athletic Club,1,1,2021-02-26 20:00:00,,Aerial
409175,16,SavedShot,0.8640000152587891,0.36700000762939455,0.013915499672293663,Son,a,8775,OpenPlay,2020,Head,15034,Real Sociedad,Levante,1,0,2021-03-07 17:30:00,Morales,Cross
409195,68,MissedShots,0.8809999847412109,0.3820000076293945,0.06136050075292587,Son,a,8775,OpenPlay,2020,RightFoot,15034,Real Sociedad,Levante,1,0,2021-03-07 17:30:00,Dani Gómez,BallTouch
416086,81,MissedShots,0.8859999847412109,0.3129999923706055,0.059055399149656296,Son,h,8775,OpenPlay,2020,RightFoot,15105,Levante,Villarreal,1,5,2021-04-18 19:00:00,Roger,Pass
431543,35,SavedShot,0.9159999847412109,0.3940000152587891,0.0959601029753685,Son,a,8775,OpenPlay,2021,RightFoot,17185,Elche,Levante,1,1,2021-09-18 16:30:00,Pablo Martínez,Pass
447463,25,Goal,0.975,0.46799999237060547,0.6534219980239868,Son,a,8775,OpenPlay,2021,Head,17301,Espanyol,Levante,4,3,2021-12-11 13:00:00,Jorge De Frutos,Cross
457634,82,MissedShots,0.919000015258789,0.6969999694824218,0.04466100037097931,Son,h,8775,OpenPlay,2021,RightFoot,17371,Levante,Real Betis,2,4,2022-02-13 15:15:00,,None
459129,49,SavedShot,0.91,0.7119999694824218,0.039297498762607574,Son,a,8775,OpenPlay,2021,LeftFoot,17378,Celta Vigo,Levante,1,1,2022-02-21 20:00:00,Enis Bardhi,Pass
459367,54,BlockedShot,0.7519999694824219,0.5820000076293945,0.02948700077831745,Son,h,8775,OpenPlay,2021,RightFoot,17391,Levante,Elche,3,0,2022-02-25 20:00:00,Jorge De Frutos,Pass
465339,57,SavedShot,0.8059999847412109,0.72,0.018732499331235886,Son,h,8775,OpenPlay,2021,RightFoot,17433,Levante,Villarreal,2,0,2022-04-02 14:15:00,,None
467689,74,SavedShot,0.7809999847412109,0.6580000305175782,0.023733200505375862,Son,h,8775,OpenPlay,2021,RightFoot,17439,Levante,Barcelona,2,3,2022-04-10 19:00:00,Dani Gómez,Pass
469623,49,MissedShots,0.7240000152587891,0.5329999923706055,0.014971200376749039,Son,h,8775,FromCorner,2021,RightFoot,17462,Levante,Sevilla,2,3,2022-04-21 17:00:00,,None
469635,85,SavedShot,0.9319999694824219,0.3940000152587891,0.2116509974002838,Son,h,8775,OpenPlay,2021,Head,17462,Levante,Sevilla,2,3,2022-04-21 17:00:00,Morales,Cross
471810,3,BlockedShot,0.8130000305175781,0.6719999694824219,0.03201130032539368,Son,a,8775,OpenPlay,2021,RightFoot,17473,Valencia,Levante,1,1,2022-04-30 16:30:00,Dani Gómez,Pass
475404,25,MissedShots,0.8209999847412109,0.590999984741211,0.056775301694869995,Son,a,8775,OpenPlay,2021,RightFoot,17490,Real Madrid,Levante,6,0,2022-05-12 19:30:00,Nemanja Radoja,Pass
475406,27,BlockedShot,0.8780000305175781,0.7440000152587891,0.013596699573099613,Son,a,8775,OpenPlay,2021,RightFoot,17490,Real Madrid,Levante,6,0,2022-05-12 19:30:00,Dani Gómez,Cross
475425,69,BlockedShot,0.7530000305175781,0.7019999694824218,0.015745099633932114,Son,a,8775,OpenPlay,2021,RightFoot,17490,Real Madrid,Levante,6,0,2022-05-12 19:30:00,Enis Bardhi,Pass
475427,72,SavedShot,0.7519999694824219,0.7759999847412109,0.009392970241606236,Son,a,8775,OpenPlay,2021,RightFoot,17490,Real Madrid,Levante,6,0,2022-05-12 19:30:00,Enis Bardhi,Pass
