goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,29,Sub,Getafe,Real Betis,0,0,2022-05-02,17469,2021,531743,0,0,0,0,0,0,0
0,0,0,6,Sub,Celta Vigo,Real Betis,0,0,2022-03-20,17418,2021,521989,0,0,0,0,0,0,0
0,1,0.08560840040445328,22,Sub,Levante,Real Betis,2,4,2022-02-13,17371,2021,513449,0.15141600370407104,0,1,0,0.08560840040445328,0.3672559857368469,0.2816469967365265
0,0,0,7,Sub,Real Betis,Alaves,4,0,2022-01-18,17339,2021,508893,0.0922032967209816,0,2,0,0,0.0922032967209816,0.020880699157714844
0,0,0,48,AMR,Real Betis,Celta Vigo,0,2,2022-01-02,17321,2021,505739,0,0,0,0,0,0.02553660050034523,0.02553660050034523
0,0,0,1,Sub,Real Betis,Levante,3,1,2021-11-28,17278,2021,497852,0,0,0,0,0,0,0
0,0,0,17,Sub,Real Betis,Rayo Vallecano,3,2,2021-10-24,17233,2021,490934,0,0,0,0,0,0,0
0,0,0,31,Sub,Celta Vigo,Real Betis,2,3,2021-05-22,15148,2020,472936,0,0,0,0,0,0,0
0,0,0,28,Sub,Real Betis,SD Huesca,1,0,2021-05-16,15142,2020,471696,0,0,0,0,0,0.013776499778032303,0.013776499778032303
0,0,0,65,AMR,Eibar,Real Betis,1,1,2021-05-13,15130,2020,470544,0.019996700808405876,1,1,0,0,0.3646959960460663,0.3446989953517914
0,0,0,17,Sub,Real Betis,Granada,2,1,2021-05-10,15121,2020,469844,0,0,0,0,0,0.17162799835205078,0.17162799835205078
0,1,0.026158999651670456,80,AMR,Real Madrid,Real Betis,0,0,2021-04-24,15092,2020,465644,0.049901898950338364,0,2,0,0.026158999651670456,0.523048996925354,0.4739390015602112
0,1,0.05524500086903572,23,Sub,Real Betis,Athletic Club,0,0,2021-04-21,15081,2020,464318,0,0,0,0,0.05524500086903572,0,0
0,0,0,24,Sub,Real Betis,Valencia,2,2,2021-04-18,15102,2020,463804,0,0,0,0,0,0.08200950175523758,0.08200950175523758
0,1,0.06808730214834213,15,Sub,Real Betis,Atletico Madrid,1,1,2021-04-11,15069,2020,462303,0,0,0,0,0.06808730214834213,0.06808730214834213,0.06808730214834213
0,1,0.05143579840660095,66,AMR,Real Betis,Levante,2,0,2021-03-19,15050,2020,457880,0.07636409997940063,0,1,0,0.05143579840660095,0.3264389932155609,0.19863900542259216
0,1,0.02889369986951351,60,AMR,Cadiz,Real Betis,0,1,2021-02-28,15022,2020,453137,0,0,0,0,0.02889369986951351,0.09482250362634659,0.06592880189418793
0,0,0,66,MR,Real Sociedad,Real Betis,2,2,2021-01-23,14970,2020,444281,0.06338539719581604,0,2,0,0,0.08140770345926285,0.034439198672771454
0,0,0,83,AMR,Real Betis,Celta Vigo,2,1,2021-01-20,14961,2020,443576,0.08866269886493683,0,2,0,0,0.08211279660463333,0.08211279660463333
0,1,0.028551099821925163,82,AMR,SD Huesca,Real Betis,0,2,2021-01-11,14952,2020,441718,0.016186900436878204,0,1,0,0.028551099821925163,0.04473799839615822,0
0,4,0.20020100474357605,90,AMR,Real Betis,Sevilla,1,1,2021-01-02,14939,2020,439139,0.11995899677276611,0,2,0,0.20020100474357605,0.32016000151634216,0.10512299835681915
0,3,0.14198200404644012,27,Sub,Levante,Real Betis,4,3,2020-12-29,14930,2020,438630,0,0,0,0,0.14198200404644012,0.19316500425338745,0.05118339881300926
0,0,0,26,Sub,Real Betis,Cadiz,1,0,2020-12-23,14918,2020,438030,0.089684396982193,1,1,0,0,0.089684396982193,0
0,0,0,19,Sub,Real Betis,Eibar,0,2,2020-11-30,14876,2020,430845,0,0,0,0,0,0.05452439934015274,0.05452439934015274
0,0,0,18,Sub,Athletic Club,Real Betis,4,0,2020-11-23,14866,2020,429135,0,0,0,0,0,0.09126999974250793,0.09126999974250793
0,0,0,4,Sub,Real Betis,Elche,3,1,2020-11-01,14847,2020,424980,0,0,0,0,0,0,0
0,0,0,15,Sub,Real Betis,Real Sociedad,0,3,2020-10-18,14827,2020,422292,0.024457300081849098,0,1,0,0,0,0
0,0,0,1,Sub,Alaves,Real Betis,0,1,2020-09-13,14139,2020,414878,0,0,0,0,0,0,0
0,0,0,16,Sub,Real Valladolid,Real Betis,2,0,2020-07-19,12400,2019,409900,0,0,0,0,0,0.13602299988269806,0.13602299988269806
0,2,0.04199479892849922,4,Sub,Levante,Real Betis,4,2,2020-06-28,12339,2019,403583,0,0,0,0,0.04199479892849922,0.02874149940907955,0
0,0,0,59,FWR,Athletic Club,Real Betis,1,0,2020-06-20,12313,2019,401322,0,0,0,0,0,0.1054529994726181,0.1054529994726181
0,0,0,17,Sub,Real Betis,Granada,2,2,2020-06-15,12306,2019,400057,0,0,0,0,0,0.08358240127563477,0.08358240127563477
0,0,0,27,Sub,Sevilla,Real Betis,2,0,2020-06-11,12301,2019,399449,0.14043499529361725,0,2,0,0,0.14043499529361725,0
0,0,0,13,Sub,Alaves,Real Betis,1,1,2020-01-05,12203,2019,388192,0,0,0,0,0,0.0206276997923851,0.0206276997923851
0,1,0.028801899403333664,18,Sub,Real Betis,Atletico Madrid,1,2,2019-12-22,12194,2019,372212,0.01498270034790039,0,1,0,0.028801899403333664,0.060758400708436966,0.045775700360536575
0,0,0,33,Sub,Espanyol,Real Betis,2,2,2019-12-15,12187,2019,370509,0.05690769851207733,0,1,0,0,0.05690769851207733,0
0,1,0.03529839962720871,73,MR,Real Betis,Athletic Club,3,2,2019-12-08,12174,2019,368860,0,0,0,0,0.03529839962720871,0.3780980110168457,0.34279999136924744
0,1,0.03441710025072098,4,Sub,Mallorca,Real Betis,1,2,2019-11-30,12169,2019,366425,0,0,0,0,0.03441710025072098,0.03441710025072098,0
0,0,0,11,Sub,Real Betis,Celta Vigo,2,1,2019-10-30,12126,2019,360790,0,0,0,0,0,0,0
0,0,0,1,Sub,Real Betis,Eibar,1,1,2019-10-04,12094,2019,355868,0,0,0,0,0,0,0
0,0,0,10,Sub,Villarreal,Real Betis,5,1,2019-09-27,12092,2019,354272,0,0,0,0,0,0,0
0,1,0.033254798501729965,14,Sub,Real Betis,Levante,3,1,2019-09-24,12074,2019,353479,0,0,0,0,0.033254798501729965,0.033254798501729965,0
0,0,0,14,Sub,Barcelona,Real Betis,5,2,2019-08-25,12042,2019,345090,0,0,0,0,0,0,0
0,1,0.03578919917345047,1,Sub,Real Betis,SD Huesca,2,1,2019-05-12,10323,2018,332742,0.015808099880814552,0,1,0,0.03578919917345047,0.015808099880814552,0.015808099880814552
0,0,0,14,Sub,Eibar,Real Betis,1,0,2019-05-05,10308,2018,330754,0,0,0,0,0,0,0
0,1,0.027622099965810776,13,Sub,Real Betis,Espanyol,1,1,2019-04-29,10304,2018,329500,0.041262898594141006,0,2,0,0.027622099965810776,0.4148710072040558,0.3937999904155731
0,0,0,18,Sub,Levante,Real Betis,4,0,2019-04-24,10291,2018,327686,0,0,0,0,0,0.0637269988656044,0.0637269988656044
0,4,0.09879960119724274,14,Sub,Real Betis,Valencia,1,2,2019-04-21,10284,2018,326902,0,0,0,0,0.09879960119724274,0.11666599661111832,0.01786619983613491
0,0,0,13,Sub,Real Sociedad,Real Betis,2,1,2019-04-04,10249,2018,322264,0,0,0,0,0,0,0
0,0,0,21,Sub,Real Betis,Barcelona,1,4,2019-03-17,10232,2018,317322,0.09525830298662186,1,1,0,0,0.09525830298662186,0
0,1,0.023587699979543686,49,AMC,Real Valladolid,Real Betis,0,2,2019-02-24,10206,2018,311319,0,0,0,0,0.023587699979543686,0.023587699979543686,0
0,1,0.04332929849624634,77,AMC,Real Betis,Alaves,1,1,2019-02-17,10193,2018,311053,0.028850900009274483,0,1,0,0.04332929849624634,0.353644996881485,0.3103159964084625
0,0,0,44,Sub,Leganes,Real Betis,3,0,2019-02-10,10180,2018,310680,0.02716439962387085,0,1,0,0,0,0
0,2,0.06589680165052414,76,FW,Athletic Club,Real Betis,1,0,2019-01-27,10165,2018,310035,0,0,0,0,0.06589680165052414,0.06589680165052414,0
0,0,0,7,Sub,Real Betis,Girona,3,2,2019-01-20,10153,2018,309745,0.13101999461650848,0,1,0,0,0.13101999461650848,0
