goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,26,GK,Celta Vigo,Las Palmas,1,1,2025-03-31,27263,2024,715925,0,0,0,0,0,0,0
0,0,0,90,GK,Las Palmas,Alaves,2,2,2025-03-14,27260,2024,712612,0,0,0,0,0,0.05969540402293205,0.05969540402293205
0,0,0,90,GK,Real Betis,Las Palmas,1,0,2025-03-09,27245,2024,712284,0,0,0,0,0,0,0
0,0,0,90,GK,Real Valladolid,Las Palmas,1,1,2025-02-28,27239,2024,709465,0,0,0,0,0,0,0
0,0,0,90,GK,Las Palmas,Barcelona,0,2,2025-02-22,27226,2024,708195,0,0,0,0,0,0,0
0,0,0,90,GK,Mallorca,Las Palmas,3,1,2025-02-16,27217,2024,707089,0,0,0,0,0,0,0
0,0,0,90,GK,Las Palmas,Villarreal,1,2,2025-02-08,27203,2024,704903,0,0,0,0,0,0.060496702790260315,0.060496702790260315
0,0,0,90,GK,Girona,Las Palmas,2,1,2025-02-03,27194,2024,704483,0,0,0,0,0,0,0
0,0,0,90,GK,Las Palmas,Osasuna,1,1,2025-01-24,27185,2024,701157,0,0,0,0,0,0,0
0,0,0,90,GK,Real Madrid,Las Palmas,4,1,2025-01-19,27180,2024,700673,0,0,0,0,0,0.2768220901489258,0.2768220901489258
0,0,0,90,GK,Las Palmas,Getafe,1,2,2025-01-12,27170,2024,698532,0,0,0,0,0,0,0
0,0,0,90,GK,Las Palmas,Espanyol,1,0,2024-12-22,27152,2024,695933,0,0,0,0,0,0,0
0,0,0,90,GK,Real Sociedad,Las Palmas,0,0,2024-12-15,27151,2024,694573,0,0,0,0,0,0.2411055564880371,0.2411055564880371
0,0,0,90,GK,Las Palmas,Real Valladolid,2,1,2024-12-07,27138,2024,691879,0,0,0,0,0,0.04512368142604828,0.04512368142604828
0,0,0,90,GK,Barcelona,Las Palmas,1,2,2024-11-30,27122,2024,689755,0,0,0,0,0,0.032486021518707275,0.032486021518707275
0,0,0,90,GK,Las Palmas,Mallorca,2,3,2024-11-23,27115,2024,688635,0,0,0,0,0,0,0
0,0,0,90,GK,Rayo Vallecano,Las Palmas,1,3,2024-11-08,27110,2024,686308,0,0,0,0,0,0.11824889481067657,0.11824889481067657
0,0,0,63,GK,Atletico Madrid,Las Palmas,2,0,2024-11-03,27093,2024,685497,0,0,0,0,0,0.03290437534451485,0.03290437534451485
0,0,0,90,GK,Las Palmas,Girona,1,0,2024-10-26,27087,2024,683174,0,0,0,0,0,0.041326627135276794,0.041326627135276794
0,0,0,90,GK,Valencia,Las Palmas,2,3,2024-10-21,27081,2024,682481,0,0,0,0,0,0.01967783086001873,0.01967783086001873
0,0,0,90,GK,Las Palmas,Real Betis,1,1,2024-09-26,27049,2024,677120,0,0,0,0,0,0.6892899870872498,0.6892899870872498
0,0,0,90,GK,Osasuna,Las Palmas,2,1,2024-09-21,27040,2024,675823,0,0,0,0,0,0.5039087533950806,0.5039087533950806
0,0,0,90,GK,Las Palmas,Athletic Club,2,3,2024-09-15,27027,2024,674738,0,0,0,0,0,0,0
0,0,0,90,GK,Alaves,Las Palmas,2,0,2024-09-01,27017,2024,672596,0,0,0,0,0,0.17769955098628998,0.17769955098628998
0,0,0,90,GK,Las Palmas,Real Madrid,1,1,2024-08-29,27011,2024,669604,0,0,0,0,0,0.35782405734062195,0.35782405734062195
0,0,0,90,GK,Leganes,Las Palmas,2,1,2024-08-25,26999,2024,669117,0,0,0,0,0,0.25559499859809875,0.25559499859809875
0,0,0,90,GK,Las Palmas,Sevilla,2,2,2024-08-16,26985,2024,666201,0,0,0,0,0,0.013722354546189308,0.013722354546189308
0,0,0,90,GK,Espanyol,Valencia,1,1,2022-05-15,17503,2021,536543,0,0,0,0,0,0.045201998203992844,0.045201998203992844
0,0,0,90,GK,Villarreal,Valencia,2,0,2022-04-19,17465,2021,527601,0,0,0,0,0,0.11660200357437134,0.11660200357437134
0,0,0,17,GK,Valencia,Sevilla,1,1,2022-01-19,17344,2021,509213,0,0,0,0,0,0,0
0,0,0,90,GK,Real Madrid,Valencia,4,1,2022-01-08,17331,2021,506973,0,0,0,0,0,0.020085500553250313,0.020085500553250313
0,0,0,90,GK,Valencia,Espanyol,1,2,2021-12-31,17317,2021,505422,0,0,0,0,0,0,0
0,0,0,90,GK,Levante,Valencia,3,4,2021-12-20,17314,2021,504367,0,0,0,0,0,0.08767499774694443,0.08767499774694443
0,0,0,90,GK,Valencia,Elche,2,1,2021-12-11,17304,2021,501878,0.016961999237537384,1,1,0,0,0.1368660032749176,0.11990399658679962
0,0,0,90,GK,Celta Vigo,Valencia,1,2,2021-12-05,17288,2021,501058,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Rayo Vallecano,1,1,2021-11-27,17284,2021,497457,0,0,0,0,0,0.5749179720878601,0.5749179720878601
0,0,0,90,GK,Real Sociedad,Valencia,0,0,2021-11-21,17272,2021,496815,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Atletico Madrid,3,3,2021-11-07,17264,2021,494792,0,0,0,0,0,0.01647390052676201,0.01647390052676201
0,0,0,90,GK,Valencia,Villarreal,2,0,2021-10-30,17247,2021,492500,0,0,0,0,0,0,0
0,0,0,90,GK,Real Betis,Valencia,4,1,2021-10-27,17241,2021,491498,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Mallorca,2,2,2021-10-23,17228,2021,489690,0,0,0,0,0,0.6526910066604614,0.6526910066604614
0,0,0,90,GK,Barcelona,Valencia,3,1,2021-10-17,17217,2021,489250,0,0,0,0,0,0,0
0,0,0,90,GK,Cadiz,Valencia,0,0,2021-10-02,17215,2021,486733,0,0,0,0,0,0.9174630045890808,0.9174630045890808
0,0,0,90,GK,Valencia,Athletic Club,1,1,2021-09-25,17199,2021,484783,0,0,0,0,0,0.035561300814151764,0.035561300814151764
0,0,0,90,GK,SD Huesca,Valencia,0,0,2021-05-22,15151,2020,472989,0,0,0,0,0,0.10898900032043457,0.10898900032043457
0,0,0,90,GK,Valencia,Eibar,4,1,2021-05-16,15146,2020,471809,0,0,0,0,0,0.02358650043606758,0.02358650043606758
0,0,0,90,GK,Sevilla,Valencia,1,0,2021-05-12,15135,2020,470118,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Real Valladolid,3,0,2021-05-09,15126,2020,469446,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Barcelona,2,3,2021-05-02,15109,2020,467875,0,0,0,0,0,0.058179598301649094,0.058179598301649094
0,0,0,90,GK,Valencia,Granada,2,1,2021-03-21,15055,2020,458731,0,0,0,0,0,0,0
0,0,0,90,GK,Levante,Valencia,1,0,2021-03-12,15044,2020,455979,0,0,0,0,0,0.06794679909944534,0.06794679909944534
0,0,0,90,GK,Valencia,Villarreal,2,1,2021-03-05,15035,2020,454308,0,0,0,0,0,0.12082000076770782,0.12082000076770782
0,0,0,90,GK,Getafe,Valencia,3,0,2021-02-27,15021,2020,452570,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Celta Vigo,2,0,2021-02-20,15015,2020,450850,0,0,0,0,0,0.013703499920666218,0.013703499920666218
0,0,0,90,GK,Valencia,Espanyol,1,0,2020-07-16,12388,2019,409295,0,0,0,0,0,0.07139270007610321,0.07139270007610321
0,0,0,90,GK,Granada,Valencia,2,2,2020-07-04,12357,2019,405528,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Athletic Club,0,2,2020-07-01,12351,2019,404529,0,0,0,0,0,0,0
0,0,0,90,GK,Villarreal,Valencia,2,0,2020-06-28,12342,2019,403631,0,0,0,0,0,0,0
0,0,0,90,GK,Eibar,Valencia,1,0,2020-06-25,12326,2019,402712,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Osasuna,2,0,2020-06-21,12322,2019,401688,0,0,0,0,0,0,0
0,0,0,90,GK,Real Madrid,Valencia,3,0,2020-06-18,12308,2019,400642,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Levante,1,1,2020-06-12,12300,2019,399517,0,0,0,0,0,0.07414370030164719,0.07414370030164719
0,0,0,90,GK,Alaves,Valencia,1,1,2020-03-06,12283,2019,396560,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Real Betis,2,1,2020-02-29,12282,2019,395745,0,0,0,0,0,0,0
0,0,0,26,GK,Levante,Valencia,2,4,2019-12-07,12178,2019,368562,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Villarreal,2,1,2019-11-30,12172,2019,366619,0,0,0,0,0,0.114096999168396,0.114096999168396
0,0,0,90,GK,Real Betis,Valencia,2,1,2019-11-23,12153,2019,364696,0,0,0,0,0,0.040178101509809494,0.040178101509809494
0,0,0,90,GK,Valencia,Granada,2,0,2019-11-09,12152,2019,363106,0.04726320132613182,1,1,0,0,0.04726320132613182,0
0,0,0,90,GK,Espanyol,Valencia,1,2,2019-11-02,12134,2019,361234,0,0,0,0,0,0.08475589752197266,0.08475589752197266
0,0,0,90,GK,Valencia,Sevilla,1,1,2019-10-30,12132,2019,360694,0,0,0,0,0,0.3129830062389374,0.3129830062389374
0,0,0,90,GK,Atletico Madrid,Valencia,1,1,2019-10-19,12105,2019,357904,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Alaves,2,1,2019-10-05,12101,2019,356413,0,0,0,0,0,0.34177300333976746,0.34177300333976746
0,0,0,90,GK,Athletic Club,Valencia,0,1,2019-09-28,12084,2019,354317,0,0,0,0,0,0,0
0,0,0,90,GK,Valencia,Leganes,1,1,2019-09-22,12069,2019,353024,0,0,0,0,0,0.09267699718475342,0.09267699718475342
0,0,0,90,GK,Barcelona,Valencia,5,2,2019-09-14,12054,2019,349469,0,0,0,0,0,0.07918450236320496,0.07918450236320496
0,0,0,90,GK,Valencia,Mallorca,2,0,2019-09-01,12049,2019,348066,0,0,0,0,0,0,0
0,0,0,90,GK,Celta Vigo,Valencia,1,0,2019-08-24,12037,2019,344466,0,0,0,0,0,0.12038400024175644,0.12038400024175644
0,0,0,90,GK,Valencia,Real Sociedad,1,1,2019-08-17,12024,2019,342340,0,0,0,0,0,0,0
0,0,0,90,GK,Eibar,Barcelona,2,2,2019-05-19,10329,2018,334298,0,0,0,0,0,0.4040069878101349,0.4040069878101349
0,0,0,90,GK,Barcelona,Getafe,2,0,2019-05-12,10324,2018,332759,0,0,0,0,0,0.08701279759407043,0.08701279759407043
0,0,0,90,GK,Celta Vigo,Barcelona,2,0,2019-05-04,10309,2018,330605,0,0,0,0,0,0.06137549877166748,0.06137549877166748
0,0,0,90,GK,Barcelona,Villarreal,5,1,2018-05-09,8217,2017,238649,0,0,0,0,0,0.09231779724359512,0.09231779724359512
0,0,0,90,GK,Barcelona,Alaves,1,2,2016-09-10,1804,2016,151064,0,0,0,0,0,0.2268570065498352,0.2268570065498352
