goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.018379708752036095,73,MC,Sevilla,Las Palmas,1,0,2025-05-13,27340,2024,727242,0.026157787069678307,0,1,0,0.018379708752036095,0.0445374958217144,0.026157787069678307
0,0,0,20,Sub,Las Palmas,Rayo Vallecano,0,1,2025-05-09,27329,2024,725404,0.07011828571557999,0,2,0,0,0.14396658539772034,0.09892066568136215
0,0,0,7,Sub,Las Palmas,Valencia,2,3,2025-05-03,27313,2024,724333,0.07322940975427628,1,1,0,0,0.14152027666568756,0.14152027666568756
0,0,0,3,Sub,Athletic Club,Las Palmas,1,0,2025-04-23,27303,2024,721992,0,0,0,0,0,0.07401998341083527,0.07401998341083527
0,0,0,7,Sub,Las Palmas,Atletico Madrid,1,0,2025-04-19,27295,2024,720801,0,0,0,0,0,0,0
0,0,0,17,Sub,Las Palmas,Real Sociedad,1,3,2025-04-06,27274,2024,717369,0,0,0,0,0,0,0
0,0,0,51,MC,Celta Vigo,Las Palmas,1,1,2025-03-31,27263,2024,715931,0,0,0,0,0,0,0
0,0,0,83,DMC,Las Palmas,Alaves,2,2,2025-03-14,27260,2024,712618,0.035826291888952255,0,1,0,0,0.06658861041069031,0.06658861041069031
0,0,0,85,MC,Real Betis,Las Palmas,1,0,2025-03-09,27245,2024,712292,0.09550153464078903,0,1,0,0,0.08168148249387741,0.08168148249387741
0,1,0.012588792480528355,90,DMC,Real Valladolid,Las Palmas,1,1,2025-02-28,27239,2024,709471,0,0,0,0,0.012588792480528355,0.03239922225475311,0.019810428842902184
0,0,0,23,Sub,Las Palmas,Barcelona,0,2,2025-02-22,27226,2024,708207,0,0,0,0,0,0.019226664677262306,0.019226664677262306
0,0,0,15,Sub,Mallorca,Las Palmas,3,1,2025-02-16,27217,2024,707101,0,0,0,0,0,0.21028007566928864,0.21028007566928864
0,0,0,79,MC,Las Palmas,Espanyol,1,0,2024-12-22,27152,2024,695940,0.05664408579468727,0,1,0,0,0.05664408579468727,0.05664408579468727
0,0,0,74,MC,Real Sociedad,Las Palmas,0,0,2024-12-15,27151,2024,694580,0,0,0,0,0,0,0
0,1,0.05139599367976189,30,Sub,Las Palmas,Real Valladolid,2,1,2024-12-07,27138,2024,691892,0.04172958806157112,1,1,0,0.05139599367976189,0.04172958806157112,0.04172958806157112
0,0,0,72,DMC,Barcelona,Las Palmas,1,2,2024-11-30,27122,2024,689761,0,0,0,0,0,0,0
0,0,0,61,DMC,Las Palmas,Mallorca,2,3,2024-11-23,27115,2024,688641,0.029831871390342712,0,1,0,0,0.029831871390342712,0.029831871390342712
0,1,0.009948781691491604,21,Sub,Rayo Vallecano,Las Palmas,1,3,2024-11-08,27110,2024,686319,0,0,0,0,0.009948781691491604,0.13821230828762054,0.12826351821422577
0,0,0,67,MC,Atletico Madrid,Las Palmas,2,0,2024-11-03,27093,2024,685503,0,0,0,0,0,0,0
