goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Celta Vigo,Atletico Madrid,1,2,2021-08-15,17141,2021,476272,0,0,0,0,0,0,0
0,0,0,6,Sub,Celta Vigo,Real Betis,2,3,2021-05-22,15148,2020,472923,0,0,0,0,0,0,0
0,0,0,12,Sub,Barcelona,Celta Vigo,1,2,2021-05-16,15141,2020,471682,0,0,0,0,0,0,0
0,0,0,23,Sub,Cadiz,Celta Vigo,0,0,2021-04-18,15104,2020,463853,0,0,0,0,0,0.014700399711728096,0.014700399711728096
0,0,0,3,Sub,Celta Vigo,Sevilla,3,4,2021-04-12,15070,2020,462454,0,0,0,0,0,0.0191430002450943,0.0191430002450943
0,1,0.026535099372267723,31,Sub,Celta Vigo,Real Valladolid,1,1,2021-02-28,15019,2020,452796,0,0,0,0,0.026535099372267723,0.026535099372267723,0.026535099372267723
0,0,0,1,Sub,Celta Vigo,Elche,3,1,2021-02-12,14999,2020,448804,0,0,0,0,0,0,0
0,0,0,8,Sub,Celta Vigo,Eibar,1,1,2021-01-24,14974,2020,444809,0,0,0,0,0,0,0
0,1,0.333748996257782,18,Sub,Real Betis,Celta Vigo,2,1,2021-01-20,14961,2020,443596,0,0,0,0,0.333748996257782,0.333748996257782,0
0,0,0,47,MC,Celta Vigo,Villarreal,0,4,2021-01-08,14949,2020,440643,0.031512800604104996,0,2,0,0,0.031512800604104996,0.031512800604104996
0,1,0.07935620099306107,26,Sub,Real Madrid,Celta Vigo,2,0,2021-01-02,14943,2020,439335,0.1092429980635643,0,2,0,0.07935620099306107,0.18859900534152985,0
0,0,0,7,Sub,Celta Vigo,SD Huesca,2,1,2020-12-30,14933,2020,438677,0.35908299684524536,0,1,0,0,0.35908299684524536,0
0,0,0,65,MC,Getafe,Celta Vigo,1,1,2020-12-23,14919,2020,437402,0.023890100419521332,0,1,0,0,0.023890100419521332,0
0,0,0,17,Sub,Celta Vigo,Alaves,2,0,2020-12-20,14910,2020,436456,0,0,0,0,0,0,0
0,0,0,18,Sub,Celta Vigo,Cadiz,4,0,2020-12-14,14900,2020,434213,0.04785099998116493,0,1,0,0,0,0
0,0,0,1,Sub,Athletic Club,Celta Vigo,0,2,2020-12-04,14892,2020,431013,0,0,0,0,0,0,0
1,2,1.3090699911117554,15,Sub,Celta Vigo,Granada,3,1,2020-11-29,14877,2020,430639,0,0,0,1,1.3090699911117554,1.9023699760437012,0.5932999849319458
0,0,0,47,MR,Celta Vigo,Real Sociedad,1,4,2020-11-01,14848,2020,425275,0,0,0,0,0,0.05304089933633804,0.05304089933633804
0,1,0.018776100128889084,60,AMC,Osasuna,Celta Vigo,2,0,2020-10-04,14820,2020,419889,0,0,0,0,0.018776100128889084,0.013140300288796425,0.013140300288796425
0,2,0.1920820027589798,40,Sub,Celta Vigo,Barcelona,0,3,2020-10-01,14165,2020,419082,0.05691710114479065,0,1,0,0.1920820027589798,0.31781598925590515,0.06881649792194366
0,0,0,30,Sub,Real Valladolid,Celta Vigo,1,1,2020-09-27,14162,2020,418451,0,0,0,0,0,0.03335700184106827,0.03335700184106827
0,3,0.18173299729824066,21,Sub,Celta Vigo,Valencia,2,1,2020-09-19,14147,2020,416090,0,0,0,0,0.18173299729824066,0.1350889950990677,0
0,0,0,13,Sub,Eibar,Celta Vigo,0,0,2020-09-12,14136,2020,414612,0,0,0,0,0,0,0
