goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,6,Sub,Rayo Vallecano,Espanyol,1,0,2026-04-23,29486,2025,784889,0,0,0,0,0,0,0
0,0,0,34,DC,Rayo Vallecano,Sevilla,1,1,2025-03-01,27235,2024,709766,0,0,0,0,0,0.5318024158477783,0.5318024158477783
0,1,0.01520384568721056,90,DC,Rayo Vallecano,Villarreal,0,1,2025-02-22,27224,2024,707918,0,0,0,0,0.01520384568721056,0,0
0,1,0.01570446603000164,90,DC,Barcelona,Rayo Vallecano,1,0,2025-02-17,27214,2024,707313,0,0,0,0,0.01570446603000164,0.4319016933441162,0.4319016933441162
0,1,0.34120500087738037,90,DC,Rayo Vallecano,Real Valladolid,1,0,2025-02-07,27211,2024,704593,0,0,0,0,0.34120500087738037,0.8198217153549194,0.47861671447753906
0,0,0,90,DC,Leganes,Rayo Vallecano,0,1,2025-01-31,27197,2024,702683,0,0,0,0,0,0.013041499070823193,0.013041499070823193
0,0,0,90,DC,Rayo Vallecano,Girona,2,1,2025-01-26,27189,2024,701896,0,0,0,0,0,0.11566761136054993,0.11566761136054993
0,0,0,90,DC,Osasuna,Rayo Vallecano,1,1,2025-01-19,27174,2024,700865,0,0,0,0,0,0,0
0,0,0,90,DC,Rayo Vallecano,Celta Vigo,2,1,2025-01-10,27169,2024,697918,0,0,0,0,0,0.018225131556391716,0.018225131556391716
0,1,0.05592825636267662,90,DC,Villarreal,Rayo Vallecano,1,1,2024-12-18,27098,2024,694877,0,0,0,0,0.05592825636267662,0.020383639261126518,0.020383639261126518
1,2,0.07473354041576385,90,DC,Rayo Vallecano,Real Madrid,3,3,2024-12-14,27144,2024,694065,0,0,0,1,0.07473354041576385,0.4576004147529602,0.4576004147529602
0,0,0,90,DC,Valencia,Rayo Vallecano,0,1,2024-12-07,27140,2024,692424,0,0,0,0,0,0.5819975733757019,0.5819975733757019
0,0,0,90,DC,Rayo Vallecano,Athletic Club,1,2,2024-12-01,27125,2024,691077,0,0,0,0,0,0.015058845281600952,0.015058845281600952
0,0,0,90,DC,Sevilla,Rayo Vallecano,1,0,2024-11-24,27119,2024,689173,0,0,0,0,0,0.5315707921981812,0.5315707921981812
0,1,0.12779749929904938,21,DC,Rayo Vallecano,Alaves,1,0,2024-10-26,27090,2024,683056,0,0,0,0,0.12779749929904938,0.12779749929904938,0
0,1,0.04104170575737953,75,DC,Mallorca,Rayo Vallecano,1,0,2024-10-20,27077,2024,681829,0,0,0,0,0.04104170575737953,0.18129472434520721,0.18129472434520721
0,1,0.04811941832304001,90,DC,Real Valladolid,Rayo Vallecano,1,2,2024-10-05,27070,2024,679807,0,0,0,0,0.04811941832304001,0.19956332445144653,0.19956332445144653
0,0,0,90,DC,Rayo Vallecano,Leganes,1,1,2024-09-28,27060,2024,677927,0,0,0,0,0,0,0
0,0,0,90,DC,Girona,Rayo Vallecano,0,0,2024-09-25,27044,2024,677042,0,0,0,0,0,0,0
0,0,0,90,DC,Rayo Vallecano,Atletico Madrid,1,1,2024-09-22,27036,2024,676807,0,0,0,0,0,0.02213303931057453,0.02213303931057453
1,1,0.03900311887264252,90,DC,Rayo Vallecano,Osasuna,3,1,2024-09-16,27030,2024,674961,0,0,0,1,0.03900311887264252,0.0950770154595375,0.0950770154595375
0,0,0,90,DC,Espanyol,Rayo Vallecano,2,1,2024-08-31,27014,2024,672229,0,0,0,0,0,0,0
0,0,0,90,DC,Rayo Vallecano,Barcelona,1,2,2024-08-27,27004,2024,669416,0,0,0,0,0,0.11326628923416138,0.11326628923416138
0,0,0,90,DC,Getafe,Rayo Vallecano,0,0,2024-08-24,26996,2024,668592,0,0,0,0,0,0,0
0,0,0,90,DC,Real Sociedad,Rayo Vallecano,1,2,2024-08-18,26988,2024,667118,0.19435454905033112,1,1,0,0,0.19435454905033112,0
0,1,0.024991925805807114,90,DC,Barcelona,Rayo Vallecano,3,0,2024-05-19,23047,2023,663664,0.35519838333129883,0,1,0,0.024991925805807114,0.35519838333129883,0
