goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Almeria,Cadiz,6,1,2024-05-25,23055,2023,664536,0,0,0,0,0,0,0
0,0,0,90,GK,Cadiz,Real Sociedad,0,0,2023-12-21,22858,2023,632178,0,0,0,0,0,0.03786332905292511,0.03786332905292511
0,0,0,90,GK,Celta Vigo,Cadiz,1,1,2023-12-04,22831,2023,627856,0,0,0,0,0,0,0
0,0,0,90,GK,Mallorca,Cadiz,1,1,2023-11-29,22810,2023,626177,0,0,0,0,0,0,0
0,0,0,8,Sub,Cadiz,Real Madrid,0,3,2023-11-26,22817,2023,625894,0,0,0,0,0,0,0
0,0,0,90,GK,Cadiz,Real Madrid,0,2,2023-04-15,19245,2022,588792,0,0,0,0,0,0.05512949824333191,0.05512949824333191
0,0,0,90,GK,Real Betis,Cadiz,0,2,2023-04-09,19233,2022,587558,0,0,0,0,0,0,0
0,0,0,90,GK,Cadiz,Sevilla,0,2,2023-04-01,19225,2022,584949,0,0,0,0,0,0.03906650096178055,0.03906650096178055
0,0,0,90,GK,Almeria,Cadiz,1,1,2023-03-18,19217,2022,582807,0,0,0,0,0,0,0
0,0,0,90,GK,Levante,Cadiz,2,2,2021-05-21,15152,2020,472611,0,0,0,0,0,0,0
0,0,0,90,GK,Cadiz,Elche,1,3,2021-05-16,15144,2020,471747,0,0,0,0,0,0,0
0,0,0,90,GK,Osasuna,Cadiz,3,2,2021-05-11,15134,2020,469880,0,0,0,0,0,0,0
0,0,0,90,GK,Cadiz,Osasuna,0,2,2020-09-12,14138,2020,414761,0,0,0,0,0,0,0
