id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
404824,74,SavedShot,0.775,0.3340000152587891,0.02790440060198307,Sergio Arribas,h,8862,OpenPlay,2020,LeftFoot,15005,Real Madrid,Valencia,2,0,2021-02-14 15:15:00,Raphael Varane,BallRecovery
509323,89,BlockedShot,0.8580000305175781,0.509000015258789,0.1331080049276352,Sergio Arribas,h,8862,OpenPlay,2022,RightFoot,19169,Real Madrid,Elche,4,0,2023-02-15 20:00:00,Rodrygo,Pass
531918,59,BlockedShot,0.7440000152587891,0.24,0.013530959375202656,Sergio Arribas,h,8862,OpenPlay,2023,LeftFoot,22685,Almeria,Rayo Vallecano,0,2,2023-08-11 17:30:00,Largie Ramazani,Pass
531920,68,BlockedShot,0.8469999694824218,0.39099998474121095,0.06771078705787659,Sergio Arribas,h,8862,OpenPlay,2023,LeftFoot,22685,Almeria,Rayo Vallecano,0,2,2023-08-11 17:30:00,Adrián Embarba,LayOff
531922,73,MissedShots,0.8690000152587891,0.519000015258789,0.028599409386515617,Sergio Arribas,h,8862,OpenPlay,2023,Head,22685,Almeria,Rayo Vallecano,0,2,2023-08-11 17:30:00,Marc Pubill,Chipped
533468,2,Goal,0.925,0.45299999237060545,0.40383273363113403,Sergio Arribas,h,8862,OpenPlay,2023,Head,22698,Almeria,Real Madrid,1,3,2023-08-19 17:30:00,Lucas Robertone,Cross
535011,36,BlockedShot,0.8030000305175782,0.385,0.038182489573955536,Sergio Arribas,a,8862,OpenPlay,2023,LeftFoot,22707,Cadiz,Almeria,1,1,2023-08-26 17:00:00,Luis Suárez,Pass
535012,37,MissedShots,0.8619999694824219,0.5920000076293945,0.05369177833199501,Sergio Arribas,a,8862,FromCorner,2023,LeftFoot,22707,Cadiz,Almeria,1,1,2023-08-26 17:00:00,Adrián Embarba,Pass
536177,67,Goal,0.9640000152587891,0.47200000762939454,0.5645667910575867,Sergio Arribas,h,8862,OpenPlay,2023,RightFoot,22715,Almeria,Celta Vigo,2,3,2023-09-01 20:00:00,Largie Ramazani,Cross
536180,75,MissedShots,0.8159999847412109,0.39799999237060546,0.06767447292804718,Sergio Arribas,h,8862,OpenPlay,2023,LeftFoot,22715,Almeria,Celta Vigo,2,3,2023-09-01 20:00:00,Largie Ramazani,Pass
539382,31,SavedShot,0.92,0.5509999847412109,0.3136168122291565,Sergio Arribas,h,8862,OpenPlay,2023,Head,22735,Almeria,Valencia,2,2,2023-09-23 19:00:00,Adrián Embarba,Cross
539390,58,Goal,0.970999984741211,0.48,0.7808483242988586,Sergio Arribas,h,8862,OpenPlay,2023,RightFoot,22735,Almeria,Valencia,2,2,2023-09-23 19:00:00,,Rebound
539393,68,Goal,0.9590000152587891,0.46799999237060547,0.6395996809005737,Sergio Arribas,h,8862,OpenPlay,2023,LeftFoot,22735,Almeria,Valencia,2,2,2023-09-23 19:00:00,,Rebound
539395,72,SavedShot,0.8390000152587891,0.295,0.02915355935692787,Sergio Arribas,h,8862,OpenPlay,2023,LeftFoot,22735,Almeria,Valencia,2,2,2023-09-23 19:00:00,Gonzalo Melero,Pass
540139,10,BlockedShot,0.845,0.4,0.06865740567445755,Sergio Arribas,a,8862,OpenPlay,2023,LeftFoot,22747,Sevilla,Almeria,5,1,2023-09-26 17:00:00,Gonzalo Melero,Pass
540152,41,MissedShots,0.8680000305175781,0.42200000762939455,0.0867619663476944,Sergio Arribas,a,8862,OpenPlay,2023,RightFoot,22747,Sevilla,Almeria,5,1,2023-09-26 17:00:00,Alejandro Pozo,Pass
540157,54,MissedShots,0.919000015258789,0.4929999923706055,0.1346699446439743,Sergio Arribas,a,8862,OpenPlay,2023,Head,22747,Sevilla,Almeria,5,1,2023-09-26 17:00:00,Álex Centelles,Cross
541684,95,ShotOnPost,0.7080000305175781,0.38599998474121094,0.011769967153668404,Sergio Arribas,h,8862,OpenPlay,2023,LeftFoot,22755,Almeria,Granada,3,3,2023-10-01 12:00:00,Adrián Embarba,LayOff
541685,96,MissedShots,0.8090000152587891,0.46599998474121096,0.04449513554573059,Sergio Arribas,h,8862,OpenPlay,2023,LeftFoot,22755,Almeria,Granada,3,3,2023-10-01 12:00:00,Dion Lopy,Pass
541687,98,SavedShot,0.9069999694824219,0.509000015258789,0.11737579852342606,Sergio Arribas,h,8862,OpenPlay,2023,Head,22755,Almeria,Granada,3,3,2023-10-01 12:00:00,Sergio Akieme,Cross
542346,78,MissedShots,0.815,0.38,0.04213225468993187,Sergio Arribas,a,8862,OpenPlay,2023,LeftFoot,22770,Athletic Club,Almeria,3,0,2023-10-06 19:00:00,Marciano Sanca,Pass
547251,48,SavedShot,0.795,0.3659999847412109,0.030826248228549957,Sergio Arribas,a,8862,OpenPlay,2023,LeftFoot,22797,Alaves,Almeria,1,0,2023-11-05 13:00:00,Houboulang Mendes,Pass
547257,64,MissedShots,0.9369999694824219,0.4640000152587891,0.42901289463043213,Sergio Arribas,a,8862,OpenPlay,2023,Head,22797,Alaves,Almeria,1,0,2023-11-05 13:00:00,Lucas Robertone,Cross
548420,43,MissedShots,0.7290000152587891,0.5929999923706055,0.01594705507159233,Sergio Arribas,h,8862,OpenPlay,2023,LeftFoot,22805,Almeria,Real Sociedad,1,3,2023-11-11 15:15:00,Leo Baptistao,BallRecovery
548427,75,Goal,0.914000015258789,0.5709999847412109,0.4411381781101227,Sergio Arribas,h,8862,OpenPlay,2023,LeftFoot,22805,Almeria,Real Sociedad,1,3,2023-11-11 15:15:00,,Rebound
549950,5,BlockedShot,0.84,0.4129999923706055,0.06797199696302414,Sergio Arribas,a,8862,OpenPlay,2023,LeftFoot,22820,Getafe,Almeria,2,1,2023-11-25 17:30:00,Lucas Robertone,HeadPass
551844,38,BlockedShot,0.7330000305175781,0.3340000152587891,0.0176461860537529,Sergio Arribas,h,8862,SetPiece,2023,LeftFoot,22825,Almeria,Real Betis,0,0,2023-12-03 15:15:00,Alejandro Pozo,Pass
551845,41,MissedShots,0.960999984741211,0.6170000076293946,0.649048924446106,Sergio Arribas,h,8862,OpenPlay,2023,LeftFoot,22825,Almeria,Real Betis,0,0,2023-12-03 15:15:00,Largie Ramazani,TakeOn
551847,46,MissedShots,0.885,0.46599998474121096,0.028906913474202156,Sergio Arribas,h,8862,OpenPlay,2023,Head,22825,Almeria,Real Betis,0,0,2023-12-03 15:15:00,Alejandro Pozo,Aerial
551849,53,SavedShot,0.8380000305175781,0.565,0.023524271324276924,Sergio Arribas,h,8862,SetPiece,2023,LeftFoot,22825,Almeria,Real Betis,0,0,2023-12-03 15:15:00,Edgar González,Aerial
551854,65,SavedShot,0.8130000305175781,0.46,0.04809371754527092,Sergio Arribas,h,8862,OpenPlay,2023,LeftFoot,22825,Almeria,Real Betis,0,0,2023-12-03 15:15:00,Dion Lopy,Pass
