goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,6,Sub,Real Valladolid,Getafe,0,0,2023-06-04,19335,2022,602417,0,0,0,0,0,0,0
0,0,0,1,Sub,Getafe,Osasuna,2,1,2023-05-28,19325,2022,601313,0,0,0,0,0,0.25862744450569153,0.25862744450569153
0,0,0,24,Sub,Real Madrid,Getafe,1,0,2023-05-13,19300,2022,596766,0.026454564183950424,0,1,0,0,0.026454564183950424,0
0,0,0,21,Sub,Getafe,Celta Vigo,1,0,2023-05-03,19290,2022,594195,0.3137405216693878,0,1,0,0,0.3137405216693878,0
0,0,0,12,Sub,Getafe,Barcelona,0,0,2023-04-16,19247,2022,589233,0,0,0,0,0,0.3989790081977844,0.3989790081977844
0,1,0.04284200072288513,28,Sub,Real Sociedad,Getafe,2,0,2023-04-08,19241,2022,587081,0,0,0,0,0.04284200072288513,0.04284200072288513,0
0,0,0,17,Sub,Athletic Club,Getafe,0,0,2023-04-01,19222,2022,584821,0,0,0,0,0,0,0
0,0,0,20,Sub,Getafe,Sevilla,2,0,2023-03-19,19215,2022,584073,0,0,0,0,0,0.3812279999256134,0.3812279999256134
0,2,0.07039470225572586,74,MC,Cadiz,Getafe,2,2,2023-03-10,19206,2022,580874,0,0,0,0,0.07039470225572586,0.0553211010992527,0.0208148006349802
0,0,0,75,MC,Getafe,Girona,3,2,2023-03-04,19195,2022,579213,0,0,0,0,0,0.15759800374507904,0.15759800374507904
0,0,0,28,Sub,Villarreal,Getafe,2,1,2023-02-27,19191,2022,578867,0,0,0,0,0,0.07922430336475372,0.07922430336475372
0,1,0.018056299537420273,65,Sub,Getafe,Rayo Vallecano,1,1,2023-02-12,19162,2022,575284,0,0,0,0,0.018056299537420273,0.08247160166501999,0.06441540271043777
0,0,0,15,Sub,Atletico Madrid,Getafe,1,1,2023-02-04,19153,2022,573521,0,0,0,0,0,0,0
0,1,0.011400200426578522,64,MC,Getafe,Real Betis,0,1,2023-01-28,19148,2022,571896,0,0,0,0,0.011400200426578522,0.011400200426578522,0
0,0,0,64,MC,Barcelona,Getafe,1,0,2023-01-22,19134,2022,570800,0,0,0,0,0,0.046895600855350494,0.046895600855350494
0,0,0,66,MC,Getafe,Espanyol,1,2,2023-01-15,19130,2022,569238,0,0,0,0,0,0,0
0,0,0,90,MC,Sevilla,Getafe,2,1,2023-01-08,19119,2022,568031,0,0,0,0,0,0.21479199826717377,0.21479199826717377
0,0,0,90,MC,Getafe,Mallorca,2,0,2022-12-30,19105,2022,566143,0,0,0,0,0,0.13035599887371063,0.13035599887371063
0,0,0,11,Sub,Getafe,Cadiz,0,0,2022-11-05,19090,2022,561644,0.03066129982471466,0,1,0,0,0,0
0,0,0,28,Sub,Elche,Getafe,0,1,2022-10-31,19073,2022,561357,0,0,0,0,0,0.07787100225687027,0.07787100225687027
0,1,0.11158700287342072,90,MC,Celta Vigo,Getafe,1,1,2022-10-24,19062,2022,559572,0,0,0,0,0.11158700287342072,0.11158700287342072,0
0,0,0,4,Sub,Getafe,Athletic Club,2,2,2022-10-18,19057,2022,557290,0,0,0,0,0,0,0
0,1,0.013470499776303768,30,Sub,Rayo Vallecano,Getafe,0,0,2022-10-14,19048,2022,555626,0,0,0,0,0.013470499776303768,0.013470499776303768,0
0,0,0,84,MC,Getafe,Real Madrid,0,1,2022-10-08,19035,2022,554435,0.04904180020093918,0,2,0,0,0.082122802734375,0.05961110070347786
0,0,0,49,MC,Getafe,Real Valladolid,2,3,2022-10-01,19022,2022,552426,0,0,0,0,0,0,0
0,0,0,64,MC,Getafe,Real Sociedad,2,1,2022-09-11,19004,2022,549966,0,0,0,0,0,0,0
