goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DL,Toulouse,Lyon,2,1,2026-05-10,29834,2025,789934,0.21617980301380157,0,3,0,0,0.6673397421836853,0.5202617049217224
0,1,0.019476821646094322,90,DL,Lyon,Rennes,4,2,2026-05-03,29819,2025,788179,0.3807612955570221,1,2,0,0.019476821646094322,1.1145720481872559,1.095095157623291
0,1,0.0667380541563034,90,DL,Lyon,Auxerre,3,2,2026-04-25,29812,2025,785289,0.5941866636276245,1,1,0,0.0667380541563034,1.0438902378082275,0.4497036039829254
0,1,0.11975069344043732,90,MC,Paris Saint Germain,Lyon,1,2,2026-04-19,29806,2025,784163,0,0,0,0,0.11975069344043732,0.11975069344043732,0
0,0,0,90,DL,Lyon,Lorient,2,0,2026-04-12,29793,2025,782647,0.43377748131752014,0,1,0,0,0.4747801423072815,0.04100264608860016
0,0,0,90,DL,Angers,Lyon,0,0,2026-04-05,29781,2025,780521,0.03911538049578667,0,1,0,0,0.14172036945819855,0.14172036945819855
0,1,0.057974718511104584,90,AML,Le Havre,Lyon,0,0,2026-03-15,29764,2025,777764,0.1671036034822464,0,2,0,0.057974718511104584,0.49761509895324707,0.2725367546081543
0,1,0.2785276174545288,90,ML,Lyon,Paris FC,1,1,2026-03-08,29758,2025,776138,0,0,0,0,0.2785276174545288,0.34583747386932373,0.06730984151363373
0,0,0,1,Sub,Marseille,Lyon,3,2,2026-03-01,29748,2025,774321,0,0,0,0,0,0,0
0,0,0,90,FWL,Strasbourg,Lyon,3,1,2026-02-22,29743,2025,772569,0,0,0,0,0,0.40048882365226746,0.40048882365226746
0,0,0,90,DML,Lyon,Nice,2,0,2026-02-15,29730,2025,771039,0.6093308329582214,0,3,0,0,0.6267608404159546,0.042121682316064835
0,0,0,90,DL,Nantes,Lyon,0,1,2026-02-08,29724,2025,769042,0.09913972020149231,0,1,0,0,0.3517929017543793,0.25265318155288696
0,1,0.09921830892562866,90,MC,Lyon,Lille,1,0,2026-02-01,29712,2025,767726,0,0,0,0,0.09921830892562866,0.09921830892562866,0
1,2,0.12253683805465698,90,MC,Lyon,Brest,2,1,2026-01-18,29693,2025,764984,0.04609370976686478,0,2,1,0.12253683805465698,0.7126167416572571,0.5617184042930603
1,1,0.46641409397125244,89,MC,Monaco,Lyon,1,3,2026-01-03,29687,2025,761154,0,0,0,1,0.46641409397125244,0.5994362235069275,0.13302211463451385
0,0,0,90,DL,Lyon,Le Havre,1,0,2025-12-14,29679,2025,758235,0,0,0,0,0,1.6668953895568848,1.6668953895568848
