id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
544520,74,MissedShots,0.96,0.685,0.06653904169797897,Alberto Moleiro,h,12160,OpenPlay,2023,LeftFoot,22775,Las Palmas,Rayo Vallecano,0,1,2023-10-22 12:00:00,Sergi Cardona,Pass
545246,66,BlockedShot,0.695,0.48200000762939454,0.016914915293455124,Alberto Moleiro,a,12160,OpenPlay,2023,RightFoot,22785,Almeria,Las Palmas,1,2,2023-10-28 12:00:00,Javi Muñoz,Pass
545251,85,MissedShots,0.7769999694824219,0.5170000076293946,0.03411844000220299,Alberto Moleiro,a,12160,OpenPlay,2023,RightFoot,22785,Almeria,Las Palmas,1,2,2023-10-28 12:00:00,Javi Muñoz,Pass
546544,7,MissedShots,0.8590000152587891,0.3629999923706055,0.08804676681756973,Alberto Moleiro,h,12160,OpenPlay,2023,LeftFoot,22799,Las Palmas,Atletico Madrid,2,1,2023-11-03 19:00:00,,TakeOn
548537,69,Goal,0.815,0.6359999847412109,0.03446373715996742,Alberto Moleiro,a,12160,OpenPlay,2023,RightFoot,22813,Osasuna,Las Palmas,1,1,2023-11-11 17:30:00,Javi Muñoz,Pass
550626,5,MissedShots,0.87,0.5520000076293945,0.02291993983089924,Alberto Moleiro,a,12160,OpenPlay,2023,Head,22816,Real Betis,Las Palmas,1,0,2023-11-26 20:00:00,Munir,Aerial
550651,88,MissedShots,0.7609999847412109,0.445,0.019979272037744522,Alberto Moleiro,a,12160,FromCorner,2023,RightFoot,22816,Real Betis,Las Palmas,1,0,2023-11-26 20:00:00,,None
550912,80,BlockedShot,0.8480000305175781,0.735,0.03505907952785492,Alberto Moleiro,h,12160,OpenPlay,2023,RightFoot,22832,Las Palmas,Getafe,2,0,2023-12-01 19:00:00,Sergi Cardona,Pass
552660,44,BlockedShot,0.8669999694824219,0.6129999923706054,0.056565169245004654,Alberto Moleiro,a,12160,FromCorner,2023,RightFoot,22840,Alaves,Las Palmas,0,1,2023-12-09 13:00:00,,None
558871,34,Goal,0.7959999847412109,0.5020000076293946,0.04980066046118736,Alberto Moleiro,a,12160,OpenPlay,2023,RightFoot,22894,Rayo Vallecano,Las Palmas,0,2,2024-01-20 13:00:00,,BallRecovery
559854,2,BlockedShot,0.8809999847412109,0.6559999847412109,0.03521525859832764,Alberto Moleiro,h,12160,OpenPlay,2023,RightFoot,22899,Las Palmas,Real Madrid,1,2,2024-01-27 15:15:00,Marvin Park,Cross
561279,14,SavedShot,0.7969999694824219,0.6419999694824219,0.028390541672706604,Alberto Moleiro,a,12160,OpenPlay,2023,RightFoot,22909,Granada,Las Palmas,1,1,2024-02-03 15:15:00,Sandro Ramírez,Pass
