goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.08968831598758698,8,Sub,Osasuna,Atletico Madrid,1,2,2026-05-12,29514,2025,790268,0,0,0,0,0.08968831598758698,0,0
0,0,0,1,Sub,Levante,Osasuna,3,2,2026-05-08,29501,2025,788554,0,0,0,0,0,0,0
0,0,0,5,Sub,Osasuna,Barcelona,1,2,2026-05-02,29488,2025,787443,0,0,0,0,0,0.41958287358283997,0.41958287358283997
0,0,0,7,Sub,Osasuna,Girona,1,0,2026-03-21,29447,2025,778751,0.4748583137989044,0,1,0,0,0.4748583137989044,0
0,0,0,2,Sub,Real Sociedad,Osasuna,3,1,2026-03-15,29437,2025,777862,0,0,0,0,0,0,0
0,0,0,1,Sub,Valencia,Osasuna,1,0,2026-03-01,29417,2025,774017,0,0,0,0,0,0,0
0,0,0,23,Sub,Elche,Osasuna,0,0,2026-02-13,29388,2025,770154,0,0,0,0,0,0,0
0,1,0.09442677348852158,18,Sub,Celta Vigo,Osasuna,1,2,2026-02-06,29382,2025,768366,0,0,0,0,0.09442677348852158,0,0
1,1,0.13161984086036682,21,Sub,Rayo Vallecano,Osasuna,1,3,2026-01-24,29366,2025,765408,0,0,0,1,0.13161984086036682,0.13161984086036682,0
0,0,0,1,Sub,Osasuna,Real Oviedo,3,2,2026-01-17,29357,2025,764441,0,0,0,0,0,0,0
0,0,0,1,Sub,Osasuna,Alaves,3,0,2025-12-20,29323,2025,759222,0,0,0,0,0,0,0
0,1,0.051632534712553024,72,DC,Mallorca,Osasuna,2,2,2025-11-29,29291,2025,753395,0,0,0,0,0.051632534712553024,0,0
0,0,0,86,DC,Osasuna,Celta Vigo,2,3,2025-10-26,29255,2025,747090,0.059992048889398575,0,1,0,0,0.10763026773929596,0.047638218849897385
0,0,0,3,Sub,Real Betis,Osasuna,2,0,2025-09-28,29221,2025,741810,0.050848476588726044,0,1,0,0,0.050848476588726044,0.050848476588726044
0,0,0,39,Sub,Villarreal,Osasuna,2,1,2025-09-20,29207,2025,738832,0,0,0,0,0,0,0
0,0,0,1,Sub,Osasuna,Valencia,1,0,2025-08-24,29172,2025,733961,0,0,0,0,0,0.02998838759958744,0.02998838759958744
0,0,0,5,Sub,Rayo Vallecano,Osasuna,2,1,2024-04-20,23004,2023,654862,0,0,0,0,0,0,0
