goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.03719698265194893,90,DMR,Celta Vigo,Valencia,2,2,2024-05-26,23056,2023,664681,0,0,0,0,0.03719698265194893,0.03719698265194893,0
0,0,0,1,Sub,Atletico Madrid,Celta Vigo,1,0,2024-05-12,23026,2023,661273,0,0,0,0,0,0,0
0,1,0.008981895633041859,8,Sub,Alaves,Celta Vigo,3,0,2024-04-27,23010,2023,657148,0,0,0,0,0.008981895633041859,0.008981895633041859,0
0,0,0,2,Sub,Celta Vigo,Las Palmas,4,1,2024-04-20,22997,2023,654620,0,0,0,0,0,0,0
0,0,0,12,Sub,Celta Vigo,Girona,0,1,2024-01-28,22897,2023,637240,0,0,0,0,0,0,0
0,1,0.03764152154326439,63,MR,Celta Vigo,Real Sociedad,0,1,2024-01-20,22885,2023,636065,0,0,0,0,0.03764152154326439,0.05655933916568756,0.018917813897132874
0,1,0.01830430142581463,42,Sub,Mallorca,Celta Vigo,1,1,2024-01-13,22883,2023,634852,0.04033961892127991,0,1,0,0.01830430142581463,0.05864391848444939,0
0,0,0,1,Sub,Villarreal,Celta Vigo,3,2,2023-12-20,22864,2023,632084,0,0,0,0,0,0,0
0,0,0,5,Sub,Celta Vigo,Atletico Madrid,0,3,2023-10-21,22778,2023,618506,0,0,0,0,0,0,0
0,1,0.028347177430987358,4,Sub,Celta Vigo,Getafe,2,2,2023-10-08,22767,2023,617457,0,0,0,0,0.028347177430987358,0.14222535490989685,0.11387818306684494
0,0,0,1,Sub,Barcelona,Celta Vigo,3,2,2023-09-23,22737,2023,612386,0,0,0,0,0,0,0
0,0,0,1,Sub,Celta Vigo,Mallorca,0,1,2023-09-16,22727,2023,610629,0,0,0,0,0,0,0
0,0,0,4,Sub,Celta Vigo,Real Madrid,0,1,2023-08-25,22712,2023,606625,0,0,0,0,0,0,0
0,0,0,1,Sub,Real Sociedad,Celta Vigo,1,1,2023-08-19,22697,2023,605209,0,0,0,0,0,0,0
0,1,0.01044783927500248,24,Sub,Celta Vigo,Osasuna,0,2,2023-08-13,22690,2023,604353,0.09453155845403671,0,1,0,0.01044783927500248,0.14916551113128662,0.04418611153960228
0,0,0,51,FWL,Cadiz,Celta Vigo,1,0,2023-05-28,19326,2022,601356,0,0,0,0,0,0.03595961630344391,0.03595961630344391
0,0,0,72,FWL,Celta Vigo,Girona,1,1,2023-05-23,19313,2022,599408,0,0,0,0,0,0.1151237040758133,0.1151237040758133
0,0,0,43,Sub,Athletic Club,Celta Vigo,2,1,2023-05-20,19309,2022,598231,0.04967532679438591,1,1,0,0,0.04967532679438591,0
0,0,0,13,Sub,Villarreal,Celta Vigo,3,1,2023-04-30,19279,2022,593219,0,0,0,0,0,0,0
0,2,0.10346733778715134,12,Sub,Celta Vigo,Elche,1,0,2023-04-26,19265,2022,591722,0,0,0,0,0.10346733778715134,0.5768653750419617,0.47339802980422974
0,0,0,46,MR,Celta Vigo,Mallorca,0,1,2023-04-17,19244,2022,589622,0,0,0,0,0,0,0
1,1,0.047697801142930984,11,Sub,Sevilla,Celta Vigo,2,2,2023-04-07,19238,2022,586247,0,0,0,1,0.047697801142930984,0.12260200083255768,0.07490420341491699
0,0,0,1,Sub,Sevilla,Celta Vigo,4,2,2020-11-21,14873,2020,428142,0,0,0,0,0,0,0
0,0,0,11,Sub,Elche,Celta Vigo,1,1,2020-11-06,14864,2020,425946,0,0,0,0,0,0,0
0,0,0,1,Sub,Celta Vigo,Atletico Madrid,0,2,2020-10-17,14828,2020,421163,0,0,0,0,0,0,0
0,0,0,9,Sub,Osasuna,Celta Vigo,2,0,2020-10-04,14820,2020,419892,0,0,0,0,0,0.0118671003729105,0.0118671003729105
