goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.0734470784664154,90,MC,Sevilla,Mallorca,2,1,2024-04-22,23003,2023,656005,0,0,0,0,0.0734470784664154,0.5903140306472778,0.5168669819831848
0,0,0,83,MC,Las Palmas,Sevilla,0,2,2024-04-14,22990,2023,653800,0.05547960475087166,0,3,0,0,0.23217859864234924,0.2174239605665207
0,0,0,83,MC,Getafe,Sevilla,0,1,2024-03-30,22979,2023,649454,0,0,0,0,0,0,0
0,1,0.02205868437886238,79,MC,Sevilla,Celta Vigo,1,2,2024-03-17,22971,2023,648715,0,0,0,0,0.02205868437886238,0.16489948332309723,0.14284078776836395
0,0,0,73,MC,Almeria,Sevilla,2,2,2024-03-11,22955,2023,647885,0.10877906531095505,0,1,0,0,0.08236180990934372,0.08236180990934372
0,0,0,90,MC,Sevilla,Real Sociedad,3,2,2024-03-02,22952,2023,644575,0.04540039598941803,1,2,0,0,0.5602102875709534,0.5295942425727844
0,0,0,79,MC,Real Madrid,Sevilla,1,0,2024-02-25,22939,2023,644159,0.10942801088094711,0,1,0,0,0.4902774393558502,0.4902774393558502
0,0,0,90,MC,Valencia,Sevilla,0,0,2024-02-17,22933,2023,642151,0.04578540474176407,0,1,0,0,0.04578540474176407,0.04578540474176407
0,1,0.30275148153305054,67,MC,Sevilla,Atletico Madrid,1,0,2024-02-11,22920,2023,641024,0.6242960691452026,0,1,0,0.30275148153305054,0.9663955569267273,0.03934800252318382
0,0,0,32,Sub,Rayo Vallecano,Sevilla,1,2,2024-02-05,22908,2023,639679,0.5868972539901733,0,2,0,0,0.6233128309249878,0.03641555830836296
0,0,0,22,Sub,Sevilla,Osasuna,1,1,2024-01-28,22902,2023,637573,0.013775061815977097,0,1,0,0,0.012859788723289967,0.012859788723289967
0,0,0,90,ML,Sevilla,Alaves,2,3,2024-01-12,22884,2023,634445,0,0,0,0,0,0.6472230553627014,0.6472230553627014
0,0,0,23,Sub,Sevilla,Athletic Club,0,2,2024-01-04,22868,2023,634081,0,0,0,0,0,0.04603685811161995,0.04603685811161995
0,1,0.035037435591220856,78,MC,Atletico Madrid,Sevilla,1,0,2023-12-23,22716,2023,632751,0.05151454731822014,0,1,0,0.035037435591220856,0.10323967039585114,0.01668769121170044
0,0,0,90,MC,Granada,Sevilla,0,3,2023-12-19,22861,2023,631592,0.20792415738105774,0,3,0,0,0.25433430075645447,0.1974906027317047
0,0,0,2,Sub,Mallorca,Sevilla,1,0,2023-12-09,22839,2023,629111,0,0,0,0,0,0,0
0,0,0,1,Sub,Sevilla,Villarreal,1,1,2023-12-03,22829,2023,627640,0,0,0,0,0,0,0
0,1,0.021759621798992157,42,Sub,Real Sociedad,Sevilla,2,1,2023-11-26,22818,2023,625729,0,0,0,0,0.021759621798992157,0.09606512635946274,0.07430550456047058
0,0,0,64,ML,Sevilla,Real Betis,1,1,2023-11-12,22809,2023,624270,0.03674624487757683,0,1,0,0,0.03674624487757683,0
0,0,0,73,FWL,Celta Vigo,Sevilla,1,1,2023-11-04,22796,2023,621820,0,0,0,0,0,0.3991216719150543,0.3991216719150543
0,1,0.07101117819547653,25,Sub,Cadiz,Sevilla,2,2,2023-10-28,22789,2023,620165,0,0,0,0,0.07101117819547653,0.10796540230512619,0.03695422410964966
0,0,0,51,AMC,Sevilla,Rayo Vallecano,2,2,2023-10-07,22773,2023,616771,0.016472626477479935,0,1,0,0,0.13271984457969666,0.11624722182750702
0,3,0.11734738200902939,87,AMC,Osasuna,Sevilla,0,0,2023-09-23,22740,2023,612232,0,0,0,0,0.11734738200902939,0.2641240954399109,0.1467767208814621
0,0,0,90,AMC,Sevilla,Las Palmas,1,0,2023-09-17,22733,2023,611403,0.4549039602279663,0,2,0,0,0.8608236312866211,0.4059197008609772
0,0,0,76,AMC,Sevilla,Girona,1,2,2023-08-26,22709,2023,607385,0.07949704676866531,0,1,0,0,0.5473790764808655,0.4678820073604584
