goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,63,AMR,Valencia,Rayo Vallecano,1,1,2026-05-14,29515,2025,790554,0,0,0,0,0,0,0
0,1,0.02677941508591175,58,FWL,Rayo Vallecano,Girona,1,1,2026-05-11,29507,2025,790144,0,0,0,0,0.02677941508591175,0.09811528772115707,0.07133587449789047
0,0,0,3,Sub,Rayo Vallecano,Real Sociedad,3,3,2026-04-26,29475,2025,785979,0,0,0,0,0,0.012411501258611679,0.012411501258611679
0,0,0,85,AML,Barcelona,Rayo Vallecano,1,0,2026-03-22,29441,2025,779104,0,0,0,0,0,0,0
0,1,0.02924206480383873,49,FWL,Rayo Vallecano,Levante,1,1,2026-03-16,29436,2025,777998,0,0,0,0,0.02924206480383873,0.4209849536418915,0.39174288511276245
0,2,0.039964694529771805,90,ML,Sevilla,Rayo Vallecano,1,1,2026-03-08,29427,2025,776092,0.029659543186426163,1,1,0,0.039964694529771805,0.12081444263458252,0.06994404643774033
0,2,0.11086062341928482,23,Sub,Rayo Vallecano,Real Oviedo,3,0,2026-03-04,29385,2025,774646,0,0,0,0,0.11086062341928482,0.11086062341928482,0
0,0,0,29,Sub,Rayo Vallecano,Athletic Club,1,1,2026-02-28,29413,2025,773044,0.038696613162755966,0,1,0,0,0.06883958727121353,0.030142972245812416
0,0,0,63,AML,Real Betis,Rayo Vallecano,1,1,2026-02-21,29402,2025,771741,0,0,0,0,0,0.0214911550283432,0.0214911550283432
1,2,0.5423426032066345,67,ML,Rayo Vallecano,Atletico Madrid,3,0,2026-02-15,29394,2025,770852,0,0,0,1,0.5423426032066345,0.5423426032066345,0
0,0,0,1,Sub,Rayo Vallecano,Osasuna,1,3,2026-01-24,29366,2025,765392,0,0,0,0,0,0,0
0,0,0,9,Sub,Celta Vigo,Rayo Vallecano,3,0,2026-01-18,29353,2025,764975,0.042496468871831894,0,1,0,0,0,0
0,0,0,3,Sub,Rayo Vallecano,Mallorca,2,1,2026-01-11,29347,2025,763077,0,0,0,0,0,0,0
0,0,0,21,Sub,Rayo Vallecano,Getafe,1,1,2026-01-02,29335,2025,760866,0,0,0,0,0,0,0
0,1,0.030308987945318222,58,Sub,Elche,Rayo Vallecano,4,0,2025-12-21,29320,2025,759762,0,0,0,0,0.030308987945318222,0.06344389915466309,0.033134907484054565
0,0,0,73,Sub,Rayo Vallecano,Real Betis,0,0,2025-12-15,29313,2025,758702,0.09483643621206284,0,2,0,0,0.09483643621206284,0
0,0,0,72,AML,Espanyol,Rayo Vallecano,1,0,2025-12-07,29301,2025,756991,0,0,0,0,0,0,0
0,3,0.7478861212730408,70,MR,Rayo Vallecano,Valencia,1,1,2025-12-01,29292,2025,754898,0,0,0,0,0.7478861212730408,0.8972178101539612,0.1493316888809204
0,0,0,2,Sub,Real Oviedo,Rayo Vallecano,0,0,2025-11-23,29283,2025,752575,0,0,0,0,0,0,0
0,0,0,15,Sub,Rayo Vallecano,Real Madrid,0,0,2025-11-09,29272,2025,751040,0,0,0,0,0,0,0
0,0,0,23,Sub,Villarreal,Rayo Vallecano,4,0,2025-11-01,29267,2025,748018,0,0,0,0,0,0.5883992910385132,0.5883992910385132
0,0,0,63,FWL,Rayo Vallecano,Alaves,1,0,2025-10-26,29252,2025,747191,0.6816028356552124,0,2,0,0,0.6731043457984924,0.05547601729631424
0,2,0.17426608502864838,78,AML,Levante,Rayo Vallecano,0,3,2025-10-19,29243,2025,745177,0.014845901168882847,0,1,0,0.17426608502864838,0.19500605762004852,0.0207399670034647
0,0,0,43,Sub,Real Sociedad,Rayo Vallecano,0,1,2025-10-05,29237,2025,743507,0.10422718524932861,0,1,0,0,0.5957862734794617,0.49155911803245544
0,0,0,22,Sub,Rayo Vallecano,Sevilla,0,1,2025-09-28,29223,2025,741200,0.03545992821455002,0,1,0,0,0.5761125683784485,0.5406526327133179
0,0,0,67,ML,Atletico Madrid,Rayo Vallecano,3,2,2025-09-24,29216,2025,740112,0.518643319606781,0,1,0,0,0.518643319606781,0
