goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.08017472922801971,67,DL,Mallorca,Villarreal,1,1,2026-05-10,29502,2025,789176,0.2076776623725891,0,3,0,0.08017472922801971,0.46866336464881897,0.33581745624542236
0,0,0,90,DL,Girona,Mallorca,0,1,2026-05-01,29497,2025,786768,0.5768942832946777,1,1,0,0,0.5961273312568665,0.019233031198382378
0,0,0,88,DL,Alaves,Mallorca,2,1,2026-04-25,29473,2025,785242,0,0,0,0,0,0,0
0,0,0,90,DL,Mallorca,Valencia,1,1,2026-04-21,29481,2025,784358,0.07117656618356705,0,1,0,0,0.2426651120185852,0.17148855328559875
0,1,0.2305220663547516,90,DL,Mallorca,Rayo Vallecano,3,0,2026-04-12,29466,2025,782367,0.12385715544223785,0,2,0,0.2305220663547516,0.7156473398208618,0.36126813292503357
0,1,0.04321061074733734,90,DL,Mallorca,Real Madrid,2,1,2026-04-04,29452,2025,780109,0.040795132517814636,0,1,0,0.04321061074733734,0.040795132517814636,0
0,0,0,85,DL,Mallorca,Espanyol,2,1,2026-03-15,29435,2025,777280,0.1185157522559166,0,3,0,0,0.20468273758888245,0.1884506344795227
0,0,0,90,DL,Osasuna,Mallorca,2,2,2026-03-07,29426,2025,775022,0,0,0,0,0,0.6668179035186768,0.6668179035186768
0,1,0.08309047669172287,90,DL,Mallorca,Real Sociedad,0,1,2026-02-28,29411,2025,773488,0.39501407742500305,0,2,0,0.08309047669172287,0.39501407742500305,0.38058415055274963
0,0,0,21,Sub,Celta Vigo,Mallorca,2,0,2026-02-22,29403,2025,772507,0,0,0,0,0,0,0
0,0,0,85,DL,Mallorca,Real Betis,1,2,2026-02-15,29396,2025,771100,0,0,0,0,0,0.07969634234905243,0.07969634234905243
0,0,0,90,DL,Barcelona,Mallorca,3,0,2026-02-07,29381,2025,768762,0,0,0,0,0,0.07554930448532104,0.07554930448532104
0,0,0,90,DL,Mallorca,Sevilla,4,1,2026-02-02,29369,2025,768185,0,0,0,0,0,0.2384987771511078,0.2384987771511078
0,1,0.038399726152420044,90,DL,Atletico Madrid,Mallorca,3,0,2026-01-25,29360,2025,766043,0,0,0,0,0.038399726152420044,0.11398246884346008,0.11398246884346008
0,0,0,1,Sub,Mallorca,Athletic Club,3,2,2026-01-17,29349,2025,764254,0,0,0,0,0,0.07756537199020386,0.07756537199020386
0,0,0,90,DL,Rayo Vallecano,Mallorca,2,1,2026-01-11,29347,2025,763083,0.06260377913713455,0,1,0,0,0.4924698770046234,0.42986607551574707
0,1,0.06382137537002563,90,DL,Mallorca,Girona,1,2,2026-01-04,29336,2025,761867,0,0,0,0,0.06382137537002563,0.10382936149835587,0.04000798985362053
0,0,0,90,DL,Valencia,Mallorca,1,1,2025-12-19,29327,2025,758801,0,0,0,0,0,0.025754841044545174,0.025754841044545174
0,1,0.012259677052497864,90,DL,Mallorca,Elche,3,1,2025-12-13,29314,2025,757678,0.27134138345718384,0,1,0,0.012259677052497864,0.42423856258392334,0.41197890043258667
0,1,0.012247125618159771,90,DL,Real Oviedo,Mallorca,0,0,2025-12-05,29306,2025,755557,0.06639105826616287,0,2,0,0.012247125618159771,0.1688835471868515,0.09024535119533539
0,0,0,90,DL,Mallorca,Osasuna,2,2,2025-11-29,29291,2025,753382,0.04770543798804283,0,1,0,0,0.09952571243047714,0.05182027444243431
0,1,0.05624103546142578,90,DL,Villarreal,Mallorca,2,1,2025-11-22,29287,2025,752411,0,0,0,0,0.05624103546142578,0.35591939091682434,0.35591939091682434
