goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.024778729304671288,90,AMR,Espanyol,Las Palmas,2,0,2025-05-24,27352,2024,729740,0.05784464254975319,0,3,0,0.024778729304671288,0.0546722486615181,0.017401913180947304
0,0,0,90,FW,Las Palmas,Leganes,0,1,2025-05-18,27350,2024,728789,0.030721552670001984,0,2,0,0,0.07735508680343628,0.05822458863258362
0,0,0,17,Sub,Sevilla,Las Palmas,1,0,2025-05-13,27340,2024,727252,0,0,0,0,0,0.030230991542339325,0.030230991542339325
0,0,0,9,Sub,Las Palmas,Rayo Vallecano,0,1,2025-05-09,27329,2024,725407,0,0,0,0,0,0,0
0,2,0.049083828926086426,28,Sub,Las Palmas,Valencia,2,3,2025-05-03,27313,2024,724335,0.037814028561115265,0,1,0,0.049083828926086426,0.2544768750667572,0.16757899522781372
0,2,0.07462508976459503,23,Sub,Athletic Club,Las Palmas,1,0,2025-04-23,27303,2024,721993,0,0,0,0,0.07462508976459503,0.10614354908466339,0.07401998341083527
0,1,0.01902420073747635,23,Sub,Getafe,Las Palmas,1,3,2025-04-12,27286,2024,718745,0.42853134870529175,1,2,0,0.01902420073747635,0.46146515011787415,0.01390960905700922
0,0,0,8,Sub,Las Palmas,Real Sociedad,1,3,2025-04-06,27274,2024,717370,0,0,0,0,0,0,0
0,0,0,7,Sub,Las Palmas,Alaves,2,2,2025-03-14,27260,2024,712627,0,0,0,0,0,0,0
0,0,0,23,Sub,Las Palmas,Barcelona,0,2,2025-02-22,27226,2024,708210,0,0,0,0,0,0.019226664677262306,0.019226664677262306
0,0,0,75,AMR,Mallorca,Las Palmas,3,1,2025-02-16,27217,2024,707096,0,0,0,0,0,0.07190898060798645,0.07190898060798645
1,1,0.10119681805372238,28,Sub,Las Palmas,Villarreal,1,2,2025-02-08,27203,2024,704917,0.09315773099660873,0,2,1,0.10119681805372238,0.20912635326385498,0.05026634782552719
0,0,0,86,AMR,Girona,Las Palmas,2,1,2025-02-03,27194,2024,704490,0.11999598890542984,0,3,0,0,0.10973022878170013,0
0,1,0.06819403916597366,56,AMC,Las Palmas,Osasuna,1,1,2025-01-24,27185,2024,701165,0.0341535247862339,0,1,0,0.06819403916597366,0.0341535247862339,0
0,1,0.05705473572015762,27,Sub,Real Madrid,Las Palmas,4,1,2025-01-19,27180,2024,700687,0.01231940183788538,0,1,0,0.05705473572015762,0.06937413662672043,0
0,2,0.13224588334560394,43,Sub,Las Palmas,Getafe,1,2,2025-01-12,27170,2024,698547,0.029391268268227577,0,1,0,0.13224588334560394,0.16163715720176697,0
0,1,0.025133296847343445,43,Sub,Las Palmas,Espanyol,1,0,2024-12-22,27152,2024,695948,0.1083085760474205,0,2,0,0.025133296847343445,0.13344186544418335,0.025133296847343445
0,0,0,4,Sub,Real Sociedad,Las Palmas,0,0,2024-12-15,27151,2024,694588,0,0,0,0,0,0,0
0,1,0.010917391628026962,61,AML,Las Palmas,Mallorca,2,3,2024-11-23,27115,2024,688644,0,0,0,0,0.010917391628026962,0.029831871390342712,0.029831871390342712
1,1,0.09361355006694794,21,Sub,Rayo Vallecano,Las Palmas,1,3,2024-11-08,27110,2024,686322,0.1327880620956421,0,1,1,0.09361355006694794,0.28600946068763733,0.0596078522503376
0,0,0,1,Sub,Atletico Madrid,Las Palmas,2,0,2024-11-03,27093,2024,685513,0,0,0,0,0,0,0
0,1,0.01959281601011753,62,AMR,Las Palmas,Girona,1,0,2024-10-26,27087,2024,683181,0.04341429844498634,0,2,0,0.01959281601011753,0.18362340331077576,0.12061629444360733
0,1,0.02919822186231613,28,Sub,Las Palmas,Celta Vigo,0,1,2024-10-05,27069,2024,679771,0.2040315568447113,0,5,0,0.02919822186231613,0.28263142704963684,0.2534331977367401
0,1,0.021379666402935982,26,Sub,Villarreal,Las Palmas,3,1,2024-09-30,27058,2024,678984,0,0,0,0,0.021379666402935982,0.021379666402935982,0
0,1,0.018983349204063416,49,ML,Alaves,Las Palmas,2,0,2024-09-01,27017,2024,672605,0,0,0,0,0.018983349204063416,0.047557853162288666,0.02857450395822525
0,0,0,9,Sub,Las Palmas,Real Madrid,1,1,2024-08-29,27011,2024,669619,0,0,0,0,0,0,0
0,0,0,1,Sub,Leganes,Las Palmas,2,1,2024-08-25,26999,2024,669131,0.03503565117716789,0,1,0,0,0.25559499859809875,0.25559499859809875
0,0,0,20,Sub,Las Palmas,Sevilla,2,2,2024-08-16,26985,2024,666217,0.02058340609073639,0,1,0,0,0.1297038495540619,0.1297038495540619
