h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.537517,0.290195,0.537517,0.290195,"{'att': 263, 'def': 18}","{'att': 97, 'def': 19}",1,4,1,1,1.5619,d,2024-08-15 17:00:00,0,1,0,1,0.24732200000000004
h,0.512723,0.161076,0.512723,0.161076,"{'att': 131, 'def': 23}","{'att': 95, 'def': 26}",5,2,0,0,1.6273,d,2024-08-24 19:30:00,0,1,0,1,0.35164700000000004
h,0.547095,0.0209183,0.547095,0.0209183,"{'att': 178, 'def': 22}","{'att': 134, 'def': 28}",5,0,0,0,1.8285,d,2024-09-01 17:15:00,0,1,0,1,0.5261766999999999
a,0.971555,1.64801,0.971555,1.64801,"{'att': 226, 'def': 28}","{'att': 116, 'def': 21}",1,3,0,1,0.8067,l,2024-09-14 16:30:00,0,0,1,0,-0.676455
a,0.864309,3.06176,0.864309,2.31848,"{'att': 280, 'def': 23}","{'att': 101, 'def': 21}",5,3,1,2,0.1639,l,2024-09-18 17:00:00,0,0,1,0,-1.454171
h,1.24276,0.783211,0.499486,0.783211,"{'att': 146, 'def': 27}","{'att': 183, 'def': 21}",7,0,1,1,1.7863000000000002,d,2024-09-22 12:00:00,0,1,0,1,-0.283725
a,0.929851,2.20799,0.929851,2.20799,"{'att': 351, 'def': 16}","{'att': 46, 'def': 12}",2,7,0,1,0.4812,l,2024-09-25 19:00:00,0,0,1,0,-1.2781390000000001
h,2.55847,0.415348,1.81519,0.415348,"{'att': 102, 'def': 20}","{'att': 72, 'def': 22}",2,2,2,0,2.7683,w,2024-09-28 12:00:00,1,0,0,3,1.399842
h,1.34832,0.247706,1.34832,0.247706,"{'att': 164, 'def': 20}","{'att': 74, 'def': 19}",1,2,1,1,2.3936,d,2024-10-05 14:15:00,0,1,0,1,1.100614
a,2.02638,1.14683,1.2831,1.14683,"{'att': 186, 'def': 37}","{'att': 118, 'def': 23}",3,9,1,1,2.0284,d,2024-10-20 16:30:00,0,1,0,1,0.1362699999999999
h,2.97825,0.63831,2.23497,0.63831,"{'att': 83, 'def': 22}","{'att': 194, 'def': 20}",6,2,1,1,2.8196,d,2024-10-27 15:15:00,0,1,0,1,1.59666
a,0.424746,2.12477,0.424746,2.12477,"{'att': 338, 'def': 23}","{'att': 220, 'def': 25}",4,8,0,1,0.2592,l,2024-11-04 20:00:00,0,0,1,0,-1.7000239999999998
h,0.220796,0.521025,0.220796,0.521025,"{'att': 287, 'def': 35}","{'att': 187, 'def': 22}",1,0,0,1,0.8209,l,2024-11-10 17:30:00,0,0,1,0,-0.30022899999999997
h,0.658487,0.729169,0.658487,0.729169,"{'att': 109, 'def': 17}","{'att': 148, 'def': 13}",6,2,2,0,1.2077,w,2024-11-22 20:00:00,1,0,0,3,-0.07068199999999991
a,0.34657,3.23626,0.34657,2.49298,"{'att': 407, 'def': 35}","{'att': 117, 'def': 15}",3,7,0,2,0.059,l,2024-12-01 15:15:00,0,0,1,0,-2.1464100000000004
h,0.530268,1.17303,0.530268,1.17303,"{'att': 264, 'def': 27}","{'att': 155, 'def': 27}",1,6,1,0,0.7162999999999999,w,2024-12-09 20:00:00,1,0,0,3,-0.6427620000000001
a,0.238672,1.85376,0.238672,1.85376,"{'att': 257, 'def': 31}","{'att': 186, 'def': 20}",2,6,0,1,0.22190000000000001,l,2024-12-15 13:00:00,0,0,1,0,-1.615088
h,0.735241,2.06274,0.735241,1.31946,"{'att': 144, 'def': 28}","{'att': 146, 'def': 19}",1,2,0,1,0.4105,l,2024-12-21 13:00:00,0,0,1,0,-0.584219
a,1.39575,1.62636,1.39575,0.883081,"{'att': 250, 'def': 25}","{'att': 114, 'def': 19}",7,5,2,1,1.1671,w,2025-01-12 13:00:00,1,0,0,3,0.512669
h,1.16921,3.50383,1.16921,3.50383,"{'att': 344, 'def': 22}","{'att': 53, 'def': 18}",5,21,1,1,0.2057,d,2025-01-18 20:00:00,0,1,0,1,-2.3346199999999997
a,2.01027,1.26074,2.01027,1.26074,"{'att': 159, 'def': 29}","{'att': 103, 'def': 15}",2,10,3,0,1.962,w,2025-01-26 15:15:00,1,0,0,3,0.7495299999999998
h,0.922731,0.871043,0.922731,0.871043,"{'att': 241, 'def': 25}","{'att': 152, 'def': 15}",3,4,0,0,1.3846,d,2025-02-01 13:00:00,0,1,0,1,0.051687999999999956
a,0.825065,1.25855,0.081787,1.25855,"{'att': 227, 'def': 14}","{'att': 70, 'def': 19}",0,9,1,0,0.8005,w,2025-02-09 13:00:00,1,0,0,3,-1.176763
a,0.95535,1.287,0.95535,1.287,"{'att': 312, 'def': 30}","{'att': 81, 'def': 21}",4,2,2,1,1.0686,w,2025-02-14 20:00:00,1,0,0,3,-0.3316499999999999
