goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,22,Sub,Getafe,Mallorca,3,1,2026-05-13,29511,2025,790485,0.030713247135281563,0,1,0,0,0.030713247135281563,0
0,1,0.024008002132177353,67,DL,Real Oviedo,Getafe,0,0,2026-05-10,29506,2025,789596,0,0,0,0,0.024008002132177353,0,0
0,0,0,51,DL,Getafe,Rayo Vallecano,0,2,2026-05-03,29496,2025,787840,0,0,0,0,0,0.0454375296831131,0.0454375296831131
0,0,0,78,DL,Getafe,Barcelona,0,2,2026-04-25,29469,2025,785598,0,0,0,0,0,0,0
0,0,0,18,Sub,Levante,Getafe,1,0,2026-04-13,29461,2025,782856,0,0,0,0,0,0.07071645557880402,0.07071645557880402
0,1,0.026800699532032013,90,DL,Getafe,Levante,1,1,2025-09-27,29222,2025,740378,0.013935571536421776,0,1,0,0.026800699532032013,0.04563531279563904,0.03169974312186241
0,0,0,10,Sub,Getafe,Alaves,1,1,2025-09-24,29212,2025,740038,0,0,0,0,0,0,0
0,1,0.07521737366914749,41,Sub,Barcelona,Getafe,3,0,2025-09-21,29199,2025,739805,0,0,0,0,0.07521737366914749,0.07521737366914749,0
0,0,0,32,Sub,Getafe,Real Oviedo,2,0,2025-09-13,29190,2025,736572,0,0,0,0,0,0,0
0,0,0,63,DL,Valencia,Getafe,3,0,2025-08-29,29180,2025,734781,0.015209047123789787,0,1,0,0,0.06323087960481644,0.06323087960481644
0,0,0,90,DL,Sevilla,Getafe,1,2,2025-08-25,29177,2025,734565,0,0,0,0,0,0,0
0,1,0.07016357034444809,90,DL,Celta Vigo,Getafe,0,2,2025-08-17,29163,2025,732354,0,0,0,0,0.07016357034444809,0.1668638437986374,0.0967002734541893
