id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
581336,23,MissedShots,0.785,0.769000015258789,0.02244633622467518,Hector Fort,a,12171,OpenPlay,2023,RightFoot,23035,Almeria,Barcelona,0,2,2024-05-16 19:30:00,Pedri,Pass
591486,65,MissedShots,0.725,0.385,0.018002783879637718,Hector Fort,a,12171,OpenPlay,2024,RightFoot,27028,Girona,Barcelona,1,4,2024-09-15 14:15:00,,BallRecovery
600731,64,BlockedShot,0.8730000305175781,0.56,0.06435176730155945,Hector Fort,h,12171,FromCorner,2024,RightFoot,27101,Barcelona,Espanyol,3,1,2024-11-03 15:15:00,Fermín López,Pass
620541,89,BlockedShot,0.8190000152587891,0.29399999618530276,0.04012884572148323,Hector Fort,h,12171,OpenPlay,2024,RightFoot,27232,Barcelona,Real Sociedad,4,0,2025-03-02 15:15:00,Eric Garcia,Pass
629647,40,BlockedShot,0.8959999847412109,0.7180000305175781,0.03740460425615311,Hector Fort,h,12171,OpenPlay,2024,LeftFoot,27305,Barcelona,Mallorca,1,0,2025-04-22 19:30:00,,Rebound
631692,24,BlockedShot,0.79,0.28200000762939453,0.011570132337510586,Hector Fort,a,12171,OpenPlay,2024,RightFoot,27316,Real Valladolid,Barcelona,1,2,2025-05-03 19:00:00,Pedri,Chipped
631705,68,ShotOnPost,0.914000015258789,0.36,0.09803540259599686,Hector Fort,a,12171,OpenPlay,2024,RightFoot,27316,Real Valladolid,Barcelona,1,2,2025-05-03 19:00:00,,Dispossessed
644284,13,BlockedShot,0.9059999847412109,0.7380000305175781,0.021456660702824593,Hector Fort,a,12171,OpenPlay,2025,LeftFoot,29214,Osasuna,Elche,1,1,2025-09-25 17:30:00,Álvaro Núñez,Cross
644288,37,BlockedShot,0.7680000305175781,0.6040000152587891,0.025175416842103004,Hector Fort,a,12171,OpenPlay,2025,RightFoot,29214,Osasuna,Elche,1,1,2025-09-25 17:30:00,Leo Petrot,Pass
644290,48,SavedShot,0.8830000305175781,0.624000015258789,0.09855953603982925,Hector Fort,a,12171,OpenPlay,2025,RightFoot,29214,Osasuna,Elche,1,1,2025-09-25 17:30:00,,TakeOn
644291,49,BlockedShot,0.88,0.6519999694824219,0.06159447133541107,Hector Fort,a,12171,OpenPlay,2025,RightFoot,29214,Osasuna,Elche,1,1,2025-09-25 17:30:00,Aleix Febas,Pass
644292,53,BlockedShot,0.7809999847412109,0.5870000076293945,0.027722755447030067,Hector Fort,a,12171,OpenPlay,2025,RightFoot,29214,Osasuna,Elche,1,1,2025-09-25 17:30:00,Aleix Febas,Pass
644299,67,SavedShot,0.765,0.6880000305175781,0.020310455933213234,Hector Fort,a,12171,OpenPlay,2025,RightFoot,29214,Osasuna,Elche,1,1,2025-09-25 17:30:00,Victor Chust,Pass
651723,72,BlockedShot,0.86,0.7090000152587891,0.039372481405735016,Hector Fort,a,12171,OpenPlay,2025,RightFoot,29260,Barcelona,Elche,3,1,2025-11-02 17:30:00,André Silva,BallTouch
651724,72,MissedShots,0.759000015258789,0.740999984741211,0.0195180531591177,Hector Fort,a,12171,FromCorner,2025,RightFoot,29260,Barcelona,Elche,3,1,2025-11-02 17:30:00,Rodrigo Mendoza,Pass
654770,37,SavedShot,0.799000015258789,0.34400001525878904,0.046782251447439194,Hector Fort,a,12171,OpenPlay,2025,RightFoot,29297,Getafe,Elche,1,0,2025-11-28 20:00:00,Alvaro Rodríguez,Pass
659849,5,Goal,0.87,0.3970000076293945,0.28645989298820496,Hector Fort,h,12171,OpenPlay,2025,RightFoot,29320,Elche,Rayo Vallecano,4,0,2025-12-21 17:30:00,Alvaro Rodríguez,TakeOn
682645,93,MissedShots,0.8480000305175781,0.585,0.03136255964636803,Hector Fort,a,12171,FromCorner,2025,RightFoot,29493,Celta Vigo,Elche,3,1,2026-05-03 12:00:00,Victor Chust,HeadPass
684857,40,Goal,0.860999984741211,0.28399999618530275,0.03502244874835014,Hector Fort,a,12171,OpenPlay,2025,RightFoot,29509,Real Betis,Elche,2,1,2026-05-12 18:00:00,German Valera,Pass
