goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,50,FW,Sevilla,Espanyol,2,1,2026-05-09,29505,2025,788871,0.029607845470309258,0,1,0,0,0.029607845470309258,0
0,2,0.040747638791799545,49,FW,Sevilla,Real Sociedad,1,0,2026-05-04,29490,2025,788406,0,0,0,0,0.040747638791799545,0.3937481939792633,0.35300055146217346
0,2,0.04981128126382828,88,FW,Osasuna,Sevilla,2,1,2026-04-26,29476,2025,786402,0,0,0,0,0.04981128126382828,0.03365359455347061,0.021917393431067467
0,0,0,79,AMC,Levante,Sevilla,2,0,2026-04-23,29480,2025,784870,0,0,0,0,0,0.3247329294681549,0.3247329294681549
0,3,0.31081053614616394,75,MR,Sevilla,Atletico Madrid,2,1,2026-04-11,29463,2025,781966,0.13816234469413757,0,3,0,0.31081053614616394,0.501262366771698,0.15400482714176178
0,0,0,12,Sub,Real Oviedo,Sevilla,1,0,2026-04-05,29453,2025,780866,0,0,0,0,0,0,0
0,4,0.14032386243343353,37,Sub,Sevilla,Valencia,0,2,2026-03-21,29444,2025,778934,0.0315106101334095,0,2,0,0.14032386243343353,0.22506532073020935,0.053230855613946915
0,0,0,19,Sub,Sevilla,Rayo Vallecano,1,1,2026-03-08,29427,2025,776082,0,0,0,0,0,0,0
1,1,0.0590815506875515,17,Sub,Real Betis,Sevilla,2,2,2026-03-01,29409,2025,774260,0.03738512471318245,0,1,1,0.0590815506875515,0.03738512471318245,0
0,0,0,16,Sub,Sevilla,Alaves,1,1,2026-02-14,29392,2025,770480,0,0,0,0,0,0,0
0,0,0,6,Sub,Mallorca,Sevilla,4,1,2026-02-02,29369,2025,768210,0,0,0,0,0,0.02537652663886547,0.02537652663886547
0,1,0.05759166181087494,84,FW,Sevilla,Athletic Club,2,1,2026-01-24,29358,2025,765848,0,0,0,0,0.05759166181087494,0.1111527532339096,0.05356109142303467
0,2,0.09600397944450378,64,FW,Elche,Sevilla,2,2,2026-01-19,29354,2025,765128,0.23491036891937256,0,3,0,0.09600397944450378,0.3625062108039856,0.03159186244010925
0,0,0,58,FW,Sevilla,Celta Vigo,0,1,2026-01-12,29344,2025,763323,0,0,0,0,0,0,0
0,3,1.1719167232513428,29,Sub,Sevilla,Levante,0,3,2026-01-04,29337,2025,761447,0,0,0,0,0.42863908410072327,0.05647820606827736,0
0,4,0.7470028400421143,73,FW,Real Madrid,Sevilla,2,0,2025-12-20,29322,2025,759446,0,0,0,0,0.7470028400421143,1.0864003896713257,0.33939746022224426
0,0,0,23,Sub,Sevilla,Real Betis,0,2,2025-11-30,29296,2025,754347,0,0,0,0,0,0.4257306158542633,0.4257306158542633
0,2,0.12574473023414612,81,FW,Atletico Madrid,Sevilla,3,0,2025-11-01,29259,2025,748453,0,0,0,0,0.12574473023414612,0.17757436633110046,0.05182963237166405
0,0,0,71,FW,Real Sociedad,Sevilla,2,1,2025-10-24,29250,2025,745544,0,0,0,0,0,0,0
0,1,0.04674660786986351,75,FW,Sevilla,Mallorca,1,3,2025-10-18,29247,2025,743860,0.12448613345623016,0,1,0,0.04674660786986351,0.32874795794487,0.15751521289348602
1,5,1.386460542678833,69,FW,Sevilla,Barcelona,4,1,2025-10-05,29233,2025,743242,0.080501489341259,0,1,1,1.386460542678833,1.4501632452011108,0.09255824983119965
0,1,0.06670058518648148,70,FW,Rayo Vallecano,Sevilla,0,1,2025-09-28,29223,2025,741212,0,0,0,0,0.06670058518648148,0.06670058518648148,0
0,0,0,88,FW,Alaves,Sevilla,1,2,2025-09-20,29208,2025,738891,0.3166728913784027,0,1,0,0,0.3166728913784027,0
1,2,0.13977055251598358,90,FW,Sevilla,Elche,2,2,2025-09-12,29189,2025,736471,0,0,0,1,0.13977055251598358,0.16455578804016113,0.02478523552417755
1,2,0.8743414282798767,88,FW,Girona,Sevilla,0,2,2025-08-30,29183,2025,735433,0.08899513632059097,0,1,1,0.8743414282798767,1.1302545070648193,0.16691789031028748
0,2,0.05469682440161705,17,Sub,Sevilla,Getafe,1,2,2025-08-25,29177,2025,734558,0,0,0,0,0.05469682440161705,0.02142465114593506,0
0,1,0.05947475507855415,1,Sub,Athletic Club,Sevilla,3,2,2025-08-17,29164,2025,732546,0,0,0,0,0.05947475507855415,0.05947475507855415,0
0,0,0,2,Sub,Sevilla,Real Madrid,0,2,2025-05-18,27348,2024,728730,0,0,0,0,0,0,0
0,2,0.023456517606973648,45,Sub,Celta Vigo,Sevilla,3,2,2025-05-10,27326,2024,725863,0.02785695157945156,0,1,0,0.023456517606973648,0.12233009934425354,0.07101663202047348
1,1,0.8889121413230896,31,Sub,Sevilla,Leganes,2,2,2025-05-04,27320,2024,724794,0,0,0,1,0.8889121413230896,0.929211437702179,0.04029933363199234
0,2,0.40446239709854126,62,FW,Sevilla,Alaves,1,1,2025-04-20,27299,2024,721414,0,0,0,0,0.40446239709854126,0.06390181928873062,0
0,2,0.3638829290866852,71,FW,Valencia,Sevilla,1,0,2025-04-11,27291,2024,718279,0.02395273931324482,0,1,0,0.3638829290866852,0.5977467894554138,0.20991113781929016
0,0,0,16,Sub,Sevilla,Atletico Madrid,1,2,2025-04-06,27277,2024,717681,0,0,0,0,0,0,0
0,3,0.3299359679222107,70,FW,Real Betis,Sevilla,2,1,2025-03-30,27271,2024,715809,0,0,0,0,0.3299359679222107,0.3299359679222107,0
0,1,0.0176406130194664,71,FW,Sevilla,Athletic Club,0,1,2025-03-16,27255,2024,713907,0,0,0,0,0.0176406130194664,0.0176406130194664,0
0,2,0.6909579634666443,70,FW,Real Sociedad,Sevilla,0,1,2025-03-09,27247,2024,712388,0,0,0,0,0.6909579634666443,0.7768921852111816,0.08593420684337616
0,0,0,79,FW,Rayo Vallecano,Sevilla,1,1,2025-03-01,27235,2024,709789,0.03937062993645668,0,2,0,0,0.013174562714993954,0
0,2,0.1586068570613861,90,FW,Sevilla,Mallorca,1,1,2025-02-24,27229,2024,708974,0.11287272721529007,0,2,0,0.1586068570613861,0.16991300880908966,0.02544783242046833
1,1,0.035460080951452255,77,FW,Real Valladolid,Sevilla,0,4,2025-02-16,27215,2024,706885,0,0,0,1,0.035460080951452255,0.07631197571754456,0.0408518947660923
0,0,0,90,FW,Sevilla,Barcelona,1,4,2025-02-09,27206,2024,705631,0.05250174179673195,0,1,0,0,0.5949447154998779,0.5424429774284363
0,2,0.1459527313709259,90,FW,Getafe,Sevilla,0,0,2025-02-01,27193,2024,702813,0.0360134094953537,0,1,0,0.1459527313709259,0.128371000289917,0
0,1,0.7432776093482971,85,FW,Girona,Sevilla,1,2,2025-01-18,27173,2024,699804,0.7019816040992737,0,2,0,0,0.7019816040992737,0
0,3,0.07480607181787491,90,FW,Sevilla,Valencia,1,1,2025-01-11,27165,2024,698450,0.015242123045027256,0,1,0,0.07480607181787491,0.058520134538412094,0
1,5,1.2045711278915405,76,AMC,Real Madrid,Sevilla,4,2,2024-12-22,27157,2024,695834,0,0,0,1,1.2045711278915405,1.2555209398269653,0.05094975605607033
1,1,0.25791099667549133,90,FW,Atletico Madrid,Sevilla,4,3,2024-12-08,27135,2024,693225,0,0,0,1,0.25791099667549133,0.5747522711753845,0.3168412446975708
0,0,0,90,FW,Sevilla,Osasuna,1,1,2024-12-02,27129,2024,691268,0.2897677719593048,0,1,0,0,0.31510651111602783,0.02533874474465847
0,2,0.6928762793540955,90,FW,Sevilla,Rayo Vallecano,1,0,2024-11-24,27119,2024,689165,0.4077781140804291,1,1,0,0.6928762793540955,0.7699793577194214,0.0329064205288887
0,2,0.07116924226284027,90,FW,Leganes,Sevilla,1,0,2024-11-09,27105,2024,687056,0.04007420316338539,0,1,0,0.07116924226284027,0.11124344915151596,0
0,3,0.12119953334331512,82,FW,Sevilla,Real Sociedad,0,2,2024-11-03,27100,2024,685893,0.023580726236104965,0,1,0,0.12119953334331512,0.1447802633047104,0
