id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
329450,81,SavedShot,0.7290000152587891,0.4,0.015714699402451515,Nemanja Gudelj,h,7888,OpenPlay,2019,RightFoot,12140,Sevilla,Atletico Madrid,1,1,2019-11-02 17:30:00,,BallRecovery
359246,69,BlockedShot,0.79,0.6769999694824219,0.0769295021891594,Nemanja Gudelj,h,7888,DirectFreekick,2019,RightFoot,12260,Sevilla,Espanyol,2,2,2020-02-16 11:00:00,,Standard
359252,83,MissedShots,0.720999984741211,0.5709999847412109,0.01774810068309307,Nemanja Gudelj,h,7888,FromCorner,2019,RightFoot,12260,Sevilla,Espanyol,2,2,2020-02-16 11:00:00,,CornerAwarded
359256,89,MissedShots,0.795,0.43900001525878907,0.04118429869413376,Nemanja Gudelj,h,7888,OpenPlay,2019,RightFoot,12260,Sevilla,Espanyol,2,2,2020-02-16 11:00:00,Suso,Pass
359257,95,BlockedShot,0.875999984741211,0.4759999847412109,0.08434399962425232,Nemanja Gudelj,h,7888,OpenPlay,2019,RightFoot,12260,Sevilla,Espanyol,2,2,2020-02-16 11:00:00,Luuk de Jong,HeadPass
361785,50,MissedShots,0.7659999847412109,0.590999984741211,0.024153700098395348,Nemanja Gudelj,a,7888,OpenPlay,2019,RightFoot,12284,Atletico Madrid,Sevilla,2,2,2020-03-07 15:00:00,Sergio Reguilón,Pass
372745,66,MissedShots,0.7380000305175781,0.639000015258789,0.01857909932732582,Nemanja Gudelj,h,7888,OpenPlay,2019,RightFoot,12402,Sevilla,Valencia,1,0,2020-07-19 19:00:00,,None
388941,92,MissedShots,0.7190000152587891,0.5609999847412109,0.02239380031824112,Nemanja Gudelj,a,7888,OpenPlay,2020,RightFoot,14879,SD Huesca,Sevilla,0,1,2020-11-28 17:30:00,Aleix Vidal,Pass
390191,74,MissedShots,0.7859999847412109,0.72,0.06199859827756882,Nemanja Gudelj,h,7888,DirectFreekick,2020,RightFoot,14889,Sevilla,Real Madrid,0,1,2020-12-05 15:15:00,,Standard
396481,79,SavedShot,0.735,0.46599998474121096,0.018092399463057518,Nemanja Gudelj,a,7888,OpenPlay,2020,RightFoot,14939,Real Betis,Sevilla,1,1,2021-01-02 15:15:00,Munir,Pass
399860,92,MissedShots,0.6659999847412109,0.5029999923706054,0.03209700062870979,Nemanja Gudelj,a,7888,DirectFreekick,2020,RightFoot,14960,Alaves,Sevilla,1,2,2021-01-19 20:30:00,,Standard
403478,15,MissedShots,0.789000015258789,0.28299999237060547,0.01962989941239357,Nemanja Gudelj,h,7888,OpenPlay,2020,RightFoot,14996,Sevilla,Getafe,3,0,2021-02-06 20:00:00,Suso,Pass
404314,69,MissedShots,0.77,0.705999984741211,0.022313499823212624,Nemanja Gudelj,h,7888,FromCorner,2020,RightFoot,15006,Sevilla,SD Huesca,1,0,2021-02-13 15:15:00,Joan Jordán,Pass
408599,60,MissedShots,0.8490000152587891,0.17,0.053078100085258484,Nemanja Gudelj,a,7888,DirectFreekick,2020,RightFoot,15037,Elche,Sevilla,2,1,2021-03-06 15:15:00,,Standard
421246,34,MissedShots,0.725999984741211,0.34900001525878904,0.01565060019493103,Nemanja Gudelj,h,7888,OpenPlay,2020,RightFoot,15135,Sevilla,Valencia,1,0,2021-05-12 17:00:00,Suso,Pass
424368,8,BlockedShot,0.765,0.515,0.028151800855994225,Nemanja Gudelj,h,7888,OpenPlay,2020,RightFoot,15155,Sevilla,Alaves,1,0,2021-05-23 19:00:00,Joan Jordán,Pass
426623,92,SavedShot,0.7630000305175781,0.6509999847412109,0.030550900846719742,Nemanja Gudelj,h,7888,OpenPlay,2021,RightFoot,17143,Sevilla,Rayo Vallecano,3,0,2021-08-15 20:15:00,Marcos Acuña,Pass
454762,94,MissedShots,0.769000015258789,0.8180000305175781,0.03638080134987831,Nemanja Gudelj,h,7888,DirectFreekick,2021,RightFoot,17353,Sevilla,Celta Vigo,2,2,2022-01-22 17:30:00,,Standard
460820,36,MissedShots,0.78,0.3189999961853027,0.02826409973204136,Nemanja Gudelj,a,7888,FromCorner,2021,RightFoot,17396,Alaves,Sevilla,0,0,2022-03-04 20:00:00,Thomas Delaney,Pass
464763,82,MissedShots,0.840999984741211,0.4929999923706055,0.05786069855093956,Nemanja Gudelj,h,7888,FromCorner,2021,RightFoot,17423,Sevilla,Real Sociedad,0,0,2022-03-20 17:30:00,Jules Koundé,HeadPass
486282,37,BlockedShot,0.8630000305175781,0.41,0.0807114988565445,Nemanja Gudelj,h,7888,OpenPlay,2022,RightFoot,18995,Sevilla,Barcelona,0,3,2022-09-03 19:00:00,Erik Lamela,Pass
489446,55,MissedShots,0.7280000305175781,0.629000015258789,0.0163612999022007,Nemanja Gudelj,a,7888,OpenPlay,2022,RightFoot,19019,Villarreal,Sevilla,1,1,2022-09-18 14:15:00,Joan Jordán,Pass
490356,56,MissedShots,0.6990000152587891,0.4329999923706055,0.015845000743865967,Nemanja Gudelj,h,7888,OpenPlay,2022,RightFoot,19026,Sevilla,Atletico Madrid,0,2,2022-10-01 16:30:00,Isco,Pass
491768,10,BlockedShot,0.769000015258789,0.5820000076293945,0.020786600187420845,Nemanja Gudelj,h,7888,FromCorner,2022,RightFoot,19040,Sevilla,Athletic Club,1,1,2022-10-08 16:30:00,,None
491795,95,MissedShots,0.8809999847412109,0.4829999923706055,0.016004500910639763,Nemanja Gudelj,h,7888,FromCorner,2022,Head,19040,Sevilla,Athletic Club,1,1,2022-10-08 16:30:00,Marcos Acuña,Aerial
493252,52,Goal,0.6869999694824219,0.54,0.014056400395929813,Nemanja Gudelj,a,7888,OpenPlay,2022,RightFoot,19044,Mallorca,Sevilla,0,1,2022-10-15 16:30:00,Isco,Pass
493253,64,MissedShots,0.9430000305175781,0.4929999923706055,0.13526999950408936,Nemanja Gudelj,a,7888,FromCorner,2022,Head,19044,Mallorca,Sevilla,0,1,2022-10-15 16:30:00,Alex Telles,Cross
494177,7,SavedShot,0.7819999694824219,0.40900001525878904,0.0276504997164011,Nemanja Gudelj,h,7888,OpenPlay,2022,RightFoot,19055,Sevilla,Valencia,1,1,2022-10-18 17:00:00,Isco,Pass
