h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.74203,1.72315,0.74203,1.72315,"{'att': 241, 'def': 12}","{'att': 134, 'def': 21}",2,2,1,2,0.5727,l,2025-08-16 19:30:00,0,0,1,0,-0.98112
h,2.68812,2.48128,1.94484,2.48128,"{'att': 297, 'def': 16}","{'att': 79, 'def': 18}",4,21,2,3,1.5374,l,2025-08-23 19:30:00,0,0,1,0,-0.53644
a,0.969663,1.44309,0.969663,1.44309,"{'att': 327, 'def': 18}","{'att': 140, 'def': 19}",4,7,0,2,0.9999,l,2025-08-29 17:30:00,0,0,1,0,-0.47342699999999993
h,1.02425,2.19546,1.02425,2.19546,"{'att': 311, 'def': 21}","{'att': 137, 'def': 20}",6,16,2,2,0.5964,d,2025-09-14 14:15:00,0,1,0,1,-1.17121
a,4.50183,0.423855,4.50183,0.423855,"{'att': 195, 'def': 22}","{'att': 350, 'def': 10}",10,4,4,0,2.9764,w,2025-09-20 12:00:00,1,0,0,3,4.077975
h,1.70121,4.06315,1.70121,3.31987,"{'att': 398, 'def': 28}","{'att': 291, 'def': 19}",5,15,1,4,0.22460000000000002,l,2025-09-23 19:30:00,0,0,1,0,-1.6186599999999998
a,1.27833,0.830967,1.27833,0.830967,"{'att': 149, 'def': 26}","{'att': 121, 'def': 23}",2,3,1,1,1.7206,d,2025-09-27 12:00:00,0,1,0,1,0.44736299999999996
a,1.62121,1.08551,1.62121,1.08551,"{'att': 328, 'def': 22}","{'att': 209, 'def': 12}",11,6,2,0,1.8391,w,2025-10-04 12:00:00,1,0,0,3,0.5357000000000001
h,0.940509,2.53118,0.940509,2.53118,"{'att': 239, 'def': 20}","{'att': 216, 'def': 24}",8,5,0,3,0.4099999999999999,l,2025-10-19 16:30:00,0,0,1,0,-1.590671
a,2.3579,1.86979,2.3579,1.86979,"{'att': 307, 'def': 27}","{'att': 162, 'def': 23}",8,8,1,1,1.7187,d,2025-10-26 13:00:00,0,1,0,1,0.4881099999999998
h,1.23651,1.92474,0.384266,1.92474,"{'att': 317, 'def': 16}","{'att': 204, 'def': 30}",3,20,1,2,0.8475,l,2025-11-02 13:00:00,0,0,1,0,-1.540474
a,1.29112,3.03599,1.29112,3.03599,"{'att': 319, 'def': 10}","{'att': 104, 'def': 19}",3,18,1,3,0.36229999999999996,l,2025-11-08 17:30:00,0,0,1,0,-1.74487
a,0.67426,1.65038,0.67426,1.65038,"{'att': 307, 'def': 28}","{'att': 214, 'def': 23}",5,7,0,1,0.5828,l,2025-11-21 20:00:00,0,0,1,0,-0.97612
h,1.20253,2.80864,1.20253,2.80864,"{'att': 150, 'def': 20}","{'att': 251, 'def': 35}",1,9,0,2,0.347,l,2025-11-29 17:30:00,0,0,1,0,-1.60611
a,0.544977,1.74988,0.544977,1.74988,"{'att': 174, 'def': 19}","{'att': 306, 'def': 31}",5,5,0,2,0.4633,l,2025-12-08 20:00:00,0,0,1,0,-1.204903
h,1.22005,1.62986,0.476768,1.62986,"{'att': 267, 'def': 26}","{'att': 172, 'def': 21}",3,6,1,1,1.0684,d,2025-12-20 15:15:00,0,1,0,1,-1.153092
a,1.65102,1.66562,1.65102,0.8268,"{'att': 281, 'def': 19}","{'att': 166, 'def': 21}",0,7,3,0,1.3397,w,2026-01-04 13:00:00,1,0,0,3,0.82422
h,1.18232,1.58922,1.18232,1.58922,"{'att': 251, 'def': 23}","{'att': 285, 'def': 31}",6,6,1,1,1.0452,d,2026-01-11 15:15:00,0,1,0,1,-0.40690000000000004
a,0.787501,2.54865,0.787501,1.80537,"{'att': 386, 'def': 15}","{'att': 166, 'def': 20}",8,13,0,2,0.3402,l,2026-01-17 13:00:00,0,0,1,0,-1.017869
h,3.24455,0.632971,3.24455,0.632971,"{'att': 310, 'def': 25}","{'att': 164, 'def': 23}",8,4,3,2,2.8226999999999998,w,2026-01-23 20:00:00,1,0,0,3,2.611579
h,0.41109,0.615283,0.41109,0.615283,"{'att': 260, 'def': 24}","{'att': 248, 'def': 24}",2,9,0,0,1.0558999999999998,d,2026-01-31 17:30:00,0,1,0,1,-0.204193
a,0.615311,2.77377,0.615311,2.77377,"{'att': 287, 'def': 18}","{'att': 265, 'def': 31}",3,10,2,4,0.1799,l,2026-02-08 15:15:00,0,0,1,0,-2.1584589999999997
h,1.45737,0.743814,1.45737,0.743814,"{'att': 316, 'def': 28}","{'att': 245, 'def': 17}",5,2,0,2,1.9777,l,2026-02-15 17:30:00,0,0,1,0,0.7135560000000001
h,0.774339,2.40024,0.774339,2.40024,"{'att': 185, 'def': 21}","{'att': 316, 'def': 32}",8,12,0,1,0.34729999999999994,l,2026-02-18 19:00:00,0,0,1,0,-1.6259010000000003
a,0.602552,4.24402,0.602552,4.24402,"{'att': 424, 'def': 18}","{'att': 160, 'def': 23}",3,15,0,3,0.0309,l,2026-02-22 15:15:00,0,0,1,0,-3.6414679999999997
h,2.77253,1.29855,2.77253,1.29855,"{'att': 237, 'def': 30}","{'att': 212, 'def': 24}",8,7,2,0,2.3496,w,2026-02-27 20:00:00,1,0,0,3,1.47398
h,0.819009,1.917,0.819009,1.917,"{'att': 273, 'def': 23}","{'att': 172, 'def': 19}",3,9,1,1,0.5667,d,2026-03-07 15:15:00,0,1,0,1,-1.097991
a,1.45599,1.68134,1.45599,1.68134,"{'att': 218, 'def': 17}","{'att': 178, 'def': 18}",12,6,1,1,1.1827999999999999,d,2026-03-16 20:00:00,0,1,0,1,-0.22535000000000016
h,2.92669,1.33569,2.92669,0.59241,"{'att': 274, 'def': 33}","{'att': 131, 'def': 25}",10,4,4,2,2.4722,w,2026-03-21 17:30:00,1,0,0,3,2.3342799999999997
a,0.320219,2.96404,0.320219,2.96404,"{'att': 280, 'def': 25}","{'att': 171, 'def': 19}",3,9,0,2,0.0451,l,2026-04-04 12:00:00,0,0,1,0,-2.643821
h,3.32797,0.290983,1.84141,0.290983,"{'att': 98, 'def': 20}","{'att': 211, 'def': 29}",5,3,1,0,2.9400000000000004,w,2026-04-13 19:00:00,1,0,0,3,1.550427
