goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.013869600370526314,90,DMC,Monaco,Metz,2,0,2015-05-16,5871,2014,8222,0.04718650132417679,0,1,0,0.013869600370526314,0.19447200000286102,0.13341599702835083
0,1,0.04631340131163597,23,Sub,Bordeaux,Metz,1,1,2015-04-25,5918,2014,7813,0.16565300524234772,0,1,0,0.04631340131163597,0.16565300524234772,0
0,1,0.020744800567626953,6,Sub,Metz,Evian Thonon Gaillard,1,2,2015-02-28,5996,2014,6062,0,0,0,0,0.020744800567626953,0.04687890037894249,0.026134200394153595
0,3,0.13453200459480286,90,DMC,Metz,Guingamp,0,2,2015-02-15,5980,2014,3144,0,0,0,0,0.13453200459480286,0.09082180261611938,0.07904750108718872
0,1,0.08399699628353119,89,MC,SC Bastia,Metz,2,0,2015-02-07,5966,2014,3240,0.05879040062427521,0,2,0,0.08399699628353119,0.04474560171365738,0.018398800864815712
0,2,0.28786700963974,90,DMC,Metz,Nice,0,0,2015-01-31,6034,2014,3009,0,0,0,0,0.28786700963974,0.040132101625204086,0.025962399318814278
0,2,0.03773289918899536,90,DMC,Lyon,Metz,2,0,2015-01-25,6025,2014,6620,0,0,0,0,0.03773289918899536,0.03773289918899536,0
0,0,0,90,DMC,Metz,Montpellier,2,3,2015-01-17,6014,2014,5420,0,0,0,0,0,0,0
0,1,0.17782700061798096,90,DMC,Nantes,Metz,0,0,2015-01-11,6007,2014,4114,0.23765799403190613,0,2,0,0.17782700061798096,0.3751929998397827,0.17782700061798096
0,6,0.36962199211120605,90,DMC,Metz,Monaco,0,1,2014-12-20,6068,2014,6357,0.0321195013821125,0,1,0,0.36962199211120605,0.25881901383399963,0.16005200147628784
0,2,0.08468720316886902,90,MC,Lorient,Metz,3,1,2014-12-13,6061,2014,4583,0.06804659962654114,0,1,0,0.08468720316886902,0.016901399940252304,0.016901399940252304
0,2,0.08033029735088348,90,MC,Marseille,Metz,3,1,2014-12-07,6055,2014,6976,0.022566499188542366,0,1,0,0.08033029735088348,0.05895350128412247,0.03638689965009689
0,1,0.07299850136041641,90,DMC,Metz,Bordeaux,0,0,2014-12-03,6041,2014,5861,0,0,0,0,0.07299850136041641,0,0
0,0,0,90,MC,Lens,Metz,2,0,2014-11-29,6109,2014,3980,0.023124299943447113,0,1,0,0,0.6906419992446899,0.6675180196762085
0,3,0.21984200179576874,90,DMC,Metz,Paris Saint Germain,2,3,2014-11-21,6095,2014,7156,0.02949569933116436,0,2,0,0.21984200179576874,0.32982099056243896,0.0804838016629219
0,1,0.010401500388979912,90,MC,Toulouse,Metz,3,0,2014-11-08,6087,2014,6456,0.05290760099887848,0,1,0,0.010401500388979912,0.06330910325050354,0.05290760099887848
0,2,0.17391300201416016,90,MC,Metz,Caen,3,2,2014-11-01,6077,2014,4487,0,0,0,0,0.17391300201416016,0.17391300201416016,0
0,1,0.01751670055091381,90,DMC,Saint-Etienne,Metz,1,0,2014-10-26,6141,2014,3350,0,0,0,0,0.01751670055091381,0.01751670055091381,0
0,1,0.01497500017285347,71,DMC,Evian Thonon Gaillard,Metz,3,0,2014-10-04,6119,2014,1437,0.03443460166454315,0,1,0,0.01497500017285347,0.04940960183739662,0
0,1,0.0409093014895916,90,MC,Metz,Reims,3,0,2014-09-27,6178,2014,2705,0.09565330296754837,0,1,0,0.0409093014895916,0.5535730123519897,0.45792001485824585
0,0,0,90,DMC,Guingamp,Metz,0,1,2014-09-24,6168,2014,1964,0,0,0,0,0,0.11468999832868576,0.11468999832868576
0,0,0,90,MC,Metz,SC Bastia,3,1,2014-09-20,6158,2014,1509,0.035374000668525696,0,2,0,0,0.12402500212192535,0.08865129947662354
0,2,0.05152459815144539,90,MC,Nice,Metz,1,0,2014-09-13,6150,2014,1105,0,0,0,0,0.05152459815144539,0.10619000345468521,0.09488800168037415
0,0,0,90,MC,Metz,Lyon,2,1,2014-08-31,6223,2014,1119,0.026750799268484116,0,1,0,0,0.026750799268484116,0
0,0,0,90,DMC,Montpellier,Metz,2,0,2014-08-23,6210,2014,714,0.11309400200843811,0,1,0,0,0.11309400200843811,0
0,1,0.014562900178134441,90,MC,Metz,Nantes,1,1,2014-08-16,6201,2014,426,0.08881700038909912,0,2,0,0.014562900178134441,0.17636899650096893,0.07298929989337921
0,0,0,90,MC,Lille,Metz,0,0,2014-08-09,6189,2014,132,0,0,0,0,0,0,0
