id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
3987,10,SavedShot,0.7659999847412109,0.18799999237060547,0.013483299873769283,Jonathan Rivierez,a,4744,OpenPlay,2014,RightFoot,5988,Reims,Metz,0,0,2015-02-22 16:00:00,Cheick Doukoure,Pass
103681,35,BlockedShot,0.7709999847412109,0.24799999237060547,0.01743590086698532,Jonathan Rivierez,a,4744,OpenPlay,2016,LeftFoot,2286,Nantes,Metz,0,3,2016-09-11 17:00:00,Mevlüt Erdinc,Pass
162362,59,MissedShots,0.720999984741211,0.35900001525878905,0.01319899968802929,Jonathan Rivierez,h,4744,FromCorner,2017,RightFoot,8588,Metz,Monaco,0,1,2017-08-18 19:45:00,,None
164133,41,SavedShot,0.745,0.5179999923706055,0.022285599261522293,Jonathan Rivierez,h,4744,SetPiece,2017,LeftFoot,8657,Metz,Dijon,1,2,2017-10-21 19:00:00,,TakeOn
164142,73,MissedShots,0.695,0.7290000152587891,0.01159259956330061,Jonathan Rivierez,h,4744,OpenPlay,2017,RightFoot,8657,Metz,Dijon,1,2,2017-10-21 19:00:00,Ibrahima Niane,Pass
164563,21,SavedShot,0.8580000305175781,0.445,0.038042400032281876,Jonathan Rivierez,a,4744,SetPiece,2017,Head,8670,Lyon,Metz,2,0,2017-10-29 14:00:00,Renaud Cohade,Chipped
164905,22,MissedShots,0.7559999847412109,0.675,0.01682090014219284,Jonathan Rivierez,h,4744,OpenPlay,2017,RightFoot,8683,Metz,Lille,0,3,2017-11-05 16:00:00,Cafú,Pass
183685,27,BlockedShot,0.8630000305175781,0.23100000381469726,0.02861499972641468,Jonathan Rivierez,h,4744,OpenPlay,2017,RightFoot,8753,Metz,Strasbourg,3,0,2017-12-20 19:50:00,,TakeOn
188291,8,MissedShots,0.735999984741211,0.23899999618530274,0.010192999616265297,Jonathan Rivierez,h,4744,OpenPlay,2017,RightFoot,8771,Metz,Saint-Etienne,3,0,2018-01-17 18:00:00,Renaud Cohade,TakeOn
189385,45,SavedShot,0.720999984741211,0.25799999237060545,0.0095846401527524,Jonathan Rivierez,a,4744,OpenPlay,2017,LeftFoot,8778,Monaco,Metz,3,1,2018-01-21 16:00:00,Gerónimo Poblete,TakeOn
