goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,10,DR,Lorient,Bordeaux,0,0,2015-05-02,5847,2014,8522,0.11196000128984451,0,1,0,0,0,0
0,0,0,90,DR,Monaco,Bordeaux,0,0,2015-01-11,6008,2014,3788,0,0,0,0,0,0.15919800102710724,0.15919800102710724
0,0,0,90,DR,Metz,Bordeaux,0,0,2014-12-03,6041,2014,5871,0.07098550349473953,0,1,0,0,0.10622599720954895,0.0352402999997139
0,0,0,90,DMR,Lens,Bordeaux,1,2,2014-11-08,6086,2014,5763,0.04369970038533211,0,1,0,0,0.08975859731435776,0.04605890065431595
0,0,0,90,DR,Paris Saint Germain,Bordeaux,3,0,2014-10-25,6135,2014,2796,0,0,0,0,0,0.09226910024881363,0.09226910024881363
0,3,0.16011400520801544,90,DC,Bordeaux,Caen,1,1,2014-10-19,6132,2014,1862,0,0,0,0,0.16011400520801544,0.1371929943561554,0.1371929943561554
0,0,0,90,DL,Reims,Bordeaux,1,0,2014-10-03,6114,2014,1658,0.04906750097870827,0,1,0,0,0.04906750097870827,0
0,1,0.09025990217924118,10,Sub,Bordeaux,Rennes,2,1,2014-09-28,6181,2014,2346,0,0,0,0,0.09025990217924118,0.11988300085067749,0.029622800648212433
0,0,0,90,DR,Saint-Etienne,Bordeaux,1,1,2014-09-25,6174,2014,2294,0,0,0,0,0,0,0
0,0,0,61,Sub,Bordeaux,Evian Thonon Gaillard,2,1,2014-09-19,6155,2014,1317,0,0,0,0,0,0.0717289000749588,0.0717289000749588
0,2,0.07251620292663574,79,MR,Bordeaux,SC Bastia,1,1,2014-08-31,6222,2014,839,0.018164200708270073,0,1,0,0.07251620292663574,0.14937099814414978,0.05869029834866524
0,0,0,90,DR,Bordeaux,Monaco,4,1,2014-08-17,6204,2014,280,0,0,0,0,0,0.9101799726486206,0.9101799726486206
0,0,0,90,DR,Montpellier,Bordeaux,0,1,2014-08-09,6190,2014,210,0,0,0,0,0,0,0
