goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Werder Bremen,Wolfsburg,0,1,2020-06-07,12668,2019,399361,0,0,0,0,0,0,0
0,0,0,90,DC,Wolfsburg,Hertha Berlin,1,2,2020-01-25,12569,2019,390057,0.013974499888718128,1,1,0,0,0.49732300639152527,0.4833489954471588
0,1,0.09660729765892029,90,DC,FC Cologne,Wolfsburg,3,1,2020-01-18,12563,2019,389294,0,0,0,0,0.09660729765892029,0.258091002702713,0.258091002702713
0,0,0,90,DC,Bayern Munich,Wolfsburg,2,0,2019-12-21,12547,2019,371385,0,0,0,0,0,0.050318799912929535,0.050318799912929535
0,3,0.182437002658844,90,DC,Wolfsburg,Schalke 04,1,1,2019-12-18,12541,2019,370986,0,0,0,0,0.182437002658844,0.10791300237178802,0.10791300237178802
0,0,0,90,DC,Freiburg,Wolfsburg,1,0,2019-12-07,12526,2019,368288,0.07195240259170532,0,1,0,0,0.5034109950065613,0.5034109950065613
0,0,0,45,DC,Eintracht Frankfurt,Wolfsburg,0,2,2019-11-23,12508,2019,364559,0,0,0,0,0,0.033352699130773544,0.033352699130773544
0,0,0,90,DC,Wolfsburg,Bayer Leverkusen,0,2,2019-11-10,12501,2019,363906,0,0,0,0,0,0,0
0,1,0.0116651002317667,84,DC,Borussia Dortmund,Wolfsburg,3,0,2019-11-02,12484,2019,361372,0,0,0,0,0.0116651002317667,0.08333929628133774,0.07167419791221619
0,1,0.05348140001296997,90,DC,Wolfsburg,Augsburg,0,0,2019-10-27,12480,2019,360168,0.027350399643182755,0,1,0,0.05348140001296997,0,0
0,0,0,90,DC,RasenBallsport Leipzig,Wolfsburg,1,1,2019-10-19,12470,2019,357655,0,0,0,0,0,0.7379739880561829,0.7379739880561829
0,1,0.10539499670267105,90,DC,Wolfsburg,Union Berlin,1,0,2019-10-06,12463,2019,357056,0,0,0,0,0.10539499670267105,0.4820370078086853,0.4820370078086853
1,1,0.40239399671554565,90,DC,Mainz 05,Wolfsburg,0,1,2019-09-28,12450,2019,354457,0,0,0,1,0.40239399671554565,0.5327320098876953,0.5327320098876953
0,0,0,90,DC,Wolfsburg,Hoffenheim,1,1,2019-09-23,12447,2019,353331,0.215489000082016,0,1,0,0,0.3946079909801483,0.17911900579929352
0,0,0,90,DC,Fortuna Duesseldorf,Wolfsburg,1,1,2019-09-13,12430,2019,348636,0,0,0,0,0,0,0
0,0,0,90,DC,Wolfsburg,Augsburg,8,1,2019-05-18,10641,2018,333313,0,0,0,0,0,0.20561599731445312,0.20561599731445312
0,1,0.04367870092391968,90,DC,VfB Stuttgart,Wolfsburg,3,0,2019-05-11,10629,2018,331800,0,0,0,0,0.04367870092391968,0.05094299837946892,0.05094299837946892
1,2,0.4017150104045868,90,DC,Wolfsburg,Nuernberg,2,0,2019-05-04,10624,2018,330094,0,0,0,1,0.4017150104045868,0.18314699828624725,0.18314699828624725
0,0,0,90,DC,Hoffenheim,Wolfsburg,1,4,2019-04-28,10608,2018,329090,0,0,0,0,0,0.5036600232124329,0.5036600232124329
0,2,0.1579750031232834,85,DR,Wolfsburg,Eintracht Frankfurt,1,1,2019-04-22,10605,2018,327198,0,0,0,0,0.1579750031232834,0.05187369883060455,0.05187369883060455
0,0,0,90,DR,RasenBallsport Leipzig,Wolfsburg,2,0,2019-04-13,10591,2018,324106,0.058405499905347824,0,1,0,0,0.058405499905347824,0.058405499905347824
0,1,0.5780249834060669,90,DC,Hannover 96,Wolfsburg,2,1,2018-11-09,10432,2018,283420,0,0,0,0,0.5780249834060669,0.4657280147075653,0.4657280147075653
0,1,0.031042400747537613,90,DC,Wolfsburg,Borussia Dortmund,0,1,2018-11-03,10421,2018,283211,0,0,0,0,0.031042400747537613,0,0
