goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,79,DL,Angers,Nantes,0,0,2015-08-15,1883,2015,67871,0,0,0,0,0,0,0
0,0,0,90,DL,Nantes,Guingamp,1,0,2015-08-08,1873,2015,67774,0.072878398001194,0,2,0,0,0.1667180061340332,0.13643400371074677
0,0,0,90,DL,Lens,Nantes,1,0,2015-05-23,5877,2014,8609,0.07388339936733246,0,2,0,0,0.24995599687099457,0.1991180032491684
0,0,0,90,DL,Nantes,Lorient,1,1,2015-05-16,5873,2014,8317,0,0,0,0,0,0.03368400037288666,0.03368400037288666
0,0,0,90,DL,Nantes,Caen,1,2,2015-04-05,5893,2014,10428,0.10728300362825394,0,2,0,0,0.12287499755620956,0.025780700147151947
0,0,0,40,DL,Reims,Nantes,3,1,2015-03-07,5932,2014,9326,0,0,0,0,0,0,0
0,0,0,90,DL,Nantes,Guingamp,1,0,2015-03-01,5926,2014,9340,0.022046400234103203,0,1,0,0,0.1495559960603714,0.12750999629497528
0,0,0,90,DL,Lyon,Nantes,1,0,2015-02-22,5989,2014,4388,0,0,0,0,0,0.1432570070028305,0.1432570070028305
0,0,0,90,DL,Nantes,Lille,1,1,2015-01-31,6035,2014,3060,0.03981409966945648,0,1,0,0,0.11338300257921219,0.07356859743595123
0,0,0,73,DL,Montpellier,Nantes,4,0,2015-01-24,6022,2014,6729,0,0,0,0,0,0.17246699333190918,0.17246699333190918
0,0,0,90,DL,Monaco,Nantes,1,0,2015-01-17,6015,2014,5571,0.07993979752063751,0,2,0,0,0.11497499793767929,0.0932822972536087
0,0,0,90,DL,Paris Saint Germain,Nantes,2,1,2014-12-06,6047,2014,3293,0,0,0,0,0,0,0
0,0,0,90,DL,Nantes,Toulouse,1,2,2014-12-02,6037,2014,6272,0,0,0,0,0,0.00926109030842781,0.00926109030842781
0,0,0,90,DL,Marseille,Nantes,2,0,2014-11-28,6104,2014,4140,0,0,0,0,0,0.48124098777770996,0.48124098777770996
0,1,0.012065400369465351,90,DL,Nantes,Saint-Etienne,0,0,2014-11-23,6101,2014,7292,0,0,0,0,0.012065400369465351,0.012065400369465351,0
0,0,0,90,DL,Caen,Nantes,1,2,2014-11-08,6089,2014,5488,0,0,0,0,0,0.2572390139102936,0.2572390139102936
0,0,0,90,DL,Nantes,Rennes,1,1,2014-11-02,6082,2014,4979,0,0,0,0,0,0.015576500445604324,0.015576500445604324
0,0,0,90,DL,Evian Thonon Gaillard,Nantes,0,2,2014-10-25,6139,2014,2687,0,0,0,0,0,0,0
0,0,0,90,DL,Nantes,Reims,1,1,2014-10-18,6129,2014,2311,0,0,0,0,0,0.020564500242471695,0.020564500242471695
0,0,0,46,DL,Guingamp,Nantes,0,1,2014-10-05,6121,2014,1491,0.19505900144577026,0,2,0,0,0.32458698749542236,0.12952899932861328
0,0,0,90,DL,Nantes,Nice,2,1,2014-09-20,6159,2014,1616,0.13448399305343628,0,1,0,0,0.14905400574207306,0.014569899998605251
0,1,0.041149698197841644,90,DL,Lille,Nantes,2,0,2014-09-14,6152,2014,934,0.009072620421648026,0,1,0,0.041149698197841644,0.12445499747991562,0.08330529928207397
0,1,0.012866400182247162,90,DL,Nantes,Montpellier,1,0,2014-08-30,6217,2014,1226,0,0,0,0,0.012866400182247162,0.0999286025762558,0.0999286025762558
0,0,0,90,DL,Nantes,Monaco,0,1,2014-08-24,6214,2014,727,0.03462830185890198,0,1,0,0,0.6454790234565735,0.6454790234565735
0,0,0,90,DL,Metz,Nantes,1,1,2014-08-16,6201,2014,436,0.11602199822664261,0,1,0,0,0.18555299937725067,0.06953070312738419
0,0,0,90,DL,Nantes,Lens,1,0,2014-08-09,6191,2014,227,0.06461480259895325,0,2,0,0,0.08312690258026123,0.03439079970121384
