goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Cremonese,Fiorentina,0,2,2023-03-12,18833,2022,581914,0,0,0,0,0,0.13533300161361694,0.13533300161361694
0,0,0,90,GK,Napoli,Genoa,3,0,2022-05-15,17122,2021,536152,0,0,0,0,0,0.022701499983668327,0.022701499983668327
0,0,0,90,GK,Genoa,Juventus,2,1,2022-05-06,17107,2021,531901,0,0,0,0,0,0.5025370121002197,0.5025370121002197
0,0,0,90,GK,Sampdoria,Genoa,1,0,2022-04-30,17103,2021,530659,0,0,0,0,0,0,0
0,0,0,90,GK,Genoa,Cagliari,1,0,2022-04-24,17088,2021,529621,0,0,0,0,0,0,0
0,0,0,90,GK,AC Milan,Genoa,2,0,2022-04-15,17081,2021,525956,0,0,0,0,0,0,0
0,0,0,90,GK,Genoa,Lazio,1,4,2022-04-10,17069,2021,524998,0,0,0,0,0,0,0
0,0,0,90,GK,Verona,Genoa,1,0,2022-04-04,17058,2021,523897,0,0,0,0,0,0,0
0,0,0,90,GK,Genoa,Torino,1,0,2022-03-18,17049,2021,520867,0,0,0,0,0,0,0
0,0,0,90,GK,Atalanta,Genoa,0,0,2022-03-13,17036,2021,520375,0,0,0,0,0,0,0
0,0,0,90,GK,Genoa,Empoli,0,0,2022-03-06,17029,2021,517993,0,0,0,0,0,0.36563700437545776,0.36563700437545776
0,0,0,90,GK,Genoa,Inter,0,0,2022-02-25,17018,2021,515628,0,0,0,0,0,0,0
0,0,0,90,GK,Venezia,Genoa,1,1,2022-02-20,17015,2021,514723,0,0,0,0,0,0.7356899976730347,0.7356899976730347
0,0,0,90,GK,Genoa,Salernitana,1,1,2022-02-13,16998,2021,513093,0,0,0,0,0,0,0
0,0,0,90,GK,Roma,Genoa,0,0,2022-02-05,16991,2021,510976,0,0,0,0,0,0,0
0,0,0,90,GK,Genoa,Udinese,0,0,2022-01-22,16978,2021,509517,0,0,0,0,0,0,0
