goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,67,DR,FC Krasnodar,Nizhny Novgorod,0,0,2021-12-12,16273,2021,502518,0,0,0,0,0,0.044523000717163086,0.044523000717163086
0,0,0,1,Sub,PFC Sochi,FC Krasnodar,1,2,2021-12-05,16269,2021,500828,0,0,0,0,0,0,0
0,0,0,17,Sub,Khimki,FC Krasnodar,3,3,2021-11-27,16263,2021,497516,0,0,0,0,0,0.020908400416374207,0.020908400416374207
0,0,0,21,Sub,FC Krasnodar,Spartak Moscow,2,1,2021-11-20,16250,2021,495885,0,0,0,0,0,0,0
0,1,0.024418799206614494,84,DR,Dinamo Moscow,FC Krasnodar,1,0,2021-11-06,16243,2021,493765,0,0,0,0,0.024418799206614494,0.12481299787759781,0.10039400309324265
0,0,0,65,DC,FC Krasnodar,FC Ufa,1,1,2021-10-17,16217,2021,489090,0,0,0,0,0,0.2068440020084381,0.2068440020084381
0,0,0,39,DC,FC Krasnodar,PFC Sochi,3,0,2021-09-26,16203,2021,485675,0,0,0,0,0,0.2293660044670105,0.2293660044670105
0,0,0,67,DC,FK Akhmat,FC Krasnodar,0,2,2021-09-18,16194,2021,482281,0,0,0,0,0,0.06445790082216263,0.06445790082216263
0,0,0,90,DC,FC Rostov,FC Krasnodar,1,1,2021-09-13,16186,2021,481497,0,0,0,0,0,0,0
1,3,0.5268790125846863,90,DC,Zenit St. Petersburg,FC Krasnodar,3,2,2021-08-07,16153,2021,474675,0,0,0,1,0.5268790125846863,0.6100670099258423,0.580640971660614
0,0,0,90,DC,FC Krasnodar,CSKA Moscow,1,1,2019-12-07,11174,2019,368137,0,0,0,0,0,0,0
0,0,0,90,DC,FC Krasnodar,FC Tambov,0,0,2019-12-02,11159,2019,367251,0.016246400773525238,0,1,0,0,0.11997800320386887,0.10373099893331528
0,0,0,90,DC,Lokomotiv Moscow,FC Krasnodar,1,1,2019-11-10,11148,2019,363978,0,0,0,0,0,0.6950129866600037,0.6950129866600037
1,1,0.3138059973716736,90,DC,FC Krasnodar,FC Rostov,2,2,2019-11-03,11140,2019,362084,0,0,0,1,0.3138059973716736,0.9333069920539856,0.6195020079612732
0,1,0.10039100050926208,90,DC,Dinamo Moscow,FC Krasnodar,1,1,2019-10-20,11123,2019,358741,0,0,0,0,0.10039100050926208,0.31253400444984436,0.21214400231838226
0,0,0,90,DC,FC Krasnodar,Spartak Moscow,2,1,2019-10-06,11116,2019,357224,0,0,0,0,0,0.2333739995956421,0.2333739995956421
0,0,0,90,DC,FC Krasnodar,Krylya Sovetov Samara,4,2,2019-09-15,11093,2019,349876,0,0,0,0,0,0.16913700103759766,0.16913700103759766
0,0,0,90,DC,Ural,FC Krasnodar,2,4,2019-09-01,11084,2019,347972,0,0,0,0,0,0.025631500408053398,0.025631500408053398
0,0,0,90,DC,FC Krasnodar,Lokomotiv Moscow,1,1,2019-08-24,11073,2019,344151,0,0,0,0,0,0.032868798822164536,0.032868798822164536
0,0,0,90,DC,FC Tambov,FC Krasnodar,0,2,2019-08-17,11065,2019,340003,0,0,0,0,0,0.030963800847530365,0.030963800847530365
0,0,0,90,DC,FC Krasnodar,Rubin Kazan,1,0,2019-08-10,11056,2019,339326,0,0,0,0,0,0.16256900131702423,0.16256900131702423
0,0,0,90,DC,Zenit St. Petersburg,FC Krasnodar,1,1,2019-08-03,11050,2019,338928,0,0,0,0,0,0.12349099665880203,0.12349099665880203
0,0,0,90,DC,FC Krasnodar,PFC Sochi,3,0,2019-07-27,11042,2019,338697,0,0,0,0,0,0.09067700058221817,0.09067700058221817
0,0,0,90,DC,FC Ufa,FC Krasnodar,2,3,2019-07-20,11031,2019,338406,0,0,0,0,0,0.5386819839477539,0.5386819839477539
