id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
1070,85,Goal,0.8630000305175781,0.515,0.09657879918813705,Yeltsin Tejeda,a,4713,OpenPlay,2014,RightFoot,6155,Bordeaux,Evian Thonon Gaillard,2,1,2014-09-19 19:30:00,Modou Sougou,Pass
1547,37,MissedShots,0.72,0.47200000762939454,0.019511500373482704,Yeltsin Tejeda,h,4713,OpenPlay,2014,RightFoot,6167,Evian Thonon Gaillard,Lens,2,1,2014-09-24 18:00:00,Youssouf Sabaly,Pass
1548,43,BlockedShot,0.700999984741211,0.45799999237060546,0.014307400211691856,Yeltsin Tejeda,h,4713,OpenPlay,2014,RightFoot,6167,Evian Thonon Gaillard,Lens,2,1,2014-09-24 18:00:00,,Dispossessed
1820,65,MissedShots,0.8030000305175782,0.47099998474121096,0.046011801809072495,Yeltsin Tejeda,a,4713,FromCorner,2014,RightFoot,6128,Monaco,Evian Thonon Gaillard,2,0,2014-10-18 19:00:00,,Rebound
2198,6,MissedShots,0.8730000305175781,0.28299999237060547,0.03678290173411369,Yeltsin Tejeda,h,4713,OpenPlay,2014,RightFoot,6139,Evian Thonon Gaillard,Nantes,0,2,2014-10-25 19:00:00,Daniel Wass,Pass
3942,20,MissedShots,0.7030000305175781,0.509000015258789,0.016190599650144577,Yeltsin Tejeda,a,4713,OpenPlay,2014,RightFoot,6080,Montpellier,Evian Thonon Gaillard,2,0,2014-11-01 19:00:00,Djakaridja Koné,Pass
4197,19,MissedShots,0.7230000305175781,0.7040000152587891,0.012033900246024132,Yeltsin Tejeda,a,4713,OpenPlay,2014,RightFoot,6042,SC Bastia,Evian Thonon Gaillard,1,2,2014-12-03 18:00:00,,Dispossessed
4413,23,SavedShot,0.754000015258789,0.4540000152587891,0.022632800042629242,Yeltsin Tejeda,a,4713,OpenPlay,2014,LeftFoot,6059,Reims,Evian Thonon Gaillard,3,2,2014-12-13 19:00:00,Cédric Barbosa,TakeOn
5663,37,BlockedShot,0.759000015258789,0.25799999237060545,0.01656170003116131,Yeltsin Tejeda,a,4713,OpenPlay,2014,RightFoot,5998,Lille,Evian Thonon Gaillard,1,0,2015-01-07 19:30:00,Adrien Thomasson,Pass
5787,37,MissedShots,0.7780000305175782,0.55,0.030120600014925003,Yeltsin Tejeda,h,4713,OpenPlay,2014,RightFoot,6001,Evian Thonon Gaillard,Rennes,1,1,2015-01-10 19:00:00,Youssouf Sabaly,Pass
5118,30,BlockedShot,0.7980000305175782,0.36700000762939455,0.02968060038983822,Yeltsin Tejeda,h,4713,FromCorner,2014,RightFoot,6024,Evian Thonon Gaillard,Toulouse,1,0,2015-01-25 13:00:00,Kassim Abdallah,Pass
4106,43,BlockedShot,0.82,0.5470000076293945,0.08540479838848114,Yeltsin Tejeda,a,4713,OpenPlay,2014,RightFoot,5977,Lens,Evian Thonon Gaillard,0,2,2015-02-14 19:00:00,Mathieu Duhamel,LayOff
4111,67,ShotOnPost,0.8290000152587891,0.5459999847412109,0.09787870198488235,Yeltsin Tejeda,a,4713,OpenPlay,2014,RightFoot,5977,Lens,Evian Thonon Gaillard,0,2,2015-02-14 19:00:00,Adrien Thomasson,Pass
3286,46,BlockedShot,0.7330000305175781,0.5829999923706055,0.014874099753797054,Yeltsin Tejeda,h,4713,FromCorner,2014,RightFoot,5929,Evian Thonon Gaillard,Lorient,1,0,2015-03-04 18:00:00,,None
7166,56,MissedShots,0.7630000305175781,0.4640000152587891,0.018654000014066696,Yeltsin Tejeda,a,4713,OpenPlay,2014,RightFoot,5846,Lyon,Evian Thonon Gaillard,2,0,2015-05-02 16:00:00,,None
6666,51,MissedShots,0.764000015258789,0.29100000381469726,0.02025420032441616,Yeltsin Tejeda,h,4713,OpenPlay,2014,RightFoot,5867,Evian Thonon Gaillard,Saint-Etienne,1,2,2015-05-16 20:00:00,,TakeOn
6683,92,BlockedShot,0.924000015258789,0.48,0.0524212010204792,Yeltsin Tejeda,h,4713,FromCorner,2014,Head,5867,Evian Thonon Gaillard,Saint-Etienne,1,2,2015-05-16 20:00:00,Jesper Juelsgaard,Aerial
