goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.3359610140323639,76,Sub,Dijon,Angers,2,1,2018-05-19,8937,2017,240670,0.0378246009349823,0,2,0,0.3359610140323639,0.4545460045337677,0.10234499722719193
0,0,0,59,MR,Toulouse,Angers,2,0,2018-04-21,8897,2017,234615,0,0,0,0,0,0.03093319945037365,0.03093319945037365
0,0,0,32,Sub,Bordeaux,Angers,0,0,2018-03-10,8845,2017,222676,0.03436810150742531,0,1,0,0,0,0
0,0,0,28,Sub,Angers,Guingamp,3,0,2018-03-03,8837,2017,221313,0,0,0,0,0,0.09313099831342697,0.09313099831342697
0,0,0,67,FW,Rennes,Angers,1,0,2018-01-20,8782,2017,209467,0,0,0,0,0,0.007123560179024935,0.007123560179024935
0,1,0.10082700103521347,10,Sub,Angers,Troyes,3,1,2018-01-17,8766,2017,208600,0,0,0,0,0.10082700103521347,0,0
0,0,0,16,Sub,Nantes,Angers,1,0,2017-12-17,8739,2017,203389,0,0,0,0,0,0.028207100927829742,0.028207100927829742
0,0,0,14,Sub,Angers,Montpellier,1,1,2017-12-09,8726,2017,199106,0,0,0,0,0,0.047429900616407394,0.047429900616407394
0,1,0.010717899538576603,40,Sub,Troyes,Angers,3,0,2017-11-25,8699,2017,183936,0,0,0,0,0.010717899538576603,0.010717899538576603,0
0,0,0,15,Sub,Guingamp,Angers,1,1,2017-11-18,8689,2017,183214,0,0,0,0,0,0,0
0,1,0.029944099485874176,52,FW,Angers,Paris Saint Germain,0,5,2017-11-04,8680,2017,183280,0.017582900822162628,0,1,0,0.029944099485874176,0.047527000308036804,0
1,1,0.13686299324035645,29,Sub,Strasbourg,Angers,2,2,2017-10-28,8673,2017,183186,0,0,0,1,0.13686299324035645,0.025935599580407143,0.025935599580407143
0,0,0,8,Sub,Angers,Toulouse,0,1,2017-10-21,8656,2017,182423,0.05601320043206215,0,1,0,0,0.05601320043206215,0
0,1,0.34661799669265747,6,Sub,Angers,Lyon,3,3,2017-10-01,8636,2017,182228,0,0,0,0,0.34661799669265747,0.34661799669265747,0
0,0,0,11,Sub,Nice,Angers,2,2,2017-09-22,8632,2017,182048,0,0,0,0,0,0,0
