goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.060619499534368515,90,DMC,Reims,Brest,1,0,2020-03-07,12988,2019,397024,0,0,0,0,0.060619499534368515,0.15667399764060974,0.09605470299720764
0,0,0,90,DMC,Monaco,Reims,1,1,2020-02-29,12975,2019,396010,0.039621900767087936,0,1,0,0,0.41506901383399963,0.37544700503349304
0,0,0,11,Sub,Reims,Rennes,1,0,2020-02-16,12958,2019,394235,0,0,0,0,0,0,0
0,0,0,60,MC,Strasbourg,Reims,3,0,2020-02-09,12948,2019,393215,0,0,0,0,0,0.04780999943614006,0.04780999943614006
0,1,0.016828499734401703,90,MC,Angers,Reims,1,4,2020-02-01,12924,2019,391411,0.014442799612879753,0,1,0,0.016828499734401703,0.21523800492286682,0.19840900599956512
0,0,0,90,DMC,Reims,Metz,0,1,2020-01-25,12913,2019,390394,0,0,0,0,0,0.05662190169095993,0.05662190169095993
0,0,0,62,MC,Nimes,Reims,2,0,2020-01-11,12904,2019,388661,0,0,0,0,0,0.06072939932346344,0.06072939932346344
0,1,0.09339570254087448,90,DMC,Toulouse,Reims,0,1,2019-12-14,12884,2019,370089,0.07679320126771927,0,1,0,0.09339570254087448,0.1701889932155609,0
0,2,0.11081500351428986,74,DMC,Reims,Bordeaux,1,1,2019-11-30,12850,2019,366570,0,0,0,0,0.11081500351428986,0.0901016965508461,0.06474699825048447
0,1,0.06678199768066406,90,MC,Metz,Reims,1,1,2019-11-23,12844,2019,365035,0,0,0,0,0.06678199768066406,0.1096860021352768,0.1096860021352768
0,2,0.07696810364723206,90,DMC,Reims,Angers,0,0,2019-11-09,12836,2019,363442,0,0,0,0,0.07696810364723206,0.22153399884700775,0.14456599950790405
0,0,0,60,DMC,Nice,Reims,2,0,2019-11-03,12828,2019,362325,0,0,0,0,0,0.25485000014305115,0.25485000014305115
0,0,0,90,DMC,Reims,Nimes,0,0,2019-10-26,12816,2019,359701,0.021704699844121933,0,1,0,0,0.07978150248527527,0.07978150248527527
0,0,0,90,DMC,Reims,Montpellier,1,0,2019-10-19,12799,2019,358146,0.13195200264453888,0,2,0,0,0.5683280229568481,0.4964190125465393
0,1,0.08966779708862305,90,DMC,Rennes,Reims,0,1,2019-10-06,12789,2019,357131,0,0,0,0,0.08966779708862305,0.1451530009508133,0.1451530009508133
0,0,0,90,DMC,Reims,Dijon,1,2,2019-09-28,12788,2019,355059,0,0,0,0,0,0.09813199937343597,0.09813199937343597
0,1,0.028535399585962296,90,DMC,Reims,Monaco,0,0,2019-09-21,12759,2019,352610,0.05702289938926697,0,3,0,0.028535399585962296,0.033741701394319534,0
0,1,0.011151299811899662,86,MC,Nantes,Reims,1,0,2019-09-15,12750,2019,349698,0,0,0,0,0.011151299811899662,0.057977501302957535,0.057977501302957535
0,0,0,90,DMC,Reims,Lille,2,0,2019-09-01,12741,2019,348237,0.10375799983739853,0,2,0,0,0.10375799983739853,0
0,0,0,90,DMC,Brest,Reims,1,0,2019-08-24,12738,2019,344361,0,0,0,0,0,0.1914760023355484,0.1914760023355484
0,1,0.026451900601387024,90,DMC,Reims,Strasbourg,0,0,2019-08-18,12727,2019,342514,0,0,0,0,0.026451900601387024,0.11124800145626068,0.08479650318622589
0,0,0,90,DMC,Marseille,Reims,0,2,2019-08-10,12710,2019,341335,0.13142000138759613,0,1,0,0,0.13142000138759613,0
0,0,0,90,DMC,Reims,Paris Saint Germain,3,1,2019-05-24,11021,2018,334706,0.013422599993646145,0,1,0,0,0.13904599845409393,0.12562300264835358
0,1,0.10014700144529343,90,DMC,Bordeaux,Reims,0,1,2019-05-18,11003,2018,333833,0,0,0,0,0.10014700144529343,0.623403012752533,0.5232570171356201
0,0,0,84,DMC,Caen,Reims,3,2,2019-05-11,10995,2018,331998,0,0,0,0,0,0.07098060101270676,0.07098060101270676
0,1,0.09279689937829971,90,DMC,Reims,Nimes,0,3,2019-05-04,10984,2018,330459,0,0,0,0,0.09279689937829971,0.13912099599838257,0.13912099599838257
0,0,0,81,DMC,Reims,Saint-Etienne,0,2,2019-04-21,10969,2018,326758,0,0,0,0,0,0.16928699612617493,0.16928699612617493
0,1,0.08716289699077606,90,DMC,Monaco,Reims,0,0,2019-04-13,10957,2018,324527,0.053463198244571686,0,1,0,0.08716289699077606,0.053463198244571686,0
0,0,0,90,DMC,Reims,Lille,1,1,2019-04-07,10945,2018,323160,0,0,0,0,0,0.11002200096845627,0.11002200096845627
0,0,0,90,DMC,Strasbourg,Reims,4,0,2019-04-03,10942,2018,321732,0,0,0,0,0,0.012761300429701805,0.012761300429701805
0,1,0.1545879989862442,90,DMC,Reims,Nantes,1,0,2019-03-17,10923,2018,316954,0,0,0,0,0.1545879989862442,0.1545879989862442,0
0,1,0.05917689949274063,90,DMC,Dijon,Reims,1,1,2019-03-09,10921,2018,314809,0,0,0,0,0.05917689949274063,0.21996499598026276,0.21996499598026276
0,1,0.11377900093793869,90,DMC,Reims,Amiens,2,2,2019-03-02,10903,2018,313854,0.8529959917068481,1,1,0,0.11377900093793869,0.03885690122842789,0.03885690122842789
0,0,0,90,DMC,Montpellier,Reims,2,4,2019-02-24,10896,2018,313730,0.052239399403333664,0,1,0,0,0.13574199378490448,0.13574199378490448
