goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,AMC,Rennes,Saint-Etienne,0,1,2016-02-05,2108,2015,76997,0,0,0,0,0,0,0
0,1,0.049576301127672195,71,AMC,Bordeaux,Rennes,4,0,2016-01-31,2097,2015,73763,0.3615399897098541,0,2,0,0.049576301127672195,0.3563759922981262,0.04099550098180771
0,0,0,71,MC,Rennes,GFC Ajaccio,1,0,2016-01-22,2079,2015,74000,0,0,0,0,0,0.3737109899520874,0.3737109899520874
0,1,0.05022469907999039,76,MC,Rennes,Lorient,2,2,2016-01-09,2063,2015,73109,0.11216700077056885,1,2,0,0.05022469907999039,0.49397000670433044,0.3818030059337616
0,1,0.06519140303134918,90,AMC,Guingamp,Rennes,0,2,2015-12-19,2052,2015,72371,0.15960200130939484,0,3,0,0.06519140303134918,0.518280029296875,0.32881098985671997
1,5,0.37331101298332214,85,AMC,Rennes,Caen,1,1,2015-12-11,2039,2015,72136,0.20595400035381317,0,3,1,0.37331101298332214,0.609919011592865,0.30531400442123413
0,0,0,85,AMC,Saint-Etienne,Rennes,1,1,2015-12-07,2038,2015,72706,0,0,0,0,0,0.022095300257205963,0.022095300257205963
0,1,0.0223705992102623,32,Sub,Rennes,Marseille,0,1,2015-12-04,2028,2015,71943,0,0,0,0,0.0223705992102623,0.0223705992102623,0
0,1,0.031729601323604584,44,Sub,Reims,Rennes,2,2,2015-11-28,2014,2015,70834,0.10314799845218658,0,2,0,0.031729601323604584,0.6282089948654175,0.531436026096344
0,1,0.06422290205955505,66,AMC,Rennes,Paris Saint Germain,0,1,2015-10-30,1978,2015,71580,0.04354950040578842,0,1,0,0.06422290205955505,0.04354950040578842,0.04354950040578842
0,5,0.25036999583244324,90,FW,Lorient,Rennes,1,1,2015-10-24,1970,2015,70428,0.018026700243353844,0,1,0,0.25036999583244324,0.7525669932365417,0.5381069779396057
0,0,0,18,Sub,Rennes,Nice,1,4,2015-10-18,1967,2015,70109,0.32120299339294434,1,2,0,0,0.3364729881286621,0.015269899740815163
