id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
61767,13,MissedShots,0.8690000152587891,0.41200000762939454,0.3452189862728119,Mana Dembele,a,3704,OpenPlay,2015,RightFoot,1894,SC Bastia,Guingamp,3,0,2015-08-22 22:00:00,Jimmy Briand,Throughball
61782,46,MissedShots,0.825,0.4209999847412109,0.06079170107841492,Mana Dembele,a,3704,OpenPlay,2015,LeftFoot,1894,SC Bastia,Guingamp,3,0,2015-08-22 22:00:00,Younousse Sankhare,Pass
62712,88,MissedShots,0.7930000305175782,0.335,0.032753799110651016,Mana Dembele,h,3704,OpenPlay,2015,RightFoot,1899,Guingamp,Marseille,2,0,2015-08-28 22:30:00,Lionel Mathis,Pass
64209,20,MissedShots,0.8440000152587891,0.48700000762939455,0.0738086998462677,Mana Dembele,a,3704,OpenPlay,2015,LeftFoot,2016,Saint-Etienne,Guingamp,3,0,2015-11-29 17:00:00,Marcus Coco,Pass
64213,35,SavedShot,0.9669999694824218,0.6830000305175781,0.05424879863858223,Mana Dembele,a,3704,OpenPlay,2015,LeftFoot,2016,Saint-Etienne,Guingamp,3,0,2015-11-29 17:00:00,Marcus Coco,Pass
64216,45,MissedShots,0.865999984741211,0.43099998474121093,0.017940599471330643,Mana Dembele,a,3704,FromCorner,2015,Head,2016,Saint-Etienne,Guingamp,3,0,2015-11-29 17:00:00,Yannis Salibur,Cross
64217,49,SavedShot,0.8030000305175782,0.6669999694824219,0.08463530242443085,Mana Dembele,a,3704,DirectFreekick,2015,RightFoot,2016,Saint-Etienne,Guingamp,3,0,2015-11-29 17:00:00,,Standard
64622,90,BlockedShot,0.7859999847412109,0.5479999923706055,0.10391800105571747,Mana Dembele,h,3704,DirectFreekick,2015,RightFoot,2026,Guingamp,Reims,1,2,2015-12-02 22:00:00,,Standard
65155,69,BlockedShot,0.7330000305175781,0.5279999923706055,0.02482439950108528,Mana Dembele,a,3704,OpenPlay,2015,RightFoot,2037,Bordeaux,Guingamp,1,0,2015-12-06 20:00:00,Sloan Privat,LayOff
65160,87,MissedShots,0.955999984741211,0.5879999923706055,0.04366319999098778,Mana Dembele,a,3704,OpenPlay,2015,Head,2037,Bordeaux,Guingamp,1,0,2015-12-06 20:00:00,Jeremy Livolant,Aerial
65010,69,MissedShots,0.9259999847412109,0.6179999923706054,0.01941479928791523,Mana Dembele,a,3704,OpenPlay,2015,Head,2042,Montpellier,Guingamp,2,1,2015-12-12 23:00:00,Lars Jacobsen,Aerial
67300,76,SavedShot,0.815,0.505,0.11709800362586975,Mana Dembele,a,3704,OpenPlay,2015,LeftFoot,2174,Reims,Guingamp,0,1,2016-03-19 23:00:00,Younousse Sankhare,Chipped
67644,63,MissedShots,0.9259999847412109,0.2539999961853027,0.037407100200653076,Mana Dembele,h,3704,OpenPlay,2015,RightFoot,2190,Guingamp,Paris Saint Germain,0,2,2016-04-09 19:00:00,Marcus Coco,Chipped
