goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,4,Sub,Montpellier,Marseille,0,1,2016-02-03,2100,2015,76876,0,0,0,0,0,0,0
0,1,0.12672999501228333,43,Sub,Marseille,Lille,1,1,2016-01-29,2089,2015,73837,0,0,0,0,0.12672999501228333,0,0
0,0,0,1,Sub,Lyon,Marseille,1,1,2016-01-25,2088,2015,73602,0.11575400084257126,0,1,0,0,0.11575400084257126,0
0,0,0,72,DL,Paris Saint Germain,Marseille,2,1,2015-10-04,1957,2015,69786,0,0,0,0,0,0.40974199771881104,0.40974199771881104
0,2,0.09550800174474716,90,DL,Marseille,Angers,1,2,2015-09-27,1944,2015,71272,0.11132299900054932,0,2,0,0.09550800174474716,0.42611899971961975,0.2711139917373657
0,0,0,77,DL,Toulouse,Marseille,1,1,2015-09-23,1936,2015,69704,0,0,0,0,0,0.11662399768829346,0.11662399768829346
0,0,0,14,Sub,Marseille,SC Bastia,4,1,2015-09-13,1918,2015,68890,0.031022200360894203,0,1,0,0,0.031022200360894203,0
0,0,0,27,Sub,Juventus,Cagliari,1,1,2015-05-09,4789,2014,56060,0,0,0,0,0,0,0
0,0,0,78,DML,Palermo,Juventus,0,1,2015-03-14,4899,2014,54087,0.011812100186944008,0,1,0,0,0.011812100186944008,0
0,0,0,75,DML,Verona,Parma,3,1,2015-01-11,4973,2014,51750,0,0,0,0,0,0.045373398810625076,0.045373398810625076
0,0,0,90,DML,Parma,Fiorentina,1,0,2015-01-06,4961,2014,51543,0,0,0,0,0,0.09165579825639725,0.09165579825639725
0,0,0,46,FWL,Napoli,Parma,2,0,2014-12-18,5021,2014,50841,0.015895400196313858,0,1,0,0,0.015895400196313858,0
0,1,0.026138899847865105,66,DML,Parma,Cagliari,0,0,2014-12-14,5014,2014,50627,0.04228239879012108,0,1,0,0.026138899847865105,0.06842129677534103,0
0,0,0,46,DML,Juventus,Parma,7,0,2014-11-09,5045,2014,49444,0,0,0,0,0,0.02742920070886612,0.02742920070886612
2,3,1.3529499769210815,90,DML,Parma,Inter,2,0,2014-11-01,5032,2014,49179,0,0,0,2,1.3529499769210815,1.3640700578689575,0.08219189941883087
0,1,0.15250399708747864,64,AMC,Parma,Sassuolo,1,3,2014-10-25,5090,2014,48653,0,0,0,0,0.15250399708747864,0.15250399708747864,0
0,1,0.03319380059838295,62,FWL,Parma,Genoa,1,2,2014-10-05,5072,2014,48097,0.02114650048315525,0,1,0,0.03319380059838295,0.07381570339202881,0.01947540044784546
0,0,0,65,FWL,Udinese,Parma,4,2,2014-09-29,5147,2014,47887,0.4940989911556244,0,1,0,0,0.4940989911556244,0
1,2,0.1718049943447113,73,FWL,Parma,Roma,1,2,2014-09-24,5136,2014,47565,0,0,0,1,0.1718049943447113,0.04417259991168976,0
0,0,0,90,DL,Parma,AC Milan,4,5,2014-09-14,5117,2014,47001,0,0,0,0,0,0.3869419991970062,0.3869419991970062
