goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.061776500195264816,90,DC,Lille,Rennes,1,1,2016-12-21,3261,2016,117902,0,0,0,0,0.061776500195264816,0.14353199303150177,0.14353199303150177
0,0,0,16,Sub,Marseille,Lille,2,0,2016-12-18,3257,2016,120434,0,0,0,0,0,0,0
0,2,0.11218699812889099,90,DC,Bordeaux,Lille,0,1,2016-12-03,3235,2016,120564,0.4267120063304901,0,1,0,0.11218699812889099,0.01562820002436638,0.01562820002436638
0,0,0,90,DC,Lille,Paris Saint Germain,0,1,2016-10-28,3318,2016,117326,0.09859610348939896,0,1,0,0,0,0
0,2,0.10839100182056427,90,DC,Lille,SC Bastia,2,1,2016-10-22,2343,2016,116912,0,0,0,0,0.10839100182056427,0,0
0,1,0.09151510149240494,90,DC,Guingamp,Lille,1,0,2016-10-15,2335,2016,116871,0,0,0,0,0.09151510149240494,0.06797079741954803,0.06797079741954803
0,0,0,90,DC,Lille,Nancy,1,0,2016-10-01,2322,2016,116140,0,0,0,0,0,0.06438829749822617,0.06438829749822617
1,1,0.047750700265169144,90,DC,Saint-Etienne,Lille,3,1,2016-09-25,2316,2016,115791,0,0,0,1,0.047750700265169144,0.027112899348139763,0.027112899348139763
0,1,0.045135099440813065,90,DC,Lorient,Lille,1,0,2016-09-17,2294,2016,115488,0,0,0,0,0.045135099440813065,0.17186300456523895,0.17186300456523895
0,0,0,90,DC,Lille,Monaco,1,4,2016-09-10,2284,2016,115613,0,0,0,0,0,0,0
0,0,0,90,DC,Nice,Lille,1,1,2016-08-27,2275,2016,115072,0,0,0,0,0,0.04672029986977577,0.04672029986977577
0,0,0,90,DC,Lille,Dijon,1,0,2016-08-20,2265,2016,114724,0,0,0,0,0,0.13041600584983826,0.13041600584983826
0,2,0.1375660002231598,90,DC,Metz,Lille,3,2,2016-08-13,2254,2016,114654,0,0,0,0,0.1375660002231598,0.031668201088905334,0.031668201088905334
0,1,0.01288640033453703,90,DC,Saint-Etienne,Lille,0,1,2016-05-14,2240,2015,76392,0,0,0,0,0.01288640033453703,0.060600198805332184,0.060600198805332184
0,1,0.03878030180931091,90,DC,Lille,Guingamp,0,0,2016-05-07,2233,2015,75515,0.015636499971151352,0,1,0,0.03878030180931091,0.21280500292778015,0.1971679925918579
0,0,0,55,DC,Lille,Monaco,4,1,2016-04-10,2196,2015,75156,0,0,0,0,0,0,0
0,0,0,90,DC,Nantes,Lille,0,3,2016-04-03,2186,2015,74921,0,0,0,0,0,0.11987199634313583,0.11987199634313583
0,0,0,90,DC,Lille,Toulouse,1,0,2016-03-19,2172,2015,74355,0,0,0,0,0,0.021397899836301804,0.021397899836301804
0,0,0,90,DC,SC Bastia,Lille,1,2,2016-03-12,2164,2015,74175,0.038954198360443115,0,1,0,0,0.038954198360443115,0
0,0,0,29,DC,Montpellier,Lille,3,0,2016-02-27,2139,2015,78030,0,0,0,0,0,0,0
0,1,0.07404819875955582,90,DC,Lille,Lyon,1,0,2016-02-22,2137,2015,77712,0.06913450360298157,0,1,0,0.07404819875955582,0.06913450360298157,0
0,0,0,90,DC,Paris Saint Germain,Lille,0,0,2016-02-13,2120,2015,77505,0,0,0,0,0,0,0
0,0,0,90,DC,Lille,Rennes,1,1,2016-02-07,2116,2015,77159,0,0,0,0,0,0,0
