id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
108092,62,MissedShots,0.9019999694824219,0.5129999923706055,0.024406900629401207,Alhassan Wakaso,a,5643,FromCorner,2016,Head,4122,Monaco,Lorient,4,0,2017-01-22 17:00:00,Sylvain Marveaux,Aerial
106158,44,BlockedShot,0.720999984741211,0.4,0.01711140014231205,Alhassan Wakaso,h,5643,OpenPlay,2016,RightFoot,4130,Lorient,Dijon,2,3,2017-01-28 19:00:00,Arnold Mvuemba,Pass
106168,76,BlockedShot,0.6780000305175782,0.5570000076293945,0.012307699769735336,Alhassan Wakaso,h,5643,OpenPlay,2016,RightFoot,4130,Lorient,Dijon,2,3,2017-01-28 19:00:00,Romain Philippoteaux,Pass
106169,79,MissedShots,0.745999984741211,0.48900001525878906,0.01834389939904213,Alhassan Wakaso,h,5643,OpenPlay,2016,RightFoot,4130,Lorient,Dijon,2,3,2017-01-28 19:00:00,,None
107242,32,BlockedShot,0.7619999694824219,0.5459999847412109,0.0197650995105505,Alhassan Wakaso,a,5643,OpenPlay,2016,RightFoot,4137,Lille,Lorient,0,1,2017-02-04 19:00:00,,Rebound
108056,17,MissedShots,0.6880000305175781,0.5420000076293945,0.014161299914121628,Alhassan Wakaso,h,5643,OpenPlay,2016,RightFoot,4145,Lorient,Toulouse,1,1,2017-02-08 18:00:00,Arnold Mvuemba,Pass
110828,92,MissedShots,0.71,0.5720000076293945,0.015652600675821304,Alhassan Wakaso,h,5643,OpenPlay,2016,RightFoot,4165,Lorient,Nice,0,1,2017-02-18 19:00:00,Vincent Le Goff,Pass
110829,94,SavedShot,0.855999984741211,0.51,0.02912360057234764,Alhassan Wakaso,h,5643,SetPiece,2016,Head,4165,Lorient,Nice,0,1,2017-02-18 19:00:00,Arnold Mvuemba,Cross
109064,45,MissedShots,0.885,0.5220000076293946,0.25525298714637756,Alhassan Wakaso,h,5643,SetPiece,2016,Head,4185,Lorient,Marseille,1,4,2017-03-05 14:00:00,Sylvain Marveaux,Chipped
108654,5,MissedShots,0.7090000152587891,0.519000015258789,0.018433600664138794,Alhassan Wakaso,h,5643,OpenPlay,2016,RightFoot,4199,Lorient,Paris Saint Germain,1,2,2017-03-12 20:00:00,Arnold Mvuemba,Pass
110162,91,MissedShots,0.6840000152587891,0.41,0.016135800629854202,Alhassan Wakaso,a,5643,OpenPlay,2016,RightFoot,4230,Lyon,Lorient,1,4,2017-04-08 19:00:00,Majeed Waris,Pass
112021,47,MissedShots,0.9269999694824219,0.375,0.023739000782370567,Alhassan Wakaso,a,5643,FromCorner,2016,Head,4279,SC Bastia,Lorient,2,0,2017-05-14 20:00:00,Jimmy Cabot,Cross
