goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,15,Sub,Lille,Nantes,3,0,2017-08-06,8572,2017,180054,0,0,0,0,0,0,0
0,3,0.4182940125465393,90,MC,Lille,Nantes,3,0,2017-05-20,4287,2016,122858,0,0,0,0,0.4182940125465393,0.35766899585723877,0.03639040142297745
0,1,0.07151199877262115,90,MC,Nantes,Guingamp,4,1,2017-05-14,4282,2016,122321,0,0,0,0,0.07151199877262115,0.8535860180854797,0.782073974609375
1,1,0.08006089925765991,90,MC,Lyon,Nantes,3,2,2017-05-07,4270,2016,124221,0,0,0,1,0.08006089925765991,0,0
0,1,0.03400449827313423,90,MC,Nantes,Lorient,1,0,2017-04-29,4262,2016,123484,0.1810609996318817,0,2,0,0.03400449827313423,0.202114999294281,0.10035400092601776
0,2,0.12048699706792831,90,DMC,Caen,Nantes,0,2,2017-04-22,4253,2016,123052,0.07246659696102142,0,1,0,0.12048699706792831,0.6400910019874573,0.5196040272712708
0,1,0.03862350061535835,90,MC,Nantes,Bordeaux,0,1,2017-04-16,4242,2016,124262,0,0,0,0,0.03862350061535835,0,0
0,3,0.18087899684906006,90,MC,Saint-Etienne,Nantes,1,1,2017-04-09,4226,2016,122388,0.029689500108361244,0,1,0,0.18087899684906006,0.3129029870033264,0.10233499854803085
0,1,0.0848195031285286,90,MC,Nantes,Angers,2,1,2017-04-02,4222,2016,121904,0,0,0,0,0.0848195031285286,0.23669199645519257,0.15187199413776398
0,4,0.13395200669765472,90,DMC,Nantes,Nice,1,1,2017-03-18,4209,2016,122539,0.040482599288225174,0,1,0,0.13395200669765472,0.3278760015964508,0.21919499337673187
0,0,0,90,MC,Montpellier,Nantes,2,3,2017-03-11,4200,2016,121175,0,0,0,0,0,0.10409999638795853,0.10409999638795853
0,1,0.03333679959177971,90,MC,Monaco,Nantes,4,0,2017-03-05,4192,2016,122223,0,0,0,0,0.03333679959177971,0.10604599863290787,0.07270970195531845
0,1,0.013249600306153297,90,MC,SC Bastia,Nantes,2,2,2017-03-01,4151,2016,120926,0,0,0,0,0.013249600306153297,0.7167159914970398,0.70346599817276
0,2,0.036166198551654816,90,MC,Nantes,Dijon,3,1,2017-02-24,4183,2016,121350,0,0,0,0,0.036166198551654816,0.260219007730484,0.22405299544334412
0,0,0,90,MC,Metz,Nantes,1,1,2017-02-18,4174,2016,124165,0.060494400560855865,0,1,0,0,0.09317070245742798,0.032676298171281815
0,3,0.16862399876117706,90,MC,Nantes,Marseille,3,2,2017-02-12,4163,2016,123289,0.43317899107933044,0,1,0,0.16862399876117706,0.017895100638270378,0
0,1,0.07092639803886414,90,MC,Nantes,Nancy,0,2,2017-02-05,4142,2016,120033,0.08466800302267075,0,2,0,0.07092639803886414,0.20151600241661072,0.04592140018939972
0,0,0,90,MC,Rennes,Nantes,1,1,2017-01-28,4125,2016,119162,0,0,0,0,0,0,0
0,0,0,90,MC,Nantes,Paris Saint Germain,0,2,2017-01-21,4116,2016,120499,0,0,0,0,0,0.018813300877809525,0.018813300877809525
0,2,0.3832550048828125,90,MC,Nantes,Caen,1,0,2017-01-18,3243,2016,119977,0.23199300467967987,0,1,0,0.3832550048828125,0.6381549835205078,0.022906599566340446
0,0,0,90,MC,Toulouse,Nantes,0,1,2017-01-14,4108,2016,119464,0.047994401305913925,0,2,0,0,0.4014750123023987,0.4014750123023987
0,0,0,90,MC,Nantes,Montpellier,1,0,2016-12-21,3267,2016,118567,0,0,0,0,0,0.06365250051021576,0.06365250051021576
1,1,0.036094799637794495,90,MC,Angers,Nantes,0,2,2016-12-16,3249,2016,117622,0,0,0,1,0.036094799637794495,0.5033680200576782,0.4672729969024658
0,1,0.014277099631726742,57,DMC,Guingamp,Nantes,2,0,2016-12-03,3233,2016,118775,0,0,0,0,0.014277099631726742,0.030547499656677246,0.016270499676465988
0,1,0.08036459982395172,72,DMC,Nantes,Lyon,0,6,2016-11-30,2867,2016,120330,0.10866300016641617,0,1,0,0.08036459982395172,0.24089199304580688,0.16052700579166412
0,2,0.029311999678611755,90,MC,Nantes,Lille,0,0,2016-11-26,2855,2016,119065,0,0,0,0,0.029311999678611755,0.029311999678611755,0
0,3,0.150751993060112,90,MC,Paris Saint Germain,Nantes,2,0,2016-11-19,2845,2016,117757,0.04602940008044243,0,1,0,0.150751993060112,0.15571799874305725,0.11084800213575363
0,3,0.16242000460624695,90,DMC,Nantes,Toulouse,1,1,2016-11-05,2835,2016,117523,0.049717601388692856,0,3,0,0.16242000460624695,0.18857400119304657,0.11136800050735474
0,1,0.019200200214982033,90,MC,Nice,Nantes,4,1,2016-10-30,3325,2016,117400,0.028886299580335617,0,1,0,0.019200200214982033,0.047626201063394547,0.047626201063394547
0,0,0,90,MC,Nantes,Rennes,1,2,2016-10-22,2341,2016,116997,0,0,0,0,0,0.054609399288892746,0.054609399288892746
1,1,0.09285599738359451,90,MC,Lorient,Nantes,1,2,2016-10-15,2332,2016,116682,0,0,0,1,0.09285599738359451,0.09285599738359451,0
0,0,0,90,MC,Nantes,SC Bastia,1,0,2016-10-01,2323,2016,116530,0,0,0,0,0,0.1302029937505722,0.1302029937505722
0,1,0.06860730051994324,90,MC,Marseille,Nantes,2,1,2016-09-25,2318,2016,115906,0,0,0,0,0.06860730051994324,0.24407899379730225,0.1754709929227829
0,1,0.018635500222444534,90,MC,Nantes,Saint-Etienne,0,0,2016-09-21,2303,2016,116391,0,0,0,0,0.018635500222444534,0.09214489907026291,0.07350940257310867
0,1,0.013584899716079235,90,MC,Nancy,Nantes,1,1,2016-09-17,2291,2016,115381,0,0,0,0,0.013584899716079235,0.43620800971984863,0.42262300848960876
0,1,0.01843300089240074,90,DMC,Nantes,Metz,0,3,2016-09-11,2286,2016,115283,0.2633660137653351,0,1,0,0.01843300089240074,0.33784401416778564,0.05604470148682594
0,1,0.10673200339078903,90,MC,Bordeaux,Nantes,1,0,2016-08-28,2276,2016,115020,0.03827369958162308,0,1,0,0.10673200339078903,0.09906789660453796,0.09906789660453796
0,1,0.008116889744997025,90,MC,Nantes,Monaco,0,1,2016-08-20,2260,2016,114894,0.05595950037240982,0,1,0,0.008116889744997025,0.06407640129327774,0
0,1,0.03882740065455437,90,MC,Dijon,Nantes,0,1,2016-08-13,2255,2016,114574,0,0,0,0,0.03882740065455437,0.9309229850769043,0.9309229850769043
0,2,0.09691549837589264,90,DMC,Paris Saint Germain,Nantes,4,0,2016-05-14,2244,2015,76645,0,0,0,0,0.09691549837589264,0.20286400616168976,0.11622299998998642
0,2,0.02625020034611225,90,DMC,Nantes,Caen,1,2,2016-05-07,2231,2015,75352,0.044371601194143295,0,2,0,0.02625020034611225,0.34613001346588135,0.2964490056037903
0,1,0.021467600017786026,90,DMC,Nantes,Nice,1,0,2016-04-30,2219,2015,76129,0.017880000174045563,0,1,0,0.021467600017786026,0.4813440144062042,0.45987701416015625
0,0,0,90,DMC,Marseille,Nantes,1,1,2016-04-24,2211,2015,75422,0.025411799550056458,0,1,0,0,0.04220990091562271,0.016798099502921104
0,1,0.019322600215673447,90,AMC,Nantes,Montpellier,0,2,2016-04-17,2206,2015,75467,0,0,0,0,0.019322600215673447,0.15074999630451202,0.13142800331115723
0,0,0,90,DMC,Reims,Nantes,2,1,2016-04-09,2194,2015,76423,0,0,0,0,0,0.019918400794267654,0.019918400794267654
0,0,0,90,MC,Nantes,Lille,0,3,2016-04-03,2186,2015,74911,0.039894599467515945,0,2,0,0,0.028437700122594833,0
0,2,0.09275420010089874,90,MC,Lyon,Nantes,2,0,2016-03-20,2175,2015,74539,0,0,0,0,0.09275420010089874,0.009670250117778778,0
0,0,0,90,MC,Nantes,Angers,2,0,2016-03-13,2167,2015,74775,0,0,0,0,0,0,0
0,1,0.032896701246500015,90,DMC,SC Bastia,Nantes,0,0,2016-03-09,2157,2015,77813,0,0,0,0,0.032896701246500015,0.11315999925136566,0.08026280254125595
0,0,0,90,DMC,Rennes,Nantes,4,1,2016-03-06,2155,2015,74510,0,0,0,0,0,0.07105480134487152,0.07105480134487152
0,0,0,90,DMC,Nantes,Monaco,0,0,2016-02-28,2144,2015,77965,0.7739120125770569,0,3,0,0,0.7944430112838745,0.3506689965724945
0,1,0.08794549852609634,90,DMC,Nantes,Lorient,2,1,2016-02-13,2123,2015,77383,0,0,0,0,0.08794549852609634,0.19546200335025787,0.19546200335025787
0,2,0.1175599992275238,90,DMC,Toulouse,Nantes,0,0,2016-02-06,2115,2015,77286,0.06840019673109055,0,1,0,0.1175599992275238,0.17593400180339813,0.07096999883651733
0,1,0.024809999391436577,90,DMC,Nantes,GFC Ajaccio,3,1,2016-02-03,2104,2015,76798,0,0,0,0,0.024809999391436577,0.1563819944858551,0.1563819944858551
1,2,0.1766510009765625,90,DMC,Troyes,Nantes,0,1,2016-01-30,2091,2015,73733,0,0,0,1,0.1766510009765625,0.34251299500465393,0.21897900104522705
0,0,0,90,DMC,Nantes,Bordeaux,2,2,2016-01-23,2082,2015,73468,0,0,0,0,0,0.31350499391555786,0.31350499391555786
0,2,0.4130220115184784,90,DMC,Guingamp,Nantes,2,2,2016-01-16,2073,2015,73177,0,0,0,0,0.4130220115184784,0.14739400148391724,0.13120900094509125
0,4,0.5337169766426086,90,DMC,Nantes,Saint-Etienne,2,1,2016-01-10,2066,2015,72912,0,0,0,0,0.5337169766426086,0.11364900320768356,0.0648161992430687
0,0,0,90,DMC,Marseille,SC Bastia,3,0,2015-05-23,5880,2014,8721,0,0,0,0,0,0.01920579932630062,0.01920579932630062
0,0,0,90,DMC,SC Bastia,Caen,1,1,2015-05-16,5866,2014,7930,0.020965300500392914,0,1,0,0,0.04935180023312569,0.028386499732732773
0,0,0,90,DMC,Rennes,SC Bastia,0,1,2015-05-09,5858,2014,7779,0.03809009864926338,1,1,0,0,0.03809009864926338,0
0,0,0,90,DMC,SC Bastia,Saint-Etienne,1,0,2015-05-02,5850,2014,8347,0,0,0,0,0,0.34790700674057007,0.34790700674057007
0,0,0,90,MC,Evian Thonon Gaillard,SC Bastia,1,2,2015-04-25,5920,2014,7919,0,0,0,0,0,0.232354998588562,0.232354998588562
0,0,0,90,DMC,SC Bastia,Reims,1,2,2015-04-18,5911,2014,10346,0,0,0,0,0,0,0
0,2,0.059999000281095505,90,MC,Lyon,SC Bastia,2,0,2015-04-15,5904,2014,9929,0,0,0,0,0.059999000281095505,0.12139199674129486,0.09662900120019913
0,1,0.009321129880845547,90,DMC,Montpellier,SC Bastia,3,1,2015-04-04,5889,2014,10388,0.03639160096645355,0,1,0,0.009321129880845547,0.11450599879026413,0.10518500208854675
0,0,0,90,MC,SC Bastia,Guingamp,0,0,2015-03-21,5953,2014,9777,0.02892890013754368,0,1,0,0,0.21840900182724,0.21840900182724
0,0,0,90,DMC,Monaco,SC Bastia,3,0,2015-03-13,5940,2014,9489,0,0,0,0,0,0,0
1,2,0.09942559897899628,90,DMC,SC Bastia,Nice,2,1,2015-03-07,5934,2014,8981,0.01926090009510517,0,1,1,0.09942559897899628,0.031686801463365555,0.031686801463365555
0,1,0.012396199628710747,90,DMC,Lorient,SC Bastia,2,0,2015-02-28,5993,2014,5792,0.02639009989798069,0,1,0,0.012396199628710747,0.03878629952669144,0
0,1,0.11868499964475632,90,DMC,SC Bastia,Lille,2,1,2015-02-21,5985,2014,3723,0.013599400408565998,0,1,0,0.11868499964475632,0,0
0,1,0.01084390003234148,20,Sub,Nantes,SC Bastia,0,2,2015-02-14,5975,2014,3272,0,0,0,0,0.01084390003234148,0,0
0,1,0.021278399974107742,90,DMC,SC Bastia,Metz,2,0,2015-02-07,5966,2014,3225,0,0,0,0,0.021278399974107742,0.06274779886007309,0.04146939888596535
0,0,0,90,MC,Lens,SC Bastia,1,1,2015-01-31,6031,2014,7336,0,0,0,0,0,0,0
0,2,0.04741530120372772,90,MR,SC Bastia,Bordeaux,0,0,2015-01-24,6023,2014,6110,0.5285189747810364,0,1,0,0.04741530120372772,0.06832949817180634,0.020914100110530853
0,0,0,90,MC,Toulouse,SC Bastia,1,1,2015-01-17,6012,2014,5988,0.047295600175857544,0,1,0,0,0.030970599502325058,0.030970599502325058
0,0,0,90,MC,SC Bastia,Paris Saint Germain,4,2,2015-01-10,6000,2014,6909,0,0,0,0,0,0,0
0,1,0.7257570028305054,90,DMC,Caen,SC Bastia,1,1,2014-12-20,6070,2014,5820,0.10101299732923508,0,2,0,0.7257570028305054,0.05805020034313202,0.03884879872202873
0,1,0.06181560084223747,90,DMC,SC Bastia,Rennes,2,0,2014-12-13,6060,2014,4074,0.6472449898719788,0,3,0,0.06181560084223747,0.6522060036659241,0.46531400084495544
0,2,0.08164499700069427,90,DMC,Saint-Etienne,SC Bastia,1,0,2014-12-06,6049,2014,3764,0,0,0,0,0.08164499700069427,0.13476400077342987,0.13476400077342987
0,1,0.07656560093164444,90,DMC,SC Bastia,Evian Thonon Gaillard,1,2,2014-12-03,6042,2014,5117,0.3848850131034851,0,1,0,0.07656560093164444,0.5980499982833862,0.13660000264644623
0,2,0.3064030110836029,90,MC,Reims,SC Bastia,2,1,2014-11-29,6106,2014,4472,0,0,0,0,0.3064030110836029,0.3064030110836029,0
0,1,0.0713592991232872,90,MC,SC Bastia,Lyon,0,0,2014-11-22,6096,2014,6660,0,0,0,0,0.0713592991232872,0.18763099610805511,0.1162709966301918
0,0,0,90,DMC,SC Bastia,Montpellier,2,0,2014-11-08,6088,2014,5310,0.5030570030212402,1,1,0,0,0.10230699926614761,0.10230699926614761
0,2,0.12366600334644318,90,AMR,Guingamp,SC Bastia,1,0,2014-11-01,6078,2014,3849,0,0,0,0,0.12366600334644318,0.12366600334644318,0
0,0,0,90,DMC,SC Bastia,Monaco,1,3,2014-10-25,6137,2014,2537,0,0,0,0,0,0.05564289912581444,0.05564289912581444
0,0,0,90,DMC,Nice,SC Bastia,0,1,2014-10-18,6130,2014,2382,0,0,0,0,0,0,0
0,1,0.04849240183830261,90,DMC,SC Bastia,Lorient,0,2,2014-10-04,6117,2014,2954,0,0,0,0,0.04849240183830261,0.04849240183830261,0
0,0,0,90,MC,Lille,SC Bastia,1,0,2014-09-27,6179,2014,2523,0,0,0,0,0,0.17472900450229645,0.17472900450229645
0,0,0,90,MC,SC Bastia,Nantes,0,0,2014-09-24,6172,2014,1785,0,0,0,0,0,0.09533490240573883,0.09533490240573883
0,0,0,90,DMC,Metz,SC Bastia,3,1,2014-09-20,6158,2014,1520,0.056606899946928024,0,2,0,0,0.03604850172996521,0
1,1,0.08485549688339233,90,DR,SC Bastia,Lens,1,1,2014-09-13,6151,2014,1390,0,0,0,1,0.08485549688339233,0.12272199988365173,0.12272199988365173
0,0,0,90,DMC,Bordeaux,SC Bastia,1,1,2014-08-31,6222,2014,853,0,0,0,0,0,0,0
0,1,0.06198029965162277,90,DMC,SC Bastia,Toulouse,1,0,2014-08-23,6211,2014,563,0,0,0,0,0.06198029965162277,0,0
0,0,0,90,MC,Paris Saint Germain,SC Bastia,2,0,2014-08-16,6196,2014,466,0,0,0,0,0,0.04206090047955513,0.04206090047955513
0,2,0.05467339977622032,90,MC,SC Bastia,Marseille,3,3,2014-08-09,6186,2014,34,0,0,0,0,0.05467339977622032,0.021018199622631073,0
