goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DR,Marseille,Nantes,1,2,2019-04-28,10978,2018,329367,0,0,0,0,0,0,0
0,0,0,90,DR,Nantes,Amiens,3,2,2019-04-21,10966,2018,326589,0,0,0,0,0,0.40598899126052856,0.40598899126052856
0,0,0,90,DC,Nantes,Paris Saint Germain,3,2,2019-04-17,10917,2018,325398,0,0,0,0,0,0.2553730010986328,0.2553730010986328
0,0,0,90,DC,Toulouse,Nantes,1,0,2019-04-07,10944,2018,323142,0,0,0,0,0,0,0
0,0,0,90,DC,Nantes,Lille,2,3,2019-03-31,10939,2018,318610,0,0,0,0,0,0,0
0,1,0.012906399555504322,90,DC,Guingamp,Nantes,0,0,2019-03-03,10907,2018,313919,0,0,0,0,0.012906399555504322,0.012906399555504322,0
0,2,0.12888699769973755,58,DR,Nantes,Bordeaux,1,0,2019-02-24,10897,2018,313739,0,0,0,0,0.12888699769973755,0,0
0,0,0,90,DC,Monaco,Nantes,1,0,2019-02-16,10889,2018,313310,0,0,0,0,0,0.01762779988348484,0.01762779988348484
0,0,0,90,DC,Caen,Nantes,0,1,2019-02-13,10863,2018,314140,0.019063500687479973,0,1,0,0,0.13740099966526031,0.13740099966526031
0,0,0,90,DC,Lille,Toulouse,1,2,2018-12-22,10825,2018,290629,0,0,0,0,0,0.11332199722528458,0.11332199722528458
0,0,0,70,Sub,Nimes,Lille,2,3,2018-12-16,10821,2018,290405,0,0,0,0,0,0,0
0,0,0,17,Sub,Lille,Lyon,2,2,2018-12-01,10784,2018,289612,0,0,0,0,0,0.07525409758090973,0.07525409758090973
0,0,0,23,Sub,Lille,Saint-Etienne,3,1,2018-10-06,10727,2018,288005,0,0,0,0,0,0,0
0,0,0,14,Sub,Lille,Marseille,3,0,2018-09-30,10715,2018,254512,0.02244729921221733,0,1,0,0,0.8154140114784241,0.8154140114784241
0,0,0,10,Sub,Monaco,Lille,0,0,2018-08-18,10655,2018,243090,0,0,0,0,0,0,0
0,0,0,4,Sub,Lille,Rennes,3,1,2018-08-11,10648,2018,242126,0,0,0,0,0,0,0
0,0,0,90,DC,Saint-Etienne,Lille,5,0,2018-05-19,8941,2017,240827,0,0,0,0,0,0.16694200038909912,0.16694200038909912
0,0,0,88,DC,Lille,Dijon,2,1,2018-05-12,8929,2017,239618,0,0,0,0,0,1.4428900480270386,1.4428900480270386
0,1,0.3740899860858917,90,DC,Toulouse,Lille,2,3,2018-05-06,8924,2017,238224,0.029498200863599777,0,1,0,0.3740899860858917,0.6122879981994629,0.6122879981994629
0,0,0,90,DC,Lille,Metz,3,1,2018-04-28,8908,2017,236132,0,0,0,0,0,0.2562769949436188,0.2562769949436188
0,0,0,90,DC,Marseille,Lille,5,1,2018-04-21,8900,2017,234391,0,0,0,0,0,0.28078898787498474,0.28078898787498474
0,1,0.049278099089860916,90,DC,Lille,Guingamp,2,2,2018-04-14,8888,2017,232373,0,0,0,0,0.049278099089860916,0.053228698670864105,0.053228698670864105
0,0,0,90,DC,Bordeaux,Lille,2,1,2018-04-07,8876,2017,230554,0.06995490193367004,0,1,0,0,0,0
0,0,0,90,DC,Lille,Amiens,0,1,2018-04-01,8868,2017,227195,0,0,0,0,0,0.015558299608528614,0.015558299608528614
0,0,0,90,DR,Monaco,Lille,2,1,2018-03-16,8860,2017,223638,0,0,0,0,0,0.5250869989395142,0.5250869989395142
0,1,0.03480270132422447,90,DR,Nice,Lille,2,1,2018-03-02,8843,2017,220567,0,0,0,0,0.03480270132422447,0.019994700327515602,0.019994700327515602
0,0,0,90,DR,Lille,Lyon,2,2,2018-02-18,8818,2017,218515,0.010662700049579144,0,1,0,0,0.02468699961900711,0.014024299569427967
0,0,0,90,DR,Nantes,Lille,2,2,2018-02-11,8811,2017,215666,0,0,0,0,0,0.03410610184073448,0.03410610184073448
0,0,0,90,DR,Lille,Paris Saint Germain,0,3,2018-02-03,8797,2017,215792,0.00960793998092413,0,1,0,0,0.02174229919910431,0.012134400196373463
1,1,0.040637001395225525,90,DC,Lille,Strasbourg,2,1,2018-01-28,8793,2017,210942,0,0,0,1,0.040637001395225525,0.010917799547314644,0.010917799547314644
0,0,0,90,DR,Troyes,Lille,1,0,2018-01-20,8784,2017,209513,0.11503200232982635,0,2,0,0,0.11503200232982635,0
0,0,0,90,DR,Lille,Rennes,1,2,2018-01-17,8769,2017,208617,0.03543449938297272,0,1,0,0,0.13517799973487854,0.09974359720945358
0,1,0.04399089887738228,90,DR,Caen,Lille,0,1,2018-01-13,8755,2017,207942,0.025083700194954872,0,1,0,0.04399089887738228,0.08917839825153351,0.06409469991922379
0,0,0,90,DC,Lille,Nice,1,1,2017-12-20,8751,2017,203641,0,0,0,0,0,0,0
0,1,0.04561249911785126,90,DR,Dijon,Lille,3,0,2017-12-16,8736,2017,205511,0,0,0,0,0.04561249911785126,0.3194670081138611,0.3194670081138611
0,0,0,90,DL,Paris Saint Germain,Lille,3,1,2017-12-09,8733,2017,199305,0.04188679903745651,0,1,0,0,0.07245399802923203,0.03056729957461357
0,0,0,90,DR,Lille,Toulouse,1,0,2017-12-02,8724,2017,184273,0,0,0,0,0,0.017872299998998642,0.017872299998998642
0,0,0,90,DR,Lyon,Lille,1,2,2017-11-29,8709,2017,184065,0,0,0,0,0,0.2672469913959503,0.2672469913959503
0,1,0.011556900106370449,90,DC,Montpellier,Lille,3,0,2017-11-25,8695,2017,183815,0.010126699693500996,0,1,0,0.011556900106370449,0.049578599631786346,0.039451900869607925
0,0,0,90,DC,Amiens,Lille,3,0,2017-11-20,8635,2017,195862,0,0,0,0,0,0.17037199437618256,0.17037199437618256
0,0,0,90,DC,Metz,Lille,0,3,2017-11-05,8683,2017,183399,0,0,0,0,0,0.059075500816106796,0.059075500816106796
0,0,0,90,DR,Lille,Marseille,0,1,2017-10-29,8669,2017,182939,0.008436930365860462,0,1,0,0,0.06289420276880264,0.054457299411296844
0,1,0.0683927983045578,90,DC,Rennes,Lille,1,0,2017-10-21,8661,2017,182596,0,0,0,0,0.0683927983045578,0,0
0,0,0,90,DC,Lille,Troyes,2,2,2017-10-14,8654,2017,182164,0.020856399089097977,0,1,0,0,1.0452899932861328,1.0244300365447998
0,2,0.05123919993638992,90,DC,Lille,Monaco,0,4,2017-09-22,8627,2017,181639,0,0,0,0,0.05123919993638992,0.14178499579429626,0.1258009970188141
0,2,0.06925629824399948,90,DC,Guingamp,Lille,1,0,2017-09-16,8621,2017,181348,0,0,0,0,0.06925629824399948,0.07277069985866547,0.056787800043821335
0,0,0,90,DC,Lille,Bordeaux,0,0,2017-09-08,8606,2017,181058,0,0,0,0,0,0,0
0,0,0,90,DC,Angers,Lille,1,1,2017-08-27,8596,2017,180794,0,0,0,0,0,0.27828699350357056,0.27828699350357056
0,0,0,90,DC,Lille,Caen,0,2,2017-08-20,8585,2017,180474,0,0,0,0,0,0.0515470989048481,0.0515470989048481
0,0,0,90,DC,Strasbourg,Lille,3,0,2017-08-13,8582,2017,180433,0,0,0,0,0,0.15810200572013855,0.15810200572013855
0,1,0.07014720141887665,90,DC,Lille,Nantes,3,0,2017-08-06,8572,2017,180032,0,0,0,0,0.07014720141887665,0.4146369993686676,0.4146369993686676
