goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,66,DR,Monaco,Clermont Foot,4,1,2024-05-04,23651,2023,658971,0,0,0,0,0,0,0
0,2,0.07633566111326218,81,DR,Clermont Foot,Reims,4,1,2024-04-28,23647,2023,657482,0,0,0,0,0.07633566111326218,0.6391101479530334,0.5627744793891907
0,1,0.035220373421907425,90,DR,Clermont Foot,Montpellier,1,1,2024-04-14,23629,2023,653904,0.15783217549324036,0,2,0,0.035220373421907425,0.08177449554204941,0.08177449554204941
0,0,0,38,Sub,Paris Saint Germain,Clermont Foot,1,1,2024-04-06,23614,2023,652044,0,0,0,0,0,0,0
0,0,0,83,DMR,Clermont Foot,Toulouse,0,3,2024-03-31,23611,2023,650391,0,0,0,0,0,0.02730637416243553,0.02730637416243553
0,1,0.07303471118211746,80,DR,Clermont Foot,Le Havre,2,1,2024-03-17,23599,2023,648801,0,0,0,0,0.07303471118211746,0.05317608267068863,0.05317608267068863
0,1,0.01160244271159172,90,DMR,Lille,Clermont Foot,4,0,2024-02-04,23545,2023,639213,0,0,0,0,0.01160244271159172,0.39070436358451843,0.3791019320487976
0,0,0,74,DMR,Clermont Foot,Strasbourg,1,1,2024-01-28,23539,2023,637352,0,0,0,0,0,0.11080519109964371,0.11080519109964371
0,0,0,60,DMR,Marseille,Clermont Foot,2,1,2023-12-17,23507,2023,631087,0.013578019104897976,0,1,0,0,0.013578019104897976,0
0,3,0.15551960468292236,90,DC,Clermont Foot,Lille,0,0,2023-12-10,23503,2023,629387,0.021188758313655853,0,1,0,0.15551960468292236,0.25036293268203735,0.07365458458662033
0,2,0.10964492708444595,76,DMR,Brest,Clermont Foot,3,0,2023-12-03,23496,2023,627195,0.045953016728162766,0,1,0,0.10964492708444595,0.17204761505126953,0.1651698797941208
0,0,0,16,Sub,Montpellier,Clermont Foot,1,1,2023-11-29,23441,2023,626156,0,0,0,0,0,0,0
0,1,0.07380927354097366,1,Sub,Clermont Foot,Lens,0,3,2023-11-25,23485,2023,625032,0,0,0,0,0.07380927354097366,0.11221890151500702,0.03840962424874306
0,1,0.4036028981208801,5,Sub,Strasbourg,Clermont Foot,0,0,2023-11-05,23462,2023,622188,0,0,0,0,0.4036028981208801,0.6977419257164001,0.29413899779319763
0,0,0,1,Sub,Clermont Foot,Nice,0,1,2023-10-27,23455,2023,619410,0,0,0,0,0,0,0
0,0,0,3,Sub,Lyon,Clermont Foot,1,2,2023-10-22,23448,2023,619177,0,0,0,0,0,0,0
0,0,0,5,Sub,Clermont Foot,Paris Saint Germain,0,0,2023-09-30,23431,2023,614821,0,0,0,0,0,0,0
