id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
740,6,SavedShot,0.865999984741211,0.534000015258789,0.01731709949672222,Oswaldo Vizcarrondo,a,3401,OpenPlay,2014,Head,6152,Lille,Nantes,2,0,2014-09-14 13:00:00,Papy Djilobodji,Aerial
1296,24,SavedShot,0.9459999847412109,0.445,0.11733099818229675,Oswaldo Vizcarrondo,h,3401,FromCorner,2014,Head,6159,Nantes,Nice,2,1,2014-09-20 19:00:00,Jordan Veretout,Cross
1307,78,BlockedShot,0.8980000305175782,0.585,0.01376389991492033,Oswaldo Vizcarrondo,h,3401,FromCorner,2014,Head,6159,Nantes,Nice,2,1,2014-09-20 19:00:00,Serge Gakpe,Aerial
2202,27,MissedShots,0.925,0.5879999923706055,0.018324099481105804,Oswaldo Vizcarrondo,a,3401,FromCorner,2014,Head,6139,Evian Thonon Gaillard,Nantes,0,2,2014-10-25 19:00:00,Vincent Bessat,Aerial
4082,11,SavedShot,0.9440000152587891,0.46599998474121096,0.41756099462509155,Oswaldo Vizcarrondo,h,3401,FromCorner,2014,Head,6082,Nantes,Rennes,1,1,2014-11-02 13:00:00,Jordan Veretout,Cross
4493,39,Goal,0.899000015258789,0.425,0.0392691008746624,Oswaldo Vizcarrondo,a,3401,FromCorner,2014,Head,6089,Caen,Nantes,1,2,2014-11-08 19:00:00,Jordan Veretout,Cross
6070,76,MissedShots,0.9619999694824218,0.504000015258789,0.5140150189399719,Oswaldo Vizcarrondo,h,3401,FromCorner,2014,RightFoot,6101,Nantes,Saint-Etienne,0,0,2014-11-23 13:00:00,Jordan Veretout,Cross
3342,13,MissedShots,0.91,0.4759999847412109,0.0824861004948616,Oswaldo Vizcarrondo,a,3401,FromCorner,2014,RightFoot,6104,Marseille,Nantes,2,0,2014-11-28 19:30:00,Jordan Veretout,Cross
4989,22,MissedShots,0.8969999694824219,0.529000015258789,0.022996699437499046,Oswaldo Vizcarrondo,a,3401,FromCorner,2014,Head,6069,Lorient,Nantes,1,2,2014-12-20 19:00:00,Jordan Veretout,Aerial
3318,2,MissedShots,0.889000015258789,0.435,0.07237479835748672,Oswaldo Vizcarrondo,h,3401,SetPiece,2014,RightFoot,6007,Nantes,Metz,0,0,2015-01-11 16:00:00,Jordan Veretout,Cross
3327,42,BlockedShot,0.895,0.4379999923706055,0.06410890072584152,Oswaldo Vizcarrondo,h,3401,SetPiece,2014,Head,6007,Nantes,Metz,0,0,2015-01-11 16:00:00,Jordan Veretout,Cross
2514,79,Goal,0.9430000305175781,0.500999984741211,0.4541679918766022,Oswaldo Vizcarrondo,h,3401,FromCorner,2014,Head,6035,Nantes,Lille,1,1,2015-01-31 19:00:00,Jordan Veretout,Cross
2666,52,SavedShot,0.8440000152587891,0.44400001525878907,0.017923599109053612,Oswaldo Vizcarrondo,h,3401,SetPiece,2014,Head,5975,Nantes,SC Bastia,0,2,2015-02-14 19:00:00,Vincent Bessat,Cross
8053,9,BlockedShot,0.879000015258789,0.509000015258789,0.026462800800800323,Oswaldo Vizcarrondo,h,3401,FromCorner,2014,Head,5945,Nantes,Evian Thonon Gaillard,2,1,2015-03-14 19:00:00,,Foul
8673,54,SavedShot,0.885,0.515,0.04324990138411522,Oswaldo Vizcarrondo,h,3401,FromCorner,2014,Head,5893,Nantes,Caen,1,2,2015-04-05 16:00:00,Serge Gakpe,Cross
7358,38,MissedShots,0.9159999847412109,0.5179999923706055,0.09560489654541016,Oswaldo Vizcarrondo,h,3401,FromCorner,2014,Head,5854,Nantes,Paris Saint Germain,0,2,2015-05-03 20:00:00,Jordan Veretout,Cross
62651,46,MissedShots,0.8430000305175781,0.485,0.022174900397658348,Oswaldo Vizcarrondo,a,3401,SetPiece,2015,Head,1948,Lille,Nantes,0,1,2015-09-29 20:30:00,Léo Dubois,Cross
