goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,83,DC,Monaco,Nimes,3,0,2020-11-29,15869,2020,430263,0,0,0,0,0,0.020611200481653214,0.020611200481653214
0,0,0,90,DC,Reims,Nimes,0,1,2020-11-22,15864,2020,428658,0,0,0,0,0,0,0
0,0,0,70,DC,Nimes,Metz,0,1,2020-11-01,15840,2020,425125,0,0,0,0,0,0.0716518983244896,0.0716518983244896
0,0,0,33,Sub,Nimes,Paris Saint Germain,0,4,2020-10-16,15822,2020,420767,0,0,0,0,0,0,0
0,0,0,90,DC,Nimes,Rennes,2,4,2020-09-13,14198,2020,414915,0,0,0,0,0,0.13538600504398346,0.13538600504398346
0,0,0,89,DC,Nantes,Nimes,2,1,2020-08-30,13992,2020,414190,0.024495700374245644,1,2,0,0,0.1255040019750595,0.10100899636745453
0,0,0,90,DC,Nimes,Brest,4,0,2020-08-23,13985,2020,413534,0,0,0,0,0,0.08799450099468231,0.08799450099468231
0,0,0,90,DC,Metz,Nimes,2,1,2020-03-07,12986,2019,397006,0.026059100404381752,0,1,0,0,0.10702099651098251,0.0809616968035698
0,1,0.012072999961674213,90,DC,Nimes,Marseille,2,3,2020-02-28,12976,2019,395473,0,0,0,0,0.012072999961674213,0.026141099631786346,0.014068099670112133
0,0,0,90,DC,Nimes,Angers,1,0,2020-02-15,12957,2019,393892,0,0,0,0,0,0.335314005613327,0.335314005613327
0,0,0,90,DC,Nice,Nimes,1,3,2020-02-08,12945,2019,392875,0,0,0,0,0,0.10486800223588943,0.10486800223588943
0,0,0,90,DC,Nimes,Dijon,2,0,2020-02-05,12933,2019,392167,0,0,0,0,0,0,0
1,2,0.4180450141429901,90,DC,Nimes,Monaco,3,1,2020-02-01,12922,2019,391365,0,0,0,1,0.4180450141429901,0.29555898904800415,0.29555898904800415
0,2,0.07060019671916962,90,DC,Saint-Etienne,Nimes,2,1,2020-01-25,12918,2019,390431,0.011188900098204613,0,1,0,0.07060019671916962,0.06951650232076645,0.04805700108408928
0,0,0,90,DC,Nimes,Rennes,0,1,2020-01-15,12820,2019,389002,0,0,0,0,0,0,0
0,2,0.023659899830818176,90,DC,Nimes,Reims,2,0,2020-01-11,12904,2019,388644,0.5894730091094971,1,1,0,0.023659899830818176,0.06263750046491623,0.05350349843502045
0,0,0,90,DC,Marseille,Nimes,3,1,2019-12-21,12898,2019,371773,0.027136199176311493,0,1,0,0,0.35917899012565613,0.33204200863838196
0,0,0,90,DC,Nimes,Nantes,0,1,2019-12-14,12879,2019,370128,0,0,0,0,0,0.02193080075085163,0.02193080075085163
0,0,0,90,DC,Nimes,Lyon,0,4,2019-12-06,12869,2019,367970,0,0,0,0,0,0,0
0,1,0.04687830060720444,90,DC,Bordeaux,Nimes,6,0,2019-12-03,12860,2019,367404,0,0,0,0,0.04687830060720444,0.06615079939365387,0.06615079939365387
0,0,0,90,DC,Nimes,Metz,1,1,2019-11-30,12852,2019,366540,0,0,0,0,0,0.15276099741458893,0.15276099741458893
0,1,0.13670699298381805,90,DC,Angers,Nimes,1,0,2019-11-23,12847,2019,365087,0,0,0,0,0.13670699298381805,0.1657709926366806,0.02906399965286255
0,0,0,90,DC,Strasbourg,Nimes,4,1,2019-11-09,12837,2019,363480,0,0,0,0,0,0,0
0,0,0,90,DC,Reims,Nimes,0,0,2019-10-26,12816,2019,359712,0,0,0,0,0,0,0
1,1,0.04934860020875931,90,DC,Nimes,Amiens,1,1,2019-10-19,12805,2019,358199,0,0,0,1,0.04934860020875931,0,0
0,0,0,90,DC,Lille,Nimes,2,2,2019-10-06,12793,2019,356960,0,0,0,0,0,0.40388399362564087,0.40388399362564087
0,0,0,90,DC,Nimes,Saint-Etienne,0,1,2019-09-29,12787,2019,355473,0,0,0,0,0,0.10873299837112427,0.10873299837112427
0,0,0,90,DC,Montpellier,Nimes,1,0,2019-09-25,12774,2019,353763,0,0,0,0,0,0.047405000776052475,0.047405000776052475
0,0,0,90,DC,Nimes,Toulouse,1,0,2019-09-21,12765,2019,352495,0,0,0,0,0,0.08386539667844772,0.08386539667844772
0,0,0,90,DC,Dijon,Nimes,0,0,2019-09-14,12749,2019,349332,0,0,0,0,0,0.03372479975223541,0.03372479975223541
0,3,0.14005400240421295,90,DC,Nimes,Brest,3,0,2019-08-31,12746,2019,347791,0,0,0,0,0.14005400240421295,0,0
0,0,0,90,DC,Nimes,Nice,1,2,2019-08-17,12723,2019,342231,0,0,0,0,0,0.09166630357503891,0.09166630357503891
0,0,0,90,DC,Paris Saint Germain,Nimes,3,0,2019-08-11,12718,2019,341664,0,0,0,0,0,0.11473099887371063,0.11473099887371063
0,0,0,63,DC,Amiens,Strasbourg,0,0,2019-04-28,10973,2018,329008,0,0,0,0,0,0,0
1,1,0.044989898800849915,90,DC,Strasbourg,Montpellier,1,3,2019-04-20,10970,2018,326368,0,0,0,1,0.044989898800849915,0,0
0,0,0,90,DC,Strasbourg,Guingamp,3,3,2019-04-13,10962,2018,324537,0,0,0,0,0,0.007980049587786198,0.007980049587786198
0,0,0,90,DC,Paris Saint Germain,Strasbourg,2,2,2019-04-07,10946,2018,323588,0,0,0,0,0,0.20879200100898743,0.20879200100898743
0,0,0,90,DC,Strasbourg,Reims,4,0,2019-04-03,10942,2018,321714,0,0,0,0,0,0.054105401039123535,0.054105401039123535
0,0,0,90,DC,Nimes,Strasbourg,2,2,2019-03-16,10924,2018,316629,0,0,0,0,0,0,0
0,1,0.007404270116239786,90,DC,Strasbourg,Lyon,2,2,2019-03-09,10913,2018,314624,0.0074208201840519905,0,1,0,0.007404270116239786,0.061970699578523636,0.047145601361989975
0,1,0.0637165978550911,90,DC,Strasbourg,Lille,1,1,2019-02-22,10900,2018,313575,0,0,0,0,0.0637165978550911,0.08500850200653076,0.08500850200653076
0,0,0,90,DC,Caen,Strasbourg,0,0,2019-02-17,10885,2018,313394,0,0,0,0,0,0.09404660016298294,0.09404660016298294
