id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
165,60,MissedShots,0.8919999694824219,0.58,0.10771100223064423,Emiliano Sala,a,3406,OpenPlay,2014,LeftFoot,6190,Montpellier,Bordeaux,0,1,2014-08-09 20:00:00,,None
236,60,Goal,0.885,0.5,0.7600950002670288,Emiliano Sala,h,3406,Penalty,2014,RightFoot,6204,Bordeaux,Monaco,4,1,2014-08-17 20:00:00,,Standard
239,71,MissedShots,0.919000015258789,0.36400001525878906,0.125901997089386,Emiliano Sala,h,3406,OpenPlay,2014,RightFoot,6204,Bordeaux,Monaco,4,1,2014-08-17 20:00:00,Wahbi Khazri,Pass
695,91,MissedShots,0.7919999694824219,0.24799999237060547,0.02173979952931404,Emiliano Sala,h,3406,OpenPlay,2014,RightFoot,6222,Bordeaux,SC Bastia,1,1,2014-08-31 13:00:00,Diego Rolan,Pass
1332,78,MissedShots,0.909000015258789,0.4979999923706055,0.22143299877643585,Emiliano Sala,a,3406,OpenPlay,2014,Head,6114,Reims,Bordeaux,1,0,2014-10-03 19:30:00,Nicolas Maurice-Belay,Chipped
2298,73,MissedShots,0.875999984741211,0.500999984741211,0.06210530176758766,Emiliano Sala,a,3406,OpenPlay,2014,RightFoot,6135,Paris Saint Germain,Bordeaux,3,0,2014-10-25 16:00:00,Wahbi Khazri,Cross
2983,6,MissedShots,0.8680000305175781,0.5559999847412109,0.10714299976825714,Emiliano Sala,h,3406,OpenPlay,2014,RightFoot,6083,Bordeaux,Toulouse,2,1,2014-11-02 16:00:00,Jaroslav Plasil,Pass
6045,75,SavedShot,0.749000015258789,0.645,0.0400254987180233,Emiliano Sala,h,3406,OpenPlay,2014,RightFoot,5960,Caen,Saint-Etienne,1,0,2015-02-01 13:00:00,Thomas Lemar,Pass
6050,89,SavedShot,0.96,0.5709999847412109,0.6644899845123291,Emiliano Sala,h,3406,OpenPlay,2014,LeftFoot,5960,Caen,Saint-Etienne,1,0,2015-02-01 13:00:00,Lenny Nangis,Pass
2751,58,MissedShots,0.850999984741211,0.5559999847412109,0.02933490090072155,Emiliano Sala,h,3406,OpenPlay,2014,Head,5967,Caen,Toulouse,2,0,2015-02-07 19:00:00,Lenny Nangis,Chipped
2762,18,SavedShot,0.899000015258789,0.600999984741211,0.08815579861402512,Emiliano Sala,a,3406,OpenPlay,2014,RightFoot,5974,Paris Saint Germain,Caen,2,2,2015-02-14 15:00:00,Julien Féret,Pass
2779,71,MissedShots,0.82,0.5129999923706055,0.07095690071582794,Emiliano Sala,a,3406,OpenPlay,2014,RightFoot,5974,Paris Saint Germain,Caen,2,2,2015-02-14 15:00:00,Julien Féret,Pass
2784,88,Goal,0.8930000305175781,0.4420000076293945,0.112466000020504,Emiliano Sala,a,3406,OpenPlay,2014,RightFoot,5974,Paris Saint Germain,Caen,2,2,2015-02-14 15:00:00,Dennis Appiah,Pass
